scenario_id	application	screen_flow	reference_state	current_main_state	components_involved	visual_proof	interaction_proof	current_defect_regression	root_component_owners	app_owner	owning_task_ids
SC-BASE-sidebars	showcase	sidebars	showcase-scenarios.tsv#SC-BASE-sidebars; O:pages/sidebars.rs:372	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/sidebars	NavList,Panel,Button	REQUIRED-UNCAPTURED V:SC-BASE-sidebars; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-sidebars	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;runtime-input;scroll-parity;theme-paint	showcase-sidebars	TASK-002;TASK-037;TASK-039;TASK-069
SC-BASE-dialogs	showcase	dialogs	showcase-scenarios.tsv#SC-BASE-dialogs; O:pages/dialogs.rs:102	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/dialogs	Dialog,Button,Panel	REQUIRED-UNCAPTURED V:SC-BASE-dialogs; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-dialogs	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;output-text;overlays;runtime-input;theme-paint	showcase-dialogs	TASK-002;TASK-038;TASK-039;TASK-069
SC-BASE-progress	showcase	progress	showcase-scenarios.tsv#SC-BASE-progress; O:pages/progress.rs:44	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/progress	Progress,Spinner,Button,Panel	REQUIRED-UNCAPTURED V:SC-BASE-progress; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-progress	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-progress	TASK-002;TASK-036;TASK-039;TASK-069
SC-BASE-scrolling	showcase	scrolling	showcase-scenarios.tsv#SC-BASE-scrolling; O:pages/scrolling.rs:54	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/scrolling	ScrollPanel,List,scrollbar,fade	REQUIRED-UNCAPTURED V:SC-BASE-scrolling; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-scrolling	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;output-text;runtime-input;scroll-parity;theme-paint	showcase-scrolling	TASK-002;TASK-036;TASK-039;TASK-069
SC-BASE-terminal	showcase	terminal	showcase-scenarios.tsv#SC-BASE-terminal; O:pages/terminal.rs:205	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/terminal	TerminalViewport,StepRail,SplitPane,Button	REQUIRED-UNCAPTURED V:SC-BASE-terminal; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-terminal	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;output-text;runtime-input;scroll-parity;theme-paint	showcase-terminal	TASK-002;TASK-036;TASK-039;TASK-069
SC-BASE-editor	showcase	codeeditor	showcase-scenarios.tsv#SC-BASE-editor; O:pages/editor.rs:319	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/codeeditor	CodeEditor,Completion,Panel	REQUIRED-UNCAPTURED V:SC-BASE-editor; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-editor	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;code-diff;overlays;runtime-input;scroll-parity;text-core;theme-paint	showcase-codeeditor	TASK-002;TASK-036;TASK-039;TASK-069
SC-BASE-diff	showcase	diff	showcase-scenarios.tsv#SC-BASE-diff; O:pages/diff.rs:87	missing route and view; M:apps/showcase/src/app.rs;pages/diff	DiffView,TerminalViewport,Button,Panel	REQUIRED-UNCAPTURED V:SC-BASE-diff; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-diff	SC-DIFF: main has 22 pages; oracle has 23 including Diff	chrome;code-diff;output-text;runtime-input;scroll-parity;text-core;theme-paint	showcase-diff	TASK-002;TASK-036;TASK-039;TASK-069
SC-BASE-grid	showcase	datagrid	showcase-scenarios.tsv#SC-BASE-grid; O:pages/grid.rs:309	incompatible interactive model; M:apps/showcase/src/app.rs;pages/datagrid	DataGrid,Panel,Button,Props	REQUIRED-UNCAPTURED V:SC-BASE-grid; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-grid	SC-GRID: metrics row model beneath customer paint lacks oracle eight-column editable customer flow	chrome;grid-parity;runtime-input;scroll-parity;theme-paint	showcase-datagrid	TASK-002;TASK-034;TASK-039;TASK-069
SC-BASE-chips	showcase	chipsselects	showcase-scenarios.tsv#SC-BASE-chips; O:pages/chips.rs:131	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/chipsselects	ChipBar,Select,Segments,Props,EmptyState	REQUIRED-UNCAPTURED V:SC-BASE-chips; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-chips	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;fields-edit;runtime-input;theme-paint	showcase-chipsselects	TASK-002;TASK-037;TASK-039;TASK-069
SC-BASE-pickers	showcase	pickers	showcase-scenarios.tsv#SC-BASE-pickers; O:pages/pickers.rs:314	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/pickers	Picker,Button,Props,Panel	REQUIRED-UNCAPTURED V:SC-BASE-pickers; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-pickers	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;overlays;runtime-input;scroll-parity;theme-paint	showcase-pickers	TASK-002;TASK-038;TASK-039;TASK-069
SC-BASE-chrome	showcase	chrome	showcase-scenarios.tsv#SC-BASE-chrome; O:pages/chrome.rs:191	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/chrome	Brand,MenuBar,Menu,List,StatusBar,KeyHints	REQUIRED-UNCAPTURED V:SC-BASE-chrome; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-chrome	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;overlays;runtime-input;scroll-parity;theme-paint	showcase-chrome	TASK-002;TASK-038;TASK-039;TASK-069
SC-BASE-settings	showcase	settings	showcase-scenarios.tsv#SC-BASE-settings; O:pages/settings.rs:158	partial; General/Environment behavior absent; M:apps/showcase/src/app.rs;pages/settings	Tabs,Field,Table,List,Dialog,Button	REQUIRED-UNCAPTURED V:SC-BASE-settings; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-settings	SC-SETTINGS: historical paint does not implement live controls; member cell editing missing	chrome;collections;fields-edit;grid-parity;output-text;overlays;runtime-input;scroll-parity;text-core;theme-paint	showcase-settings	TASK-002;TASK-035;TASK-039;TASK-069
SC-BASE-taskrunner	showcase	taskrunner	showcase-scenarios.tsv#SC-BASE-taskrunner; O:pages/taskrunner.rs:215	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/taskrunner	Tree,ScrollPanel,Progress,Button,Dialog	REQUIRED-UNCAPTURED V:SC-BASE-taskrunner; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BASE-taskrunner	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;collections;output-text;overlays;runtime-input;scroll-parity;theme-paint	showcase-taskrunner	TASK-002;TASK-036;TASK-039;TASK-069
SC-FOCUS	showcase	all23	showcase-scenarios.tsv#SC-FOCUS; O:app.rs:445,610;O:pages/mod.rs:115	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/all23	FocusRing,HitRegistry,runtime,all-controls	REQUIRED-UNCAPTURED V:SC-FOCUS; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-FOCUS	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	foundation-api;runtime-input;theme-paint	showcase-shell	TASK-002;TASK-039;TASK-069
SC-RESIZE	showcase	all23	showcase-scenarios.tsv#SC-RESIZE; O:app.rs:365,813;O:app_tests.rs:736	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/all23	layout,focus,scroll,runtime	REQUIRED-UNCAPTURED V:SC-RESIZE; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-RESIZE	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;foundation-api;runtime-input;scroll-parity;theme-paint	showcase-shell	TASK-002;TASK-039;TASK-069
SC-SHELL-NAV	showcase	overview	showcase-scenarios.tsv#SC-SHELL-NAV; O:app.rs:445;O:app_tests.rs:536	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/overview	NavList,FocusRing	REQUIRED-UNCAPTURED V:SC-SHELL-NAV; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-NAV	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	collections;runtime-input;scroll-parity;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-HITS	showcase	overview	showcase-scenarios.tsv#SC-SHELL-HITS; O:app.rs:953;O:app.rs:1222	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/overview	NavList,scrollbar,fade,HitRegistry	REQUIRED-UNCAPTURED V:SC-SHELL-HITS; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-HITS	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	collections;runtime-input;scroll-parity;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-HELP	showcase	buttons	showcase-scenarios.tsv#SC-SHELL-HELP; O:app.rs:424,584,610;O:app_tests.rs:454	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	Dialog,overlay,focus,runtime	REQUIRED-UNCAPTURED V:SC-SHELL-HELP; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-HELP	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;foundation-api;output-text;overlays;runtime-input;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-INSPECTOR	showcase	buttons	showcase-scenarios.tsv#SC-SHELL-INSPECTOR; O:app.rs:849,1061	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	Panel,layout,interaction	REQUIRED-UNCAPTURED V:SC-SHELL-INSPECTOR; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-INSPECTOR	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-MINIMUM	showcase	buttons	showcase-scenarios.tsv#SC-SHELL-MINIMUM; O:app.rs:813,902;O:app_tests.rs:172,181,552	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	runtime,layout	REQUIRED-UNCAPTURED V:SC-SHELL-MINIMUM; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-MINIMUM	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;foundation-api;runtime-input;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-STATUS	showcase	buttons	showcase-scenarios.tsv#SC-SHELL-STATUS; O:app.rs:386,1129	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	clock,KeyHints,Button	REQUIRED-UNCAPTURED V:SC-SHELL-STATUS; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV controlled clock; PTY stable/encoded-path proof; exact transient PTY requires qualified clock driver; showcase-scenarios.tsv#SC-SHELL-STATUS	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-SHELL-PERSIST	showcase	inputs	showcase-scenarios.tsv#SC-SHELL-PERSIST; O:app.rs:365,512;O:pages/inputs.rs:210	partially migrated; live enabled fields inert; M:apps/showcase/src/app.rs;pages/inputs	routing,TextInput	REQUIRED-UNCAPTURED V:SC-SHELL-PERSIST; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-SHELL-PERSIST	SC-INPUT: owner/search/API key drawn as references; only name/branch update	fields-edit;runtime-input;text-core;theme-paint	showcase-shell	TASK-002;TASK-032;TASK-039;TASK-069
SC-BUTTON-ACTIONS	showcase	buttons	showcase-scenarios.tsv#SC-BUTTON-ACTIONS; O:pages/buttons.rs:42,186	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	Button,Status	REQUIRED-UNCAPTURED V:SC-BUTTON-ACTIONS; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BUTTON-ACTIONS	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-buttons	TASK-002;TASK-033;TASK-039;TASK-069
SC-BUTTON-DISABLED	showcase	buttons	showcase-scenarios.tsv#SC-BUTTON-DISABLED; O:pages/buttons.rs:22,186;O:app_tests.rs:221	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/buttons	Button,focus	REQUIRED-UNCAPTURED V:SC-BUTTON-DISABLED; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-BUTTON-DISABLED	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	chrome;runtime-input;theme-paint	showcase-buttons	TASK-002;TASK-033;TASK-039;TASK-069
SC-BUTTON-TIME	showcase	buttons	showcase-scenarios.tsv#SC-BUTTON-TIME; O:pages/buttons.rs:42,186;M:apps/showcase/tests/elapsed_contract.rs:45	deadline repair implemented; parity unverified; M:apps/showcase/src/app.rs;pages/buttons	clock,Button,runtime	REQUIRED-UNCAPTURED V:SC-BUTTON-TIME; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV controlled clock; PTY stable/encoded-path proof; exact transient PTY requires qualified clock driver; showcase-scenarios.tsv#SC-BUTTON-TIME	Old busy_frames defect repaired; preserve Moment/deadline behavior while comparing oracle eligible ticks	chrome;foundation-api;runtime-input;theme-paint	showcase-buttons	TASK-002;TASK-033;TASK-039;TASK-069
SC-INPUT-EDIT	showcase	inputs	showcase-scenarios.tsv#SC-INPUT-EDIT; O:pages/inputs.rs:210;O:src/widgets/input.rs:190	partially migrated; live enabled fields inert; M:apps/showcase/src/app.rs;pages/inputs	TextInput,text-edit,Field	REQUIRED-UNCAPTURED V:SC-INPUT-EDIT; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-INPUT-EDIT	SC-INPUT: owner/search/API key drawn as references; only name/branch update	fields-edit;runtime-input;text-core;theme-paint	showcase-inputs	TASK-002;TASK-033;TASK-039;TASK-069
SC-INPUT-EMAIL-MASK	showcase	inputs	showcase-scenarios.tsv#SC-INPUT-EMAIL-MASK; O:pages/inputs.rs:13,28,210	partially migrated; live enabled fields inert; M:apps/showcase/src/app.rs;pages/inputs	TextInput,validation,masking	REQUIRED-UNCAPTURED V:SC-INPUT-EMAIL-MASK; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-INPUT-EMAIL-MASK	SC-INPUT: owner/search/API key drawn as references; only name/branch update	fields-edit;runtime-input;text-core;theme-paint	showcase-inputs	TASK-002;TASK-033;TASK-039;TASK-069
SC-TEXTAREA-EDIT	showcase	textareas	showcase-scenarios.tsv#SC-TEXTAREA-EDIT; O:pages/textareas.rs:20,80;O:src/widgets/textarea.rs:100	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/textareas	TextArea,text-edit	REQUIRED-UNCAPTURED V:SC-TEXTAREA-EDIT; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-TEXTAREA-EDIT	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	fields-edit;runtime-input;text-core;theme-paint	showcase-textareas	TASK-002;TASK-033;TASK-039;TASK-069
SC-TEXTAREA-SCROLL	showcase	textareas	showcase-scenarios.tsv#SC-TEXTAREA-SCROLL; O:app_tests.rs:388;O:pages/textareas.rs:80	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/textareas	TextArea,scrollbar,fade	REQUIRED-UNCAPTURED V:SC-TEXTAREA-SCROLL; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-TEXTAREA-SCROLL	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	fields-edit;runtime-input;scroll-parity;text-core;theme-paint	showcase-textareas	TASK-002;TASK-033;TASK-039;TASK-069
SC-FORM-VALIDATE	showcase	forms	showcase-scenarios.tsv#SC-FORM-VALIDATE; O:pages/forms.rs:16,25,84,92	partial; controlled fields/actions incomplete; M:apps/showcase/src/app.rs;pages/forms	Form,Field,validation	REQUIRED-UNCAPTURED V:SC-FORM-VALIDATE; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-FORM-VALIDATE	SC-FORM: reviewer/reset update and >1800ms submit lifecycle need restoration	fields-edit;runtime-input;text-core;theme-paint	showcase-forms	TASK-002;TASK-033;TASK-039;TASK-069
SC-FORM-SUBMIT	showcase	forms	showcase-scenarios.tsv#SC-FORM-SUBMIT; O:pages/forms.rs:57,92,229	partial; controlled fields/actions incomplete; M:apps/showcase/src/app.rs;pages/forms	Form,TextArea,RadioGroup,Checkbox,Toggle,clock	REQUIRED-UNCAPTURED V:SC-FORM-SUBMIT; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV controlled clock; PTY stable/encoded-path proof; exact transient PTY requires qualified clock driver; showcase-scenarios.tsv#SC-FORM-SUBMIT	SC-FORM: reviewer/reset update and >1800ms submit lifecycle need restoration	fields-edit;runtime-input;text-core;theme-paint	showcase-forms	TASK-002;TASK-033;TASK-039;TASK-069
SC-LIST-SELECT	showcase	lists	showcase-scenarios.tsv#SC-LIST-SELECT; O:pages/lists.rs:19,158;O:src/widgets/list.rs:125	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/lists	List,selection,scroll	REQUIRED-UNCAPTURED V:SC-LIST-SELECT; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-LIST-SELECT	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	collections;fields-edit;runtime-input;scroll-parity;text-core;theme-paint	showcase-lists	TASK-002;TASK-037;TASK-039;TASK-069
SC-TREE-FOLD	showcase	trees	showcase-scenarios.tsv#SC-TREE-FOLD; O:pages/trees.rs:105;O:src/widgets/tree.rs:367	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/trees	Tree,scrollbar,fade	REQUIRED-UNCAPTURED V:SC-TREE-FOLD; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-TREE-FOLD	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	collections;runtime-input;scroll-parity;theme-paint	showcase-trees	TASK-002;TASK-037;TASK-039;TASK-069
SC-TABLE-SORT	showcase	tables	showcase-scenarios.tsv#SC-TABLE-SORT; O:pages/tables.rs:130;O:app_tests.rs:279,309	migrated; exact parity unverified; M:apps/showcase/src/app.rs;pages/tables	Table,sort,scroll	REQUIRED-UNCAPTURED V:SC-TABLE-SORT; full cells/cursor/dimensions at every declared checkpoint	REQUIRED-UNCAPTURED PV+PTY required; neither complete capture claimed; showcase-scenarios.tsv#SC-TABLE-SORT	No per-checkpoint equality measurement; source audit and required shared-family proofs apply	grid-parity;runtime-input;scroll-parity;theme-paint	showcase-tables	TASK-002;TASK-034;TASK-039;TASK-069
