id	source	revision	decision_or_requirement	authority_status	acceptance_or_amendment_evidence	implementation_evidence	files_or_families	current_main_status	remaining_obligation	verification_requirement	task_ids
HI-011	docs/audit/domain-boundary-audit.md2.12	e81ca17b	Delete DataTable and absorb it into generic Grid	accepted	STATE G and dispositions	implementation not checked	grid; TablePro Structure; showcase tables	not independently tested	Preserve six Structure sections and distinct oracle sort/hover behavior through model/configuration	Structure header sort and all sections; no duplicate table engine	TASK-022
HI-012	docs/audit/domain-boundary-audit.md2.1	e81ca17b	Open composed Dialog body on runtime layer; convenience constructors use same primitive	accepted; closed DialogBody rejected	STATE I; K Form layer-agnostic; N sizing	prototype8ec40c1 reported	Dialog; modal app compositions	not independently tested	No body-kind switch or parallel convenience renderer; scroll/nested picker/ack state work	convenience/composed frame equality; nested forms; typed ack before activation	TASK-023
HI-013	docs/reviews/adjudication-k-form-grid.md K1	0100241f	Form is reusable component with controlled per-phase FormData and value-free actions	accepted although source header remains proposed	STATE f2d30b65 accepts F1-F13	architecture27bd918 reported	Form; FieldSpec; secret fields	not independently tested	Visibility/draft retention; commit-before-validate; first-error focus; no values() leak	heterogeneous form; hidden/show restored draft; submitted-invalid focus; debug redaction	TASK-019
HI-014	docs/reviews/adjudication-m-small-items.md M3	fa8adb7b	Choice controls remain generic per-phase collections; closed FieldKind uses label aliases and FormData options/value_and_options	accepted with later item-channel follow-up	STATE d57ed9ff; Q leaves scalar FieldControl widening unresolved	architecture M87ab93d4 reported	Select; RadioGroup; ChipBar; FormData	not independently tested	Keep items out of props and handle mutable value/options in one borrow; join later Form adjudication	borrow-checking external fixture; changing options without rebuilding props	TASK-018;TASK-019
HI-015	docs/audit/domain-boundary-audit.md2.4;3.4	e81ca17b	Shared TextEditorCore; explicit begin/commit/cancel/blur; borrowed trait/closure extensions	accepted and amended	STATE H; foundations phase review	input/prototype and4B checkpoints; current untested	TextInput; TextArea; CodeEditor; completion	not independently tested	No render-time commit; preserve oracle control-specific Esc semantics via supported policy; no fn-pointer-only hooks	focus-loss transitions; edit snapshot; paste/unicode; completion splice/anchor lifecycle	TASK-016
HI-016	docs/audit/domain-boundary-audit.md3.3; modern-api R19	e81ca17b	Secret redacts Debug/Display; actions carry identities; no ratatui Masked	accepted and amended	K F5/F13; foundations F22 names SecretMask and safe zeroization limits	foundations7899678 reported	Secret; form; editors; app credential domains	not independently tested	Follow later accepted disclosure policy; prevent raw secrets in debug/form results/capture	redaction corpus; compile-fail clone/eq; explicit reveal/reference paths	TASK-016;TASK-019
HI-017	docs/audit/domain-boundary-audit.md2.2-2.3	e81ca17b	Menus use typed action keys/chords; picker uses keyed borrowed rows filtered behavior and layer composition	accepted target; exact scope/controller APIs need later authority join	STATE I/J1-J13 accepted	later implementations not checked	Menu; Picker; FilterList; PickerChain	not independently tested	Preserve submenu scope/back/loading/error/disabled/secondary product paths without string payloads	key/mouse actions; async retry/back; no parallel index vectors	TASK-023;TASK-024
HI-018	docs/audit/domain-boundary-audit.md2.5-2.6	e81ca17b	DiffView consumes source abstraction; ScrollPanel absorbed by TextViewport; Panel gives contextual surface	accepted target	STATE I/G/H	implementation not checked	DiffView; TextViewport; Panel	not independently tested	No copied diff domain or separate read-only scroll engine; contextual roles preserve oracle	unified/review and resize; wheel survives redraw; custom theme and inherited background	TASK-021;TASK-026;TASK-027
HI-019	docs/audit/domain-boundary-audit.md2.7-2.8	e81ca17b	Merge StatusBar and segments priority-strip behavior; integrate component hints	accepted; hover later explicit	STATE cc1c877e delivered status; Q current cites §51 hover acceptance	4G partial checkpoint; not closure	StatusBar; HintBar; all shells	not independently tested	Keep precise drop order strongest left survivor and individual hover; no manual duplicate priority loops	narrow widths; left/center/right; item hit key; hover; overlay hint precedence	TASK-028
HI-020	docs/audit/domain-boundary-audit.md2.9-2.11;4.2	e81ca17b	Stable Tabs and SplitPane/Viewport reusable mechanics; dirty-close preview/pinning pane-tree/PTY semantics app-owned	accepted and amended	STATE G/I; no geometry in semantic state	implementation not checked	Tabs; SplitPane; TextViewport; Capsule; workbench	not independently tested	Remove per-render tabs/viewport reconstruction; keep domain tab policies and pane simulation	logical close after reorder; strip window; zoom/split/drag; caret override without clone	TASK-012;TASK-020;TASK-055
HI-021	docs/audit/domain-boundary-audit.md4.1 J1-J13	e81ca17b	Reusable form/choice/info/help/wizard/picker-chain/row-decoration facilities replace duplicated app plumbing	accepted dispositions; exact APIs require architecture join	STATE a156054d accepts I and J1-J13	implementation not checked	J1-J13 families; app compositions	not independently tested	Every J item needs explicit disposition; do not promote file-system or account semantics to library	showcase coverage for new public facilities; wizard rewind/drafts; custom rows; domain boundary	TASK-015;TASK-019;TASK-024;TASK-030
HI-022	docs/audit/performance-audit.md6 R1-R7	a156054d	Borrow data, window drawing, cheap reconciliation, sorted rules, nonallocating hot paths	accepted and amended	STATE accepts all16 §20.9 amendments; later probe/cache thresholds override proposals	WP-0 07cb2c9; foundations corrections reported	collections; theme; intents	not independently tested	Join exact later thresholds; cheap generation heuristic cannot hide arbitrary in-place data changes	100k vs1k scaling; explicit invalidation; real action dispatch; zero allocation style path	TASK-015;TASK-020;TASK-067
HI-023	docs/audit/performance-audit.md6.3; STATE	a2ddd278	Windowed incremental viewport and tree; remove full viewport clone; code edit-counter caches sorted span walks	accepted	STATE records double relayout P1 and §20.9 item7	implementation not checked	TextViewport; Tree; CodeEditor; Capsule	not independently tested	No buffer-size-scaled render/push or per-frame clone; semantic cache boundary retained	100k lines push/render; node-count-independent render; clone absence and byte limits	TASK-020;TASK-021;TASK-025;TASK-055;TASK-067
HI-024	docs/audit/performance-audit.md7; STATE	a2ddd278	Measure deterministic alloc/bytes separately from noisy wall time	accepted and amended	STATE thread-local counters and PERF_TARGET deviation; O budget correction	07cb2c9 pre-refactor baseline; bb92a65 header-only O change reported	perf harness; app frames	not independently tested	Use authoritative latest budget/strict-runner rules; do not replace measured baseline with estimates	alloc and byte hard bounds; fixed corpus; pinned timing context; before/after lineage	TASK-067
HI-025	docs/audit/modern-api-audit.md1; foundations review2.1	27bd918e;587c53bd;4e84b744f9b3a1e007aa9080e7ab924ed8ca7246	Backend-free core owns input vocabulary; optional ratatui-crossterm terminal adapter; no umbrella/widgets/macros	accepted later supersession of historical nonoptional backend vocabulary	Historical MOD/L and foundations correction retained as source history;4e84b744 supersedes nonoptional event dependency with own keys and optional terminal adapter	4e84b744; pinned main crates/tui/Cargo.toml feature/dependency and event.rs/keys.rs	Cargo; event; runtime/session; facade	implemented by direct source inspection; retain isolated graph and conversion proof	Preserve optional backend and core-owned keys; do not reconstruct obsolete mandatory backend dependency	dependency/path checks and no-default-features compile; no direct app crossterm	TASK-009;TASK-068
HI-026	docs/audit/modern-api-audit.md4; foundations2.5	ba858131	bitflags adopted; library SmallVec containers rejected; sorted Vec KeySet	accepted amended: transitive backend-only SmallVec permitted	foundations2.5 splits closure assertions2a-2d	7899678 reported	Cargo; KeySet; recipes	not independently tested	Reject own SmallVec/direct crossterm; prove every permitted backend-internal path crosses ratatui-crossterm	dependency graph path dominance; sorted-set mutation and binary-search probe test	TASK-011;TASK-020
HI-027	docs/audit/modern-api-audit.md R1-R6; foundations F4/F10	ba858131	One cell-width source and clipped writers; no render fit allocation; reset wide glyph continuation cells	accepted amended: set_span added beside set_line	foundations BL4/F4; R3 changed	7899678 reported	text; Ui paint; RowUi	not independently tested	Complete Unicode corpus including halfwidth marks/ZWJ/CJK/control cases; preserve padding/ellipsis by oracle	legacy differential with no trim/skip; tiny rects; shadow-cell reset; zero allocations inline corpus	TASK-013
HI-028	docs/audit/modern-api-audit.md R7-R13	ba858131	Runtime cursor write; semantic theme styles; modifier patch laws; typed glyph sets; integer layout vocabulary	accepted	STATE L and foundations review	7899678 reported	Ui; theme; layout; components	not independently tested	Do not introduce Stylize/literal RGB/constraint solver or second scrollbar state; preserve Junie symbols	boundary checks; modifier removal; layout tiny sizes; typed glyph/border contract	TASK-010;TASK-011;TASK-012
HI-029	docs/audit/modern-api-audit.md R14-R20	ba858131	Exhaustive mouse normalization; typed terminal mode commands; no keyboard enhancement; no Masked	accepted with later normalization refinements requiring join	STATE L; foundations review	implementation not checked	event; runtime session; secret	not independently tested	Preserve modifiers/right-middle button events and key press/repeat/release policy; terminal restore order	synthetic normalization; mouse PTY; panic/partial-init restoration; exact backend boundary	TASK-009
HI-030	docs/audit/modern-api-audit.md3;5	ba858131	Rust2024 MSRV1.88, deliberate lint contracts, docs/external examples, isolated counting allocator	accepted; future version changes require later source evidence	STATE d57ed9ff confirms held1.88	MSRV reported historical; current untested	workspace; crates; CI	not independently tested	Retain actual1.88 compile proof and meaningful lint exceptions; no hang to appease panic lint	MSRV all targets/features; clippy exact -D warnings; doc compile; no spin loops	TASK-068;TASK-069
HI-031	docs/audit/modern-api-audit.md3.4	ba858131	Semver checking deferred until completed rewrite and new baseline release	accepted deferred	modern-api explicit Slice8/fromv0.1.1 plan	no implementation verified	xtask; release/CI	not independently tested	Resolve latest authority; do not run against incompatible legacy surface as refactor completion proof	post-refactor baseline/tag and semver gate configuration	TASK-068
HI-032	docs/reviews/slice2-architecture-review.md; STATE	e2be0ced	Data moves to phase calls; derived Ui cache; frozen intent queue outlives Cx borrow; editor receives Esc before layer	accepted J amendments	STATE e2be0ced and foundations review verifies phase borrow ergonomics	95ab652 architecture; foundations18afddd reported	collections; cache; Cx; layer	not independently tested	Keep borrowed mutation ergonomic and cache nonsemantic; never replay original input during focus settling	external close/reorder fixture; cache derivation; Esc editor/modal sequence; exactly-once actions	TASK-010;TASK-015
HI-033	docs/reviews/slice2-architecture-review.md; STATE	e2be0ced	Temporary tui-next staging keeps legacy root compiling; legacy rename rejected	accepted historical staging; current implementation join required	STATE e2be0ced; Slice5 obligation reiterated808b9e43	18afddd workspace reported	workspace; src removal; apps migration	not independently tested	Do not recreate staging after completed rename; prove no remaining old/new duplicate path	facade imports; workspace members; root binaries; no compatibility shims	TASK-065
HI-034	docs/reviews/adjudication-m-small-items.md M1; foundations4a	fa8adb7b	Facade curated: own Size/Span; raw foreign text qualified author::raw; Frame root only	accepted and amended	STATE d57ed9ff; foundations rejects leaked text/id module	7899678 correction reported	lib.rs; author.rs; public types	not independently tested	Foreign-type completeness must inspect signatures, not substring presence; preserve external author path	compiled external examples; public surface/foreign-type graph	TASK-068
HI-035	docs/reviews/slice3-foundations-review.md BL1/F1	2e86bf61	All family/variant base before state rules; merge state rules by specificity and family-first tie	accepted correction	STATE d24b3fca accepts; bf491867 reports corrected	7899678 reported	theme resolve/recipe	not independently tested	No equal-color fixture masking precedence; neutral fallback not new precedence layer	contrasting roles in both themes; interleaved specificity; custom/variant override	TASK-011
HI-036	docs/reviews/slice3-foundations-review.md BL3/F3/F7	2e86bf61	Painting tracks actual written cells/roles; harness reports actual component resolution	accepted correction; later provenance work must join	STATE bf491867	7899678 reported	Ui raw; RowUi; layer buffer; Harness	not independently tested	No full-clip mark from internal alignment; no hardcoded BUTTON proof; verify actual painted effect	sentinel unpainted layer cells; dim role provenance; distinct component-family resolutions	TASK-031;TASK-073
HI-037	docs/reviews/slice3-foundations-review.md2.3; STATE O3	2e86bf61	ANSI16 uses legacy categorical luma/hue/brightness; CIE76 rejected	accepted with DarkGray correction	STATE eed81872 fixes border_subtle and hand-estimated color numbers	7899678; O bb92a65 reported	theme downgrade	not independently tested	Retain oracle colors; do not adopt perceptual improvement as parity fix	LightGreen accent/LightRed error; full oracle theme frames; corrected luma38 DarkGray	TASK-011
HI-038	docs/reviews/slice3-foundations-review.md2.4/2.6/2.8	2e86bf61	Perf tests distinguish painter/storage allocations and use deterministic intent probes/cache correctness	accepted amended by O	STATE eed81872: 2-way cache; <=16ns strict micro; <=5% Slice5 share	7899678 then bb92a65 reported	perf; intent queue; style cache	not independently tested	Inline corpus exactly0; wide corpus bounded painted columns; empty queue0probes; no invalid noisy total ratio	10k/100k equal-width; empty/nonempty intent probes; cache-generation negative control	TASK-067
HI-039	docs/reviews/slice3-foundations-review.md F9/F11/F12/F17/F23	2e86bf61	Architecture checks scan all production items; names correspond to executable tests; conformance meaningful	accepted	STATE bf491867 reports source-scan substitute and81 deferred names	7899678 reported	xtask; architecture; conformance; compile-fail	not independently tested	Close real missing obligations; no tail after cfg(test) omission; no zero-test false pass	mutations after test-attributed item; compile-fail; test listing; genuine state/action assertions	TASK-031;TASK-065;TASK-066;TASK-071
HI-040	docs/reviews/slice3-foundations-review.md MA11/MA14; STATE	873787e3	Foreign surface and doc-check rustdoc-json upgrades deferred to Slice8	accepted historical deferral; latest authority requires join	STATE873787e3 explicitly defers both	initial heuristic implemented; no upgrade verified	xtask; doc-check; public API	not independently tested	Determine which current checks replaced heuristics and close unresolved false proofs	unknown public foreign type and invalid documented API negative controls	TASK-068
HI-041	docs/reviews/adjudication-n-layer-measure.md N1-N2	d7faa2ce	Explicit LayerSize Fill/Fixed; only runtime resolves placement; pure Ui resolve/metrics for measure	accepted	STATE04be43b0; architecture587c53b reported	7899678 reported	LayerSpec; Dialog; Measure; Theme metrics	not independently tested	No sentinel0 size; no component duplicate center/clamp; slots/theme glyphs affect measurement	tiny viewport; resize/reanchor; wrapped rows; shared draw pure measure	TASK-012;TASK-017
HI-042	docs/reviews/adjudication-o-foundations-followups.md O1-O2	84993dfc	Two-way style cache; generation wrap cannot serve stale entries; ASCII whole typed sets	accepted	STATEeed81872/8b8e543f/1653fb13	bb92a65; historical negative-control generation test reported	theme cache; glyph; builder	not independently tested	Keep cache key correctness/generation proof; ASCII begin/end and all scheduled glyphs	wrap collision negative control; ascii idempotence and explicit override precedence	TASK-011;TASK-067
HI-043	docs/reviews/adjudication-p-prototype-decisions.md P3/P5/P6	bb92a657	Mono disabled text must remain visible; status-driven fixtures; forced-state composition inert; dismissal intents delivered	accepted and amended	STATE1653fb13 accepts; beca6d55 corrects original silent-loss premise	0f66160 code; dc3e0fa doc reported	mono recipes; Fixture; FieldControl; Dialog	not independently tested	No black-on-black Faint fallback; no props mismatch; do not gate owner update on open state	owner dismissal action; actual nonempty text; forced child registration inert; status affordance	TASK-010;TASK-031
HI-044	docs/reviews/adjudication-q-residuals.md Q1	e22ae190	Pressed brackets use existing reserved cells; shared implementation; label methods never steal content columns	accepted; Choice/Brand later remain open	STATE8377d635; R1 measured3c557f46; db370435 source	Q helper db37043538f6d9ce1020ccbb1d4aae163d50434e reported	Button; Tabs; ChipBar; Choice; Brand	not independently tested	Finish surviving Choice/Brand questions with oracle geometry; do not generalize brackets into RowUi labels	full-width label/close-cell equality; Tabs bracket-off negative control	TASK-015;TASK-018
HI-045	docs/reviews/adjudication-q-residuals.md Q1/A4	e22ae190	Resolved and PartMetrics glyph use Slot Inherit/Set/Clear; cell-owning RowUi honors distinct outcomes	accepted then incompletely implemented at early checkpoint	STATE8377d635 rejects no-callers premise;70dacec1 finds Clear collapse	dirty migration294e231c; follow-up source not identified here	RowUi marker/part/gutter; theme metrics	not independently tested	Test each method separately; current Q says fixed, but verify pinned source	Inherit/Set/Clear caller matrix; reserved geometry; existing examples07/08	TASK-015
HI-046	docs/reviews/adjudication-q-residuals.md Q2-Q3	e22ae190	Fixture forced state/status private paired writer; every narrowed state gets reason and production support proof	accepted; reason containment insufficient alone	STATEd49145fe applied;70dacec1 catches false boilerplate	Q checkpoints and current Q reference_state Option shape	Fixture; conformance driver/cases	not independently tested	Distinguish no reference from forced empty; no false reason hides accepted prop	compile privacy; status precedence; real supported-state pairwise rendered tests	TASK-031
HI-047	docs/reviews/adjudication-q-residuals.md; STATE	ad94d12a	Select opens Popover without focus trap; OVERLAY distinct from TRAPS_FOCUS	accepted Q; contradictory trap proposed and under adjudication at handoff	STATEad94d12a records conflict; current Q retains non-trapping	capability code reported Mencius dirty checkpoint	Select; layer; conformance capability	not independently tested	Join final §33/later ruling; never silently convert popover to modal to satisfy case14	outside-focus dismissal; owner focus; pointer barrier; modal-only tab trapping	TASK-017;TASK-018
HI-048	STATE digest addenda	2a9316c0	Baseline merge/atomic publication fixes threads, but documented cross-process read/rename window remains	partially implemented; title overstates guarantee	STATE2a9316c0 expressly records theoretical cross-process loss	2a9316c0 source commit	baseline writer; trusted evidence	not independently tested	Do not treat historical BLESS mechanism as trusted oracle protection; planner evidence immutable	concurrent process negative control; digest integrity; no executor baseline writes	TASK-008;TASK-069
HI-049	STATE§31 acceptance	70dacec1	Mono fallback must cover by_family union neutral; test cannot enumerate same incomplete collection as implementation	accepted; F1 distinct from F5 neutral replacement	STATE70dacec1 rejects new precedence and family-construction seeding	code in flight at checkpoint; later source join	Recipes neutral; mono downgrade; custom family	not independently tested	Preserve neutral scope invariant and separately handle get_mut replacement semantics	undeclared custom family mono states; define_family empty edit; all reachable recipe routes	TASK-011;TASK-031
HI-050	docs/audit/app-audit.md5-6; STATE baseline	e81ca17b	Historical app tests and deterministic journeys preserve product semantics across architecture migration	historical evidence; current immutable oracle wins	STATEcefc4b8a capture failures and79efbf60 baseline additions	pre-refactor test198 baseline; later247 reported	Showcase; TablePro; Jackin; Holla from oracle auditors	not independently tested	Expand beyond old screenshots/counts; exact key/mouse/focus/resize/domain action outcomes	oracle-driven full frames and actions; deterministic clock; cursor/hitbox assertions	TASK-066;TASK-069;TASK-071
HI-051	STATE P1 Slice5 obligation	beca6d55	Merge prototype Buttons example and forced matrix into apps/showcase; strike temporary deviation	accepted deferred to Slice5	STATEbeca6d55 and808b9e43 explicitly preserve task obligation	prototype8ec40c1; current migration not checked	showcase Buttons; examples; conformance	not independently tested	Avoid permanent example-only demo/production divergence; all public components showcased	real app page ownership and forced matrix coverage; no obsolete prototype escape	TASK-033;TASK-066
HI-052	STATE historical green corrections	beca6d55;ad94d12a	Gate evidence attaches to exact source and exact command, not checkpoint title or reduced command	accepted evidence discipline	STATE corrects transient doc-induced red and missing clippy -D warnings	no production change required	evidence; task verification	not independently tested	Each final gate resolves source and reports nonzero selected test count; no inherited PASS	exact workspace gate strings; pinned hashes; guard mutation checks	TASK-069
HI-053	docs/reviews/adjudication-n-layer-measure.md N1	d7faa2ce	Fixed zero means empty Rect; size never grows into free space; only resize_layer/reanchor mutate open geometry	accepted; callback measurement and mutable LayerSpec closure rejected	STATE04be43b0; N1 resolver invariants	7899678 reported	LayerSpec; runtime resolver	not independently tested	Preserve kind/inert/initial-focus after open; repaint only on geometry change; retain scope semantics for empty layer	Fixed0; oversized/tiny viewport; identical resize no repaint; rejected outside mutable policy access	TASK-017
HI-054	docs/reviews/adjudication-n-layer-measure.md N1/N2	d7faa2ce	Measurement resolves theme/surface/overlay without styled-part recording or cache mutation; metrics omit overlays/surface for update	accepted; measure signature unchanged	STATE04be43b0; N pure path decision	7899678 reported	Ui::resolve; Theme::metrics; Measure	not independently tested	Measurement cannot make invisible part appear conformance-covered or evict painting cache; instance patch excluded by N contract	Cache stats and styled-parts unchanged after measure; glyph size differential; later overrides authority join	TASK-012;TASK-031
HI-055	docs/reviews/adjudication-n-layer-measure.md N2	d7faa2ce	Ui::with_part resolves once without pushed scope; surface_style and Resolved::over preserve inherited surfaces	accepted; Ui::scroll_region left open in N	STATE04be43b0; later ScrollRegion52da8375 reports prepare/handle split	7899678/52da8375 reported	Ui; RowUi; ScrollRegion	not independently tested	Do not implement N open scroll helper as accepted API; join later architecture; maintain inherited.patch(child) direction	Nested surface paint and allocation proof; latest ScrollRegion update/draw ownership tests	TASK-011;TASK-031
HI-056	docs/reviews/adjudication-o-foundations-followups.md O1	84993dfc	Cache >=90% is statistical key-correctness floor; deterministic same-key hit and clear miss prove mechanism	accepted; direct-map revert and benchmark distribution weakening rejected	STATEeed81872; O1 exact geometry correction	bb92a65 reported	StyleCache; perf baseline header	not independently tested	One construction allocation; bounded256 entries/128 two-way sets; full key plus overlay hash; generation wrap clears entries	Same-key hit/miss then clear; forcedMAX wrap stale-entry negative control; distinguish collision floor from guaranteed rate	TASK-011;TASK-067
HI-057	docs/reviews/adjudication-o-foundations-followups.md O2; M2	84993dfc	ASCII border opt-in applies named whole typed glyph-set swap; explicit later glyph overrides win; no automatic Unicode capability	accepted amendment; full manual ASCII table scheduled4E	STATEeed81872; O2 replaces M indefinite fallback deferral	bb92a65 reported	ThemeBuilder; GlyphSet; ScrollRegion	not independently tested	All scrollbar caps and line seams included; full remaining glyph table requires later adjudication; ASCII-to-PLAIN stickiness intentionally retained	Every typed field scanned not just painted ones; idempotence; builder ordering; no oracle rebless permission inherited	TASK-011
HI-058	docs/reviews/adjudication-o-foundations-followups.md O4a	84993dfc	Pure style-resolution <=16ns/query strict bound substitutes before real showcase frame; reinstate <=5% actual-frame share atSlice5	accepted dated substitution	STATEeed81872; O4a exact200minus40=160 query correction	bb92a65 reported	Perf; showcase list frame	not independently tested	Verify substitution expired after app migration; A/B extrapolation multiplier12.5 not10; differential baseline-free and secondary	Strict low-noise10k query loop; real120x40 frame share; correct query accounting and baseline header	TASK-067
HI-059	docs/reviews/adjudication-o-foundations-followups.md O4b	84993dfc	Intent cost uses zero empty probes plus480 nonempty probe delta per single update pass; raw500/20 time ratio only reported	accepted; absolute probe500 and raw1.25 ratio rejected	STATEeed81872; O4b derived normalized ratio	bb92a65 reported	IntentQueue; perf probes	not independently tested	Keep construction-cumulative counter; exactly one probe per drain not perframe absolute; legitimate additional pass must explain changed delta	Zero allocations; empty0;500minus20=480; normalized(ns500*20)/(ns20*500)<=1.25 strict	TASK-010;TASK-067
HI-060	docs/reviews/adjudication-p-prototype-decisions.md P2	bb92a657	Render matrix test paths binding; two targets temporary throughSlice4 and mergeSlice5	accepted dated staging	STATE1653fb13 accepts P; sourceP2 exact target amendment	0f66160/dc3e0fa reported	render.rs; render_components.rs; gate scripts	not independently tested	Check split expired or later amendment; while split every render gate names both, never halfmatrix green	List actual render::components paths; full matrix both themes/colors/sizes; later source ownership join	TASK-066;TASK-071
HI-061	docs/reviews/adjudication-p-prototype-decisions.md P4	bb92a657	Dialog measured height includes prompt field row and acknowledgement echo row; default body_rows differs by constructor	accepted amendment toN formula	STATE1653fb13; P4 amended formula	0f66160 reported	Dialog measure/draw	not independently tested	No caller-owned field-height arithmetic; title row remains reserved even empty; same wrapped_rows algorithm	Prompt/ack both themes; measured content terms equal drawn field height; oracle exact geometry	TASK-023
HI-062	docs/reviews/adjudication-p-prototype-decisions.md P3	bb92a657	Diagnose every undrained runtime-addressed Layer/Cancel/FocusIn/FocusOut owner regardless decorative registration	accepted with factual correction	STATEbeca6d55: gated dialog loses dismissal but actionbutton FocusOut already diagnosed	0f66160 reported	Runtime; IntentQueue; Dialog	not independently tested	Unconditional owner update; size at opener prevents Fill flash; decorative pointer exemption stays; no redraw-based result polling	Gated-shape diagnostic negativecontrol vs unconditional Dismissed action; decorative pointer no bucket; all within samehandle	TASK-010;TASK-017
HI-063	docs/reviews/adjudication-p-prototype-decisions.md P5/P6	bb92a657	Forced rendering inert at every depth; mono required states are capability union; readiness props drive actual spinner slot	accepted and amended byQ fixture privacy	STATE1653fb13;Q52da8375 adds TextArea forced-status negativecontrol	0f66160/52da8375 reported	FieldControl; all composed components; conformance	not independently tested	No manually force-both-halves fixture convention; retain editing+disabled requirements; actual accepted status supported; List readiness cannot remain permanent exemption	Forced Field/Dialog register no controls; composed subtree ring empty; union syntheticcaps; visible glyph notPARTSconstant	TASK-031
HI-064	docs/reviews/adjudication-m-small-items.md M3	fa8adb7b	Closed form label controls have positional value contract; richer keyed/custom-row control through Chooser	accepted historical contract; join laterForm amendments	STATEd57ed9ff; M3-1 throughM3-4	architecture87ab93d4 reported	FieldKind; FormData; FormState	not independently tested	Do not call positional form choice reorder-stable; app remaps optionindex or chooses keyed external control; no props/state storage crossover	Option reorder index mapping; chooser emits fieldId; state Clone+Eq redacting draft; no FieldKind reachable fromstate	TASK-018;TASK-019
