finding_id	title	task_ids	proof_owners	adjudication_status	source_report_section	branch_corrections_binding
BD-JT-14	timing constants survived; choreography did not	TASK-051;TASK-054;TASK-055;TASK-056	JA-002;JA-003;JA-040;JA-041;JA-062	integrated	branch-diff-jackin-tablepro.md#BD-JT-14	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-RAIN-CHOREography;refactoring-tasks/terminal-components/completion/054/trusted/jt-branch-corrections.md#JT-RAIN-CHOREography
BD-JT-15	service-backed modal flows replaced by hardcoded branches	TASK-051;TASK-052;TASK-053;TASK-054	JA-012;JA-013;JA-014;JA-015;JA-032;JA-034;JA-037;JA-038	integrated	branch-diff-jackin-tablepro.md#BD-JT-15	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-SERVICE-MODALS;refactoring-tasks/terminal-components/completion/052/trusted/jt-branch-corrections.md#JT-SERVICE-MODALS
BD-JT-16	keyed component events discarded by application selection shortcuts	TASK-053	JA-020;JA-022;JA-024	integrated	branch-diff-jackin-tablepro.md#BD-JT-16	refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-PICKER-KEY-RESOLUTION
BD-JT-17	captured operations exist, but live app still substitutes first workspace	TASK-051;TASK-053;TASK-054;TASK-055		integrated	branch-diff-jackin-tablepro.md#BD-JT-17	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-WORKSPACE-TARGET;refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-WORKSPACE-TARGET
BD-JT-18	frozen screenshot painting masks a different interactive composition	TASK-051;TASK-053;TASK-055	JA-005;JA-006;JA-016;JA-017;JA-046	integrated	branch-diff-jackin-tablepro.md#BD-JT-18	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-HISTORICAL-PAINT;refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-HISTORICAL-PAINT
BD-JT-19	dirty-exit labels and effects are inverted; source branches absent	TASK-055;TASK-056	JA-059	integrated	branch-diff-jackin-tablepro.md#BD-JT-19	refactoring-tasks/terminal-components/completion/056/trusted/jt-branch-corrections.md#JT-CAPSULE-EXIT
BD-JT-20	live UI omits behavior even where isolated models support it	TASK-053;TASK-055;TASK-056		integrated	branch-diff-jackin-tablepro.md#BD-JT-20	refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-LIVE-REDUCERS;refactoring-tasks/terminal-components/completion/055/trusted/jt-branch-corrections.md#JT-LIVE-REDUCERS
BD-JT-21	HardCases launch plans have executable producers	TASK-051;TASK-054	JA-005;JA-006;JA-007;JA-008;JA-009;JA-010;JA-011;JA-043	integrated	branch-diff-jackin-tablepro.md#BD-JT-21	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-HARDCASES-PLANS;refactoring-tasks/terminal-components/completion/054/trusted/jt-branch-corrections.md#JT-HARDCASES-PLANS
BD-JT-22	retained performance row names do not prove retained workloads	TASK-055;TASK-067		integrated	branch-diff-jackin-tablepro.md#BD-JT-22	refactoring-tasks/terminal-components/completion/055/trusted/jt-branch-corrections.md#JT-PERF-WORKLOAD
BD-JT-23	migrated tests sometimes ratify lost behavior	TASK-004;TASK-051;TASK-053;TASK-054;TASK-056;TASK-057		integrated	branch-diff-jackin-tablepro.md#BD-JT-23	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-MIGRATED-TESTS;refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-MIGRATED-TESTS
BD-JT-24	global settings requires real scoped state, not selected labels	TASK-053	JA-026;JA-027;JA-028;JA-029	integrated	branch-diff-jackin-tablepro.md#BD-JT-24	refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-SETTINGS-SCOPED-STATE
BD-JT-25	Usage, Cockpit and Inspect carry independent scroll/focus/error contracts	TASK-052;TASK-054;TASK-056	JA-039;JA-060	integrated	branch-diff-jackin-tablepro.md#BD-JT-25	refactoring-tasks/terminal-components/completion/052/trusted/jt-branch-corrections.md#JT-USAGE-COCKPIT-INSPECT;refactoring-tasks/terminal-components/completion/054/trusted/jt-branch-corrections.md#JT-COCKPIT-CONTRACTS;refactoring-tasks/terminal-components/completion/056/trusted/jt-branch-corrections.md#JT-INSPECT-CONTRACTS
BD-JT-26	shared Config source has explicit non-atomic compatibility branches	TASK-053	JA-016;JA-017;JA-018;JA-019;JA-020;JA-021;JA-022;JA-023;JA-024;JA-025;JA-026;JA-027;JA-028;JA-029;ADJ-19	integrated	branch-diff-jackin-tablepro.md#BD-JT-26	refactoring-tasks/terminal-components/completion/053/trusted/jt-branch-corrections.md#JT-CONFIG-QUIRKS
BD-JT-27	global account operations are not the reduced generic account list	TASK-052	JA-030;JA-031;JA-032;JA-033;JA-034;JA-035;JA-036;JA-037;JA-038;JA-039	integrated	branch-diff-jackin-tablepro.md#BD-JT-27	refactoring-tasks/terminal-components/completion/052/trusted/jt-branch-corrections.md#JT-ACCOUNTS-OPERATIONS
BD-JT-28	Capsule's actual mode routing differs from its priority comment	TASK-055;TASK-056	JA-050;JA-051;JA-054;JA-056;ADJ-20	integrated	branch-diff-jackin-tablepro.md#BD-JT-28	refactoring-tasks/terminal-components/completion/055/trusted/jt-branch-corrections.md#JT-CAPSULE-ROUTES
BD-JT-29	shell restoration must retain real arbitration and event-specific ownership	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055;TASK-056	JA-001;JA-002;JA-003;JA-004;ADJ-21	integrated	branch-diff-jackin-tablepro.md#BD-JT-29	refactoring-tasks/terminal-components/completion/051/trusted/jt-branch-corrections.md#JT-SHELL-ROUTING
