id	source_revision_section	obligation	authority_status	supersession_or_correction	required_acceptance_evidence
EARLY-AMEND-011	b60c8280 Appendix A	Each root binary and associated default-run are removed with the commit adding its replacement app.	accepted staging invariant	Rejects duplicate binary/doc ownership. False double-rewrite rationale withdrawn; old slice dates and temporary-name commands are historical.	cargo metadata target uniqueness; no stale default-run; direct binary capture identity; coherent intermediate application manifests.
EARLY-AMEND-012	444ae3d9 §16.5	Application dispatch boundary uses actual rule25 and its real legacy allow-list; nonexistent apps/allow/dispatch.txt provides no enforcement.	accepted evidence correction	Target remains zero legacy owns/locate/child/scrollbar-id dispatch; changes must name the scanner that executes.	Negative app-source fixtures prove actual roots scanned; real allow-list exhaustion and justification reporting.
EARLY-AMEND-013	4d262110 §20.10 item20;a1759b2a §12.1	Reference state must not erase props-derived error/readiness.	accepted invariant; original mechanism superseded	Item20 classified former forced-state repair for ProgressBar/Meter/HintBar; central reference scope replaces local forced operator.	Error+disabled reports error; Ready has no error affordance; labels/arithmetic/percentage geometry unchanged against oracle.
EARLY-AMEND-014	3adb6efe §§5,17 A7	Dialog body-slot draw returns R; one-slot containers use one body closure; SplitPane is the sole two-rectangle body exception.	accepted	Dialog Option<R> sketch corrected to R; full §56 contract belongs to late ledger.	Public compile examples inspect exact closure return and both logical SplitPane rects; shared self and state preserved.
EARLY-AMEND-015	3adb6efe §§6,13,17 A7	RadioGroup::value(ItemKey) is identical in both phases, seeds only missing cursor during update, and controls checked draw.	accepted; user-visible key semantics governed by oracle	Draw-only controlled-value exception withdrawn; §29.7 RadioGroup API question closed by§50.	Shared props constructor; initial/moved/missing cursor; controlled value changes; keyboard/mouse oracle scenario.
EARLY-AMEND-016	3adb6efe §§6,17 A7;a1759b2a §20.10 item23	ChipBar add is a collection-level AddRequested action with Part::NEW and add(label); no sentinel ItemKey.	accepted	Existing-item actions remain keyed; fabricated Activated(add-key) rejected.	Keyboard/mouse AddRequested equivalence; reorder/overflow identity; no synthetic item enters checked/cursor data.
EARLY-AMEND-017	a1759b2a §20.10 item23;3adb6efe §29.7	ChipBar checked membership uses canonical Checked in its reserved cell; component patches preserve caller META and owned geometry.	accepted; oracle output controls	CHECKED replaces synthesized SELECTED; automatic CONTAINER/LABEL patches do not overwrite caller-owned row styling.	Set/Inherit/Clear marker; trailing META; close/pad/overflow positions; no CheckboxOn clipping or label truncation.
EARLY-AMEND-018	a1759b2a §§3.3,6,8.2,8.6,18.2	Uncaptured Move targets exactly one top live non-decorative part, changes hover without focus/activation; captured Move is Drag only.	accepted	Phase::Move added; menu hover cursor updates occur in update, not draw or Press substitution.	Decorative overlap; live top layer; no-target case; visible-hover repaint; captured unbuttoned movement; enabled-menu cursor change.
EARLY-AMEND-019	a1759b2a §§3.3,13.1	Explicit effective Tab/ShiftTab/BackTab component bindings precede fallback ring traversal.	accepted; oracle product mapping controls	Navigation-only Tab rule amended; Capture still runs first.	Bound/unbound Tab and BackTab; remap/remove transitions; overlay and edit-mode focus paths match oracle.
EARLY-AMEND-020	a1759b2a §13.1	Binding has ActionKey and Option<Chord>; owner-scoped add/remap/remove drives routing and hints from one resolver.	accepted	HintBar selects first nonempty priority layer; cache includes BindingTableId and keymap_revision, not only focus/state/layer.	Removed/invisible entries absent; stable priority/insertion; structural map/table replacement invalidates; unchanged frame zero allocations.
EARLY-AMEND-021	a1759b2a §§12.1,16.2,17,18.3,21,28;15ecde1e;0f018368	Ui::reference makes complete subtree inert and targets only one owner/part with FOCUSED/FOCUS_VISIBLE/HOVERED/PRESSED.	accepted supersession	Deletes all component state_override/inherit_forced, including FieldControl hooks; historical rejection of central scope is superseded.	Callback/slot/nested component suppression of hits/ring/layout/cursor/bindings/layers; exact target and None; no semantic flag injection.
EARLY-AMEND-022	a1759b2a §16.2;15371443 §29.2	Fixture::force couples real semantic data with optional reference state; Some(empty) is inert, None is live.	accepted	Private reference_state:Option<StateFlags> replaces private StateFlags; selected/decor_flags and readiness are explicit.	Construction privacy; forced default differs from live; exact child/activation target; semantic state preserved for collections/forms.
EARLY-AMEND-023	a1759b2a §§12.3,20.9 item11,23	GridModel has three required methods; cell returns Option<CellRef> for ragged holes; CellRef align is Option<Align>.	accepted	Associated Row type removed; None align inherits Column; None cell differs from an empty present string.	Read-only downstream model compiles; ragged holes versus empty cells; explicit/inherited alignment; preformatted load allocation gate.
EARLY-AMEND-024	a1759b2a §§12.4,16.6,18.2,20.9	Viewport caches complete usize wrapped-row prefix, appends suffix only, invalidates same-length edits explicitly and disables reuse at generation saturation.	accepted correction	Window-only exact global indexing and document-independent cold reflow are rejected.	Bruteforce prefix equality; offscreen same-length rewrap; total/end/thumb/mapping; growth/front retention; saturation; zero warm prefix visits.
EARLY-AMEND-025	a1759b2a §16.6 and gates	Viewport warm frame has zero allocations/index visits and equal visible visits for1k/100k; cold reindex is report-only.	accepted	Warm ns≤1.5× under PERF_STRICT; cold/reflow/invalidation excluded; no-full-clone bytes<64KiB uses primed viewport.	perf and perf_collections both execute; allocation/visit assertions and pinned-runner timing; separate cold cache bytes report.
EARLY-AMEND-026	a1759b2a §§15.1,17 A9;91f0296a;3f26ab14	Form has no cancel builder or public Reconcile implementation; enclosing owner controls cancellation and lifecycle.	accepted	Private field reconciliation replaces generic trait; actions remain declared, submit/enter remain explicit.	Owner dismiss/cancel zeroization; no Form layer-event ownership; generic API absence; declaration order and form action ordering.
EARLY-AMEND-027	91f0296a §§15.1,17 A9;e49de3f8;c936d51f	Form reconciliation reads sensitivity before visibility filtering and zeroizes removed/shape/sensitivity-transitioned drafts.	accepted	Visibility-only toggles preserve eligible drafts/cursor; ErrorState replaces raw stored public FieldError; reveal is explicit.	Dynamic sensitive/plain/hidden/group changes; reorder; removed slots; current-owner detail access; no stale secret error detail.
EARLY-AMEND-028	e49de3f8 §§15.1,17 A9;c936d51f §15;3f26ab14	Public FormState errors are generic; direct secret String begin requires sensitive state; expose is crate-private and masks accept SecretPolicy.	accepted security boundary	Only private Form draw sees current plain detail; zeroization remains best-effort safe Rust, never guaranteed erasure.	Public error reads before update during dynamic sensitivity change; direct sensitive begin/cancel; Debug/display/mask policy; capacity release.
EARLY-AMEND-029	a1759b2a §16.2;cd70747d	Conformance distinguishes SELECTS from COLLECTION and supports actual Click/DoubleClick activation plus real semantic mono setup.	accepted	Grid uses DoubleClick; selected state cannot be fabricated by reference bits. Registry synchronization adds Probe/DerivedHintBar and removes stale registrations.	Compare live public component inventory with actual registry; cap negative controls; real selection/setup and gesture equivalence.
EARLY-AMEND-030	a1759b2a §18.2	CompletionController keeps focus/binding ownership on editor while popup owns geometry, pointer, scroll and lifecycle.	accepted	Completion::update_for(editor_id,…) consumes reachable editor-addressed commands; no app hand-wired synthetic keys.	Owner-separated bindings; editor focus retained; popup click/scroll/close; nested overlay and completion action traces.
EARLY-AMEND-031	a1759b2a §§11.2,20.10 item24	TooSmall has dedicated appended family raw value34; preserve copy, blank rows, centering and faint ACTIONS.	accepted architecture; oracle pixels govern	New family must not renumber existing values; historical first-generation64 keys not blanket appearance approval.	Family isolation; small/zero rect; exact quit tone and oracle minimum-size text; complete public conformance.
EARLY-AMEND-032	a1759b2a §20.10 items21–27	First-generation sets are closed: Panel/SplitPane/Viewport/Tree256;TooSmall64;ScrollRegion/NavList/Steps/Grid256;DiffView/Code128;overlay/form family576.	historical classifications	Distinct from fourteen-component item19; ScrollRegion pressed item21 overlaps classification but adds no extra keys.	Exact keys; real selected Grid/Tree; nonselecting Steps; complete bar; NavList labels/badges; diff paths/hunks; code caret; form/menu/picker/wizard content.
EARLY-AMEND-033	a1759b2a §20.10 items28–31	Semantic selection is caller/state-owned; Select disclosure has distinct SelectClosed/SelectOpen glyphs and exact field marker position.	accepted boundary; oracle output governs	Historical16/28/177-key movements do not authorize new parity drift; no-prompt Dialog reference targets first enabled action only.	Exactly one semantic chosen/active row; closed/open Select glyph and FIELD.right()-2; prompt target versus action; no root/sibling runtime flags.
EARLY-AMEND-034	cae32f88;0c6c45df;612ff7af §16.5	Architecture gates fail when a due application manifest or production page owner is absent.	accepted	Coverage requires22 identities/order/dispatch and per-page reachable production draw/update, not imports/shared pages/mod.rs/dead helpers/tests.	Mutations remove manifest/page/root/component use and fail; metadata publish=false and no library-to-app dependency.
EARLY-AMEND-035	2f20bea2;130b85a4;557331b6; e524ceaa §16.5,Appendix B	Capture uses explicit BIN and argv, owned run/session, provenance, transactional per-shot artifacts, and validated complete manifest hashes.	accepted final merged contract	Identical WIPs/cherry-picks and explicit reverts are recorded; older ARGS interpolation contract is superseded by merged hardened path.	Fail on incomplete96-cell historical matrix, wrong binary, missing artifact/hash/session provenance; parity plan extends required app axis to Holla.
EARLY-AMEND-036	9b311666 §§16.5,20.10 items32–33	Every migrated app owns nonempty visual and performance baselines; root workspace becomes virtual with no detached root sources.	accepted	First generation is a new evidence record, never permission for later drift; frozen root performance remains before image.	Presence/content gates; exact metadata targets; no root package/src; immutable before references and performance regression checks.
EARLY-AMEND-037	383af57c §20.10 item34;8514210c item21;c3b51b96 items35–39	Historical baseline repair/merge classifications cannot replace immutable user-visible parity.	historical approvals subordinate to PLANNING_GOAL	144 Showcase repair keys; truecolor ScrollRegion/Grid extension; merge35 style-only20 keys,Showcase672+32 first,TablePro168,Jackin64,components594.	Oracle02f5294 exact cells/actions for every affected family/app; no rebless-based pass; preserve scenario timing and content.
EARLY-AMEND-038	246f7e40 Appendix A/B and early gates	Mechanical tui-next/tui_next replacement is not a new architectural staging decision.	historical mechanical rewrite	Whole older prefix equals exact two-string replacement; self-renaming prose and temporary junie-tui wording are corrupted history.	Use actual pinned manifests/topology; don't schedule redundant rename or infer removal permission from corrupted historical sentences.
EARLY-AMEND-039	aabe0b5f both parents;15ecde1e;0f018368	Archived unowned nomenclature scrub does not outrank accepted reconciliation or erase rejected-decision evidence.	archived proposal; accepted successor correction	Archive included self-superseding Dialog::facts wording; successor retains deleted facts-body meaning and explicit historical forced-state status.	Source/ancestor provenance; rejected API ledger retained; no revived forced-state hook or invented old-member API.
EARLY-AMEND-040	0f018368 §16.5,21 item34	Current doc-check is open-ended numbered-section syn/regex source inventory, with strict allow-list parsing, not compilation or signature proof.	accepted checker description	Does not inspect tui-testing or prove visibility/signatures; foreign-type rustdoc JSON architecture checks remain separate.	Malformed/duplicate allow-list negative controls; source roots/range; separate downstream compile and rustdoc API closure gates.
EARLY-AMEND-041	82158df5 §21 item17–19	HintBar receives required HintLayer; optional selection belongs to HintBar::resolve/DerivedHintBar; Cx::record feeds runtime/harness records.	accepted API correction	No current Screen::hints hook or AppActionRecord/Harness::actions promise.	Public examples compile; effective hint selection and instrumentation records validated independently.
EARLY-AMEND-042	33eeb99e;03697429 §16.5	Shared Props scan includes apps/examples/library composites; parse failures, empty existing roots and zero constructions fail closed.	accepted; explicit scanner limits	Configured CONST_ID constructors use one private non-method constructor for both phases; dynamic IDs/unconfigured/test fixtures exempt; no cross-file proof claim.	Negative duplicate configured constructor; phase disabled mismatch proof; positive exemptions; actual source-root and parser failures.
EARLY-AMEND-043	43a147f0 §§16.1,29;15371443 §§16.1,29.1,29.4	Choice in-run pressed bracket remains unresolved; Brand/menu reserved-pad proofs do not close Choice.	unresolved historical obligation	15371443 retracts nonexistent choice::mono_pressed_choice_keeps_the_label_geometry; approved shared helper excludes choice.rs.	Task must reconcile intended geometry with immutable Choice/RadioGroup app states; proof must execute actual current implementation.
EARLY-AMEND-044	15371443 §29.9	TextArea covered FIELD part override can be proved by its actual recorded resolution when composed paint leaves digest unchanged.	accepted implementation evidence	ebfa8b8 closes earlier false negative; patch_part hook remains future optional ordering-hardening, not mandatory unfinished gate.	Check selected part/owner resolution and theme immutability; no unrelated sibling comparison; include current text_area override case.
EARLY-AMEND-045	15371443 §§16.2,29;2a0cf299	Test command filters must select actual integration module names and valid typed syntax.	accepted correction	Remove fictitious conformance:: prefix; Option<StateFlags> comma fixes;934 conformance result belongs to tested f713ccb only.	Enumerate and require nonzero matched tests before execution; no stale PASS counts or zero-test filter success.
EARLY-AMEND-046	f01703a6 §17 A4,example9	ActionKey::application uses0x4000–0x7FFF; component custom uses0x8000–0xFFFF.	accepted	Disjoint product/component command identity; delete example corrected to application key.	Range/disjointness tests; app source scan and effective binding tests; no product-command collision with internal action.
EARLY-AMEND-047	2caff455 §16.1;577bf533 §§3.3,21	Restored owner receives original retained key only after successful live publication proves opener enabled/present/admissible.	accepted supersession	Old before-next-draw exception withdrawn; closing FocusOut immediate; invalid opener uses survivor reconciliation; fresh programmatic focus distinct.	Removed/disabled/trapped opener; aborted/dropped paint and Scene cannot acknowledge; exact retained-key and callback ordering.
EARLY-AMEND-048	b1c8c447 §8.4;2f139259 §8.4	Explicit typing fallback may own text/paste/editing/cursor without moving navigation focus; ambiguous targets choose none.	accepted extension	Primary editor blocks fallback even idle/read-only; conditional cursor offers need same-owner/layer declaration; unselected valid offers silent.	Unicode draft/caret while row focus retained; modal/aborted/model-change barriers; conflict diagnostics; raw cursor rejection preserved; zero-warm-allocation bound Scene.
EARLY-AMEND-049	934c92dc §8.6	FeedbackClock Simulation uses absolute domain-owned synchronized time and preserves source cadence without wall deadlines.	accepted extension	Wrong-policy/backwards reject atomically; equal idempotent; tick/input/draw/wall count cannot age simulation; owner disappearance does not cancel cadence.	Nonzero epoch;80/160/coalesced delayed steps;paused no spin/deadline;future stable row/owner no input authority;elapsed140 retained.
EARLY-AMEND-050	4afca16f §§11.2–11.4;4a9dcab1	Authored capability palettes use same-slot actual prior projection and sticky eligibility, with explicit Arc carrier and clone isolation.	accepted extension	Actual last projection supersedes recomputing from TrueColor/declared level; missing palettes use generic conversion; fresh carrier resets history.	All73 slots;missing-level chains;mutations and quantization collisions;copy-on-write clones;equality/fingerprint content;custom/Paper;cache invalidation;oracle color projection.
EARLY-AMEND-051	aacb7cb3 §17 A7;30924105 §17 A7	Grid supports optional detailed gutter, trailing reserve, part defaults and keyed semantic header prefixes through reusable geometry.	accepted optional API	Compact default retains ROW two-cell paint;CHANGE/ROW_NUMBER parts34/35;ICON prefixes are real paint surfaces, never whole-grid Status.	Compact parity;clipped four-slot replacement;source numbering;reserve;ColumnKey reorder;ICON explicit override precedence;HEADER slot replaces whole header.
EARLY-AMEND-052	e94c1443 §§16.6,20.9,Appendix A	App TablePro frame perf gate names500x14; generic500x12 load/render contracts remain separate.	accepted evidence correction	Exactly three app-frame references renamed; no relaxed allocation or timing budget inferred.	Enumerate package-qualified benchmark names;match frozen baseline dimensions and retain generic benchmark targets.
EARLY-AMEND-053	d4715f8e early prefix	Fresh independent reviewer requirement survives removal of named agent definitions.	accepted nomenclature-only change	opus-analyst/fable-builder become read-only analyst/builder; no model override or architecture mutation inferred.	Independent review ownership and exact evidence requirements retained in plan.
EARLY-AMEND-054	c3b51b96 §20.10 item35	Empty List/Grid/FilterList/Picker regions inherit owning EMPTY style; NavList hover must lift only hovered row.	accepted reusable ownership; oracle output controls	EmptyState::draw_inherited and hovered-difference masks remove blank/gap/header tint bug class;historical20-key classification style-only.	Canonical cells including blanks;empty full rect;hover header/gap/other-row invariance;exact text/geometry unchanged.
