id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids	source_ledger_row	relationship
A11	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73	Disabled hover can be observed but presentation strips hovered/pressed; wheel may remain routable	accepted	7763d50	runtime;components	retain_and_verify	Separate activation eligibility from wheel/hover/ClickOnly behavior	AC2;disabled conformance	TASK-010	docs/refactoring-plan/historical-obligations.tsv:12	global semantic anchor; supplemental clauses retained
A12	COMPONENT_ARCHITECTURE.md;crates/tui/src/{runtime,capture}.rs	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§73;715ee0777e20a09e0f373b07024076bdc742ef1d	Successfully published disabled/absent/decorative/empty/layer-blocked target cancels held capture and press; no Release/Click resurrection	accepted_implementation_closes_historical_gap	715ee0777e20a09e0f373b07024076bdc742ef1d	runtime.rs:1725;capture.rs:19;pointer_capture_eligibility.rs	implemented_retention_verification	Retain publication-boundary cancellation and independent timed feedback; do not create duplicate implementation task	pointer_capture_eligibility suite; disable/re-enable; dropped-frame boundary; no lower retarget	TASK-010	docs/refactoring-plan/historical-obligations.tsv:13	global semantic anchor; supplemental clauses retained
A13	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Pointer capture preserves actual press anchor and owner; resize/removal/generation mismatch releases capture	accepted	7899678d	runtime	retain_and_verify	Drag outside/release; owner vanishes; nested capture rejected	capture lifecycle tests	TASK-010	docs/refactoring-plan/historical-obligations.tsv:14	global semantic anchor; supplemental clauses retained
A14	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	Hover and wheel never steal focus; keyboard suppresses hover until pointer movement	accepted	18afddd2	runtime;components	retain_and_verify	Pointer/key sequence asserts focus and hover separately	conformance;app journeys	TASK-010	docs/refactoring-plan/historical-obligations.tsv:15	global semantic anchor; supplemental clauses retained
A15	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8	Nested scroll owner consumes at boundary without chaining or repaint	accepted	18afddd2	scroll_region;runtime	compare_new_oracle	Preserve exact oracle routing and model boundaries	nested wheel;boundary equality	TASK-014	docs/refactoring-plan/historical-obligations.tsv:16	global semantic anchor; supplemental clauses retained
A16	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§25	Focus settling never duplicates physical input; bounded nonconvergence diagnostic preserves pending notifications	accepted	7899678d	runtime	retain_and_verify	Transition delivery assertions through resize and settling	focus-settle tests	TASK-010	docs/refactoring-plan/historical-obligations.tsv:17	global semantic anchor; supplemental clauses retained
A17	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §8,§9	Esc first reaches focused editor, then application bubble/escape policy and layer dismissal	accepted_amended	7899678d;577bf533	runtime;apps	retain_and_verify	Nested editing/modal/menu ladder and focus restoration	Esc journey matrix	TASK-010;TASK-017	docs/refactoring-plan/historical-obligations.tsv:18	global semantic anchor; supplemental clauses retained
A18	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §9,§29.8	Modal traps/restores even empty; popover dismisses on focus-out without restoring opener	accepted_amended	c493a2cd lineage	layers;runtime	retain_and_verify	Nonempty/zero-area forward/backward traps; same-owner reparenting	modal and popover tests	TASK-017;TASK-018	docs/refactoring-plan/historical-obligations.tsv:19	global semantic anchor; supplemental clauses retained
A19	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §9	Layer lifecycle controls barriers/z-order independent of paint call order	accepted	18afddd2	runtime;ui/layer	retain_and_verify	Reverse draw order, undrawn modal, duplicate layer, background input	layer conformance	TASK-017	docs/refactoring-plan/historical-obligations.tsv:20	global semantic anchor; supplemental clauses retained
A20	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	LayerSize Fill differs from Fixed zero; one resolver clamps/flips placement	accepted_amended	7899678d	layer placement;overlays	retain_and_verify	Empty/tiny/edge anchoring and dynamic size/error/theme updates	layer-size tests	TASK-012;TASK-017	docs/refactoring-plan/historical-obligations.tsv:21	global semantic anchor; supplemental clauses retained
A21	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	Open layers allow size/anchor updates only; immutable kind/inert/focus lifetime facts	accepted	7899678d	layers;overlay components	retain_and_verify	No-op setters do not repaint; lifecycle immutable	layer setters	TASK-017	docs/refactoring-plan/historical-obligations.tsv:22	global semantic anchor; supplemental clauses retained
A22	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §26	Measure queries styles without mutation/allocation; shares accumulation path with paint resolution	accepted	7899678d	ui;theme;layout	retain_and_verify	Differential family/variant/part/state tests; 1000 measures no effects	measurement differential;10k zero alloc	TASK-011;TASK-012	docs/refactoring-plan/historical-obligations.tsv:23	global semantic anchor; supplemental clauses retained
A23	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §5,§22	All paint/clip/hit/focus/scroll/cursor geometry derives from same allocation	accepted	7899678d;2caff455	ui;components;runtime	retain_and_verify	Tiny nonzero-origin containment and queued event freshness	geometry conformance;PTY resize	TASK-012	docs/refactoring-plan/historical-obligations.tsv:24	global semantic anchor; supplemental clauses retained
A24	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §5,§55	Empty leaves paint/register nothing; containers still invoke body exactly once under empty clip	accepted_amended	a1759b2a	panel;dialog;ui	retain_and_verify	Bare return sentinel, malicious body containment, tiny/zero dimensions	container closure tests	TASK-012;TASK-027	docs/refactoring-plan/historical-obligations.tsv:25	global semantic anchor; supplemental clauses retained
A25	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §55	Panel/Dialog body returns bare R; only Ui::layer returns Option<R>	accepted	a1759b2a	panel;dialog;ui	retain_and_verify	Public signatures and one body invocation	signature gate;external examples	TASK-023;TASK-027	docs/refactoring-plan/historical-obligations.tsv:26	global semantic anchor; supplemental clauses retained
A26	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §56	SplitPane sole two-rect body exception; logical order and seam excluded; no public bypass geometry	accepted	a1759b2a	split_pane	retain_and_verify	Horizontal/vertical/collapse/maximize/empty/seam tests	split conformance	TASK-012	docs/refactoring-plan/historical-obligations.tsv:27	global semantic anchor; supplemental clauses retained
A27	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§25	Layout Auto/Flex/measure semantics explicit; allocation-free distribution	accepted_amended	7899678d	layout.rs	retain_and_verify	Measured/unmeasured Auto and fixed/flex clipping	layout tests;10k allocations	TASK-012	docs/refactoring-plan/historical-obligations.tsv:28	global semantic anchor; supplemental clauses retained
A28	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§25	RowUi column limit is explicit and cannot silently remove required oracle content	accepted_with_limit	7899678d	rowui;ColumnsUi	verify_scope	Account every consumer exceeding or approaching limit	external columns fixture	TASK-015	docs/refactoring-plan/historical-obligations.tsv:29	global semantic anchor; supplemental clauses retained
A29	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §22,§25	One Unicode width/grapheme writer matches terminal cell width and clears wide-cell shadows	accepted	7899678d	text;ui;rowui	retain_and_verify	CJK/combining/ZWJ/halfwidth marks and no non-ASCII exclusions	Unicode corpus;canonical cells	TASK-013	docs/refactoring-plan/historical-obligations.tsv:30	global semantic anchor; supplemental clauses retained
A30	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §22,§25	Span rendering inherits label base style without intermediate string/vector allocations	accepted	7899678d	ui;rowui	retain_and_verify	Styled-span segmentation agrees with complete logical text	span differential;500x3 zero alloc	TASK-013;TASK-015	docs/refactoring-plan/historical-obligations.tsv:31	global semantic anchor; supplemental clauses retained
A31	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11,§25	Theme state rules stable-merge family and variant by specificity/declaration before override levels	accepted_amended	7899678d	theme resolution	retain_and_verify	Distinct sentinels prove each precedence level under both themes	theme precedence	TASK-011	docs/refactoring-plan/historical-obligations.tsv:32	global semantic anchor; supplemental clauses retained
A32	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11	Global family/variant, nested scopes, instance and part overrides retain order and sibling isolation	accepted	18afddd2	theme;ui;components	proof_gap	Actual intended cells change; queried style alone insufficient	visible override matrix	TASK-011	docs/refactoring-plan/historical-obligations.tsv:33	global semantic anchor; supplemental clauses retained
A33	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11,§22	Patch Clear/Inherit/Set and modifier add/remove semantics are symmetric and deterministic	accepted	7899678d	theme patch;paint	retain_and_verify	Identity/associativity/removal; clear glyph visible behavior	patch laws;glyph sentinel	TASK-011	docs/refactoring-plan/historical-obligations.tsv:34	global semantic anchor; supplemental clauses retained
A34	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11	Junie defaults and distinct Paper theme; complete capability conversion and custom tokens	accepted	18afddd2;4afca16f	theme	compare_new_oracle	Exact oracle color/style output at all levels	two-theme four-level cells	TASK-011	docs/refactoring-plan/historical-obligations.tsv:35	global semantic anchor; supplemental clauses retained
A35	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §25,§27	ANSI16 categorical reference mapping; CIE76 nearest-color replacement rejected	accepted_amended	7899678d;bb92a657	theme downgrade	retain_and_verify	Threshold/channel palette cases against oracle	ANSI16 exact tokens	TASK-011	docs/refactoring-plan/historical-obligations.tsv:36	global semantic anchor; supplemental clauses retained
A36	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§11	Surface inheritance uses ordered semantic roles rather than generic color-equality reverse lookup	accepted	18afddd2	theme;ui;apps	retain_and_verify	Alias/light/reduced-color themes retain semantic provenance	role-collision tests	TASK-011	docs/refactoring-plan/historical-obligations.tsv:37	global semantic anchor; supplemental clauses retained
A37	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md Meter appendix;amendments=4a9dcab1,d52ee38b,29ed8e5e	MeterFillRest explicit Color or ReferenceLift; ordered reference color comparison is narrow authored policy	accepted_later_amendment	d52ee38b;29ed8e5e	theme tokens;meter	retain_and_verify	Canvas-first aliases and delayed dimming; explicit colors win	Meter 16-frame preservation	TASK-011;TASK-029	docs/refactoring-plan/historical-obligations.tsv:38	global semantic anchor; supplemental clauses retained
A38	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md:1040-1075;8758-8789;historical_palette_edges=4afca16fe004764fa95c6c2aeea59fe85329d350,4a9dcab115db911e22fb114efa3527f96eff4509;semantic_Meter_edges=d52ee38b35270396fe8cdb9fa37073f0bc794bc6,29ed8e5e7f69b24dd8ca8351e91333d613d7ae99;later_pin_followup=c62ec8d334d6ff89bc73ea1aee9f76d4a124f3aa	Capability projection retains authored palettes and sticky per-slot mutation provenance over all 73 slots	accepted_later_amendment	4afca16f;4a9dcab1;d52ee38b;29ed8e5e; c62ec8d3 is later Meter test-pin/doc followup, not original palette authority	theme tokens	retain_and_verify	Preserve actual last-projected per-slot values and sticky detached eligibility over all73 semantic slots, including concrete/symbolic Meter transitions and repeated missing-palette chains; aacb7cb3/30924105 are Grid gutter/header amendments, not palette provenance; historical baseline-pin changes grant no oracle blessing authority	semantic_colors projection tests; missing-table multi-step and mutation/quantization-collision negative controls; concrete/symbolic Meter ReferenceLift order and immutable-oracle cells	TASK-011	docs/refactoring-plan/historical-obligations.tsv:39	global semantic anchor; supplemental clauses retained
A39	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §27	Style memo two-way set-associative; generation invalidation and no warm allocations	accepted_amended	bb92a657	theme memo;ui	retain_and_verify	Adversarial colliding query sets and hit-rate accounting	style memo perf	TASK-011;TASK-067	docs/refactoring-plan/historical-obligations.tsv:40	global semantic anchor; supplemental clauses retained
A40	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §31,§70	Static mono fallback applies once to neutral/custom families after merged state rules before overrides	accepted_supersedes_stored_rules	a1759b2a	theme mono resolver	retain_and_verify	Recipe vectors unchanged; hue-independent visible signals	mono conformance;theme allocation	TASK-011;TASK-031	docs/refactoring-plan/historical-obligations.tsv:41	global semantic anchor; supplemental clauses retained
A41	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §28,§38	Readiness declares real reachable busy/error affordances; narrowing reason text cannot substitute proof	accepted_amended	0f66160e;a1759b2a	components;conformance	retain_and_strengthen_proof	Drive semantic state before runtime forcing; inspect glyph/modifier	readiness capability matrix	TASK-011;TASK-031	docs/refactoring-plan/historical-obligations.tsv:42	global semantic anchor; supplemental clauses retained
A42	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §29	Pressed brackets must use reserved geometry without truncating labels; Choice-specific geometry unresolved	partly_implemented_unresolved_choice	a1759b2a;ac2637a9	button;tabs;chip;choice	remaining_work	Discharge Choice mono proof without geometry drift or deferral	Choice named proof;oracle frames	TASK-018	docs/refactoring-plan/historical-obligations.tsv:43	global semantic anchor; supplemental clauses retained
A43	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise	accepted	a1759b2a	components;conformance;StyledQuery	proof_gap	Record attribution and no missing conditional paints	parts sweep;visible sentinels	TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:44	global semantic anchor; supplemental clauses retained
A44	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33,§50	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins	accepted	a1759b2a;consolidation rejection	rowui;ColumnsUi;collections	remaining_work	Repair actual part forwarding and independent style isolation	item_row_columns;explicit_columns_styles_win	TASK-015;TASK-031;TASK-073	docs/refactoring-plan/historical-obligations.tsv:45	global semantic anchor; supplemental clauses retained
A45	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72	Ui::reference sole inert exact-target boundary; only focused/focus-visible/hovered/pressed may be forced	accepted_supersedes_local_forcing	a1759b2a	ui;components;testing	retain_and_verify	No component state_override/inherit_forced; semantic states caller-owned	reference API absence;conformance	TASK-010;TASK-031	docs/refactoring-plan/historical-obligations.tsv:46	global semantic anchor; supplemental clauses retained
A46	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72,§73	Inert/reference suppression centrally covers all registrations, bindings, cursor, layout, scopes and callbacks	accepted	7763d50;54b15ce	ui	retain_and_verify	Malicious callbacks and nested target restoration; background paints retained	reference sink;external author	TASK-010;TASK-031	docs/refactoring-plan/historical-obligations.tsv:47	global semantic anchor; supplemental clauses retained
A47	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §73	Configured constant-ID props constructed by one non-method helper shared across phases	accepted_intra_module_scoped	54b15ce;4cfefea;69fb70d;2ca0a130	components;apps;examples;xtask	gate_strength_gap	Retain intra-module configured constant-ID private non-method helper proof, explicit dynamic/unconfigured/test exemptions and fail-closed parsing; unresolved cross-file lookup is a documented limitation with production phase-consistency proof, not a claimed whole-program gate	props_are_built_once mutation probes	TASK-065;TASK-072	docs/refactoring-plan/historical-obligations.tsv:48	global semantic anchor; supplemental clauses retained
A48	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Stable ActionKey identities and owner/action remaps drive routing and hints through same resolver	accepted	a1759b2a	bindings;runtime;hintbar	retain_and_verify	Remap/remove/latent/hidden/duplicate chord probes	bindings;derived hints	TASK-028;TASK-030	docs/refactoring-plan/historical-obligations.tsv:49	global semantic anchor; supplemental clauses retained
A49	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Explicit component Tab bindings precede traversal; raw ignored input alone reaches bubble	accepted	a1759b2a	runtime routing	retain_and_verify	Tab/BackTab editing and modal focused routing	key precedence tests	TASK-010;TASK-030	docs/refactoring-plan/historical-obligations.tsv:50	global semantic anchor; supplemental clauses retained
A50	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Structural keymap/table revisions invalidate hint caches; warm hints and routing allocate zero	accepted	a1759b2a	runtime;hintbar	retain_and_verify	Dynamic borrowed descriptors and owner changes	frame_hintbar_derived	TASK-028;TASK-030;TASK-067	docs/refactoring-plan/historical-obligations.tsv:51	global semantic anchor; supplemental clauses retained
A51	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §13	Complete component rustdoc covers ownership/builders/defaults/actions/parts/focus/input/layout/identity/testing	accepted	multiple main commits	crates/tui/src/components	audit_and_complete	Public docs and external examples match actual current API	rustdoc warnings;doc coverage	TASK-068	docs/refactoring-plan/historical-obligations.tsv:52	global semantic anchor; supplemental clauses retained
A52	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §14,§18	Every original 31 widget module and 23 reusable app control has intentional migration disposition	accepted	77847196 and app migrations	library;apps	inventory_and_complete	No lost capability hidden behind rename/deletion	component migration matrix	TASK-065;TASK-066	docs/refactoring-plan/historical-obligations.tsv:53	global semantic anchor; supplemental clauses retained
A53	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §19	No permanent legacy facade or duplicate DataTable/ScrollPanel; preserve their capabilities through Grid/Viewport	accepted_rejected_alternatives	77847196	public API;grid;viewport	retain_and_verify	Remove duplicate mechanisms only after oracle coverage	API inventory;behavior proofs	TASK-021;TASK-022;TASK-065	docs/refactoring-plan/historical-obligations.tsv:54	global semantic anchor; supplemental clauses retained
A54	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §14,§52	Library owns generic Grid mechanics; adapters own SQL/domain ordering/null/default/undo/effects	accepted	5042a40;6dba27b6	grid;TablePro adapters	retain_and_verify	Domain scanner and actual adapter workflows	domain boundary;22-capability map	TASK-022;TASK-060	docs/refactoring-plan/historical-obligations.tsv:55	global semantic anchor; supplemental clauses retained
A55	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §23 K2	Grid update borrows read-only model; update_editable requires mutable editor; shared navigation path	accepted_amended	7899678d;a1759b2a	grid	retain_and_verify	Read-only compile-fail, one commit/error, no duplicate navigation	Grid external consumers	TASK-022	docs/refactoring-plan/historical-obligations.tsv:56	global semantic anchor; supplemental clauses retained
A56	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §52	Grid cursor/selection/edit state exposes only owned values, not geometry-derived full column window	accepted	a1759b2a	GridState	retain_and_verify	Public API and stable-key reorder coverage	Grid API tests	TASK-022	docs/refactoring-plan/historical-obligations.tsv:57	global semantic anchor; supplemental clauses retained
A57	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §61	Grid columns sole schema; Option cell holes never call invalid decoration/action/editor hooks	accepted	a1759b2a;c62ec8d3	grid;models	retain_and_verify	Three-method external model; ragged copy/navigation/edit	ragged grid tests	TASK-022	docs/refactoring-plan/historical-obligations.tsv:58	global semantic anchor; supplemental clauses retained
