id	source	revision	decision_or_requirement	authority_status	acceptance_or_amendment_evidence	implementation_evidence	files_or_families	current_main_status	remaining_obligation	verification_requirement	task_ids
HAR-011	docs/audit/api-audit.md:433-447;613-630;883-898	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Diff over generic viewport; ScrollPanel absorbed; explicit derived layout lifecycle	accepted amended	parent HI-018/023; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	DiffView; TextViewport; Panel	unverified	No duplicate scroll engine or draw-time content replacement	Unified/review resize; follow/selection retention; window scaling	TASK-021;TASK-026
HAR-012	docs/audit/api-audit.md:465-472;1006-1010;docs/audit/app-audit.md:295-318	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc;834aa58e;e81ca17b	Data-driven commands unify key handling hints and menu actions	accepted amended	parent HI-007/015/017; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc;834aa58e;e81ca17b identify creation/publication or acceptance history, not that blob's line numbers	unread	keymap; field_common; menus; app chords	unverified	No key resynthesis by label; preserve component-specific commit/cancel policies	Remap updates hints; editing suppression; keyboard/mouse same domain action	TASK-028;TASK-030
HAR-013	docs/audit/api-audit.md:476-511;798-817	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	One generic grid; SQL values pending undo validation commit belong in TablePro	accepted amended K	parent HI-009/010/011; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	Grid; TablePro adapter; old DataTable	unverified	Read-only model needs no editor trait; preserve all domain operations	Edit/cycle/validate/sort/filter/FK/preview/save/undo plus readonly compile fixture	TASK-022;TASK-060
HAR-014	docs/audit/api-audit.md:528-549;842-857	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Shared editor core and field decoration; closure validators and explicit controlled sync	accepted amended J/K	parent HI-013/015/016/032; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	TextInput; TextArea; CodeEditor; Form	unverified	No correlated public state; no draw-time validation; per-phase borrowing	Commit/cancel/blur/paste Unicode; invalid retains draft; first-error focus	TASK-016
HAR-015	docs/audit/api-audit.md:515-524;553-562;675-719;764-794	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Unify static/interactive props, priority strips and component hint metadata	accepted direction	parent HI-019/021; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	DescriptionList; StatusBar; HintBar; Steps	unverified	No second drop algorithm or independently painted shortcut text	Priority drop oracle; copy/activate actions; last-row hint precedence; hover by item	TASK-027;TASK-028
HAR-016	docs/audit/api-audit.md:659-671;749-760;821-879	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=383e16fc	Separate generic progress from quota lifecycle; stable Tabs and keyboard SplitPane	accepted direction; exact homes owner governed	parent HI-020/021/028; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 383e16fc identify creation/publication or acceptance history, not that blob's line numbers	unread	Spinner; Progress; Meter; SplitPane; Tabs; Tree	unverified	Domain quota/tab/PTY policy stays app-owned; all catalog families mapped	Keyed reorder/close; keyboard and drag resize; supported statuses and glyph parity	TASK-012;TASK-020;TASK-029
HAR-017	docs/audit/api-audit.md:1102-1139;docs/audit/app-audit.md:11-20	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e;568e1ef6;9df371d5	Secret exposure assertions distinguish transient value from persisted suffix	amended explicitly	9df371d5 full source diff; parent HI-016/050; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 834aa58e;568e1ef6;9df371d5 identify creation/publication or acceptance history, not that blob's line numbers	unread	Secret; TextInput; Jackin environment/accounts	unverified	Masked input enters pending workspace only after valid key and Save; m stays masked	No full raw secret in frames/debug/actions; deliberate final-four persisted mask; cancel lifetime	TASK-016;TASK-052;TASK-053
HAR-018	docs/audit/api-audit.md:1209-1280	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=834aa58e	Historical tests omit purity custom theme mono tiny rect secrets nested identity/performance	historical evidence	parent HI-039/050/052; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges 834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	conformance; harness; catalog	unverified	Close actual obligations beyond historical counts; no inherited pass	Named tests executed nonzero; immutable oracle; actual action/state/frame assertions	TASK-031;TASK-066;TASK-071
HAR-019	docs/audit/app-audit.md:97-334	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b	Applications duplicate focus/pointer machines child-ID routing geometry readback and generic controls	accepted direction; site findings historical	parent HI-001/004/005/007/021; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges e81ca17b identify creation/publication or acceptance history, not that blob's line numbers	unread	Showcase; TablePro; Jackin app shell/screens	unverified	Replace enabling glue with library-owned interaction while domain remains app	Press/release/doubleclick/wheel; no app owns/locate or re-registration; domain outcomes preserved	TASK-065
HAR-020	docs/audit/app-audit.md:337-363	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b;acceptance=a156054d;accepted23=7b27732a:COMPONENT_ARCHITECTURE.md:3927-3954	23 app-side reusable-control dispositions fixed by accepted architecture §18.3, with current later API amendments	accepted dispositions; later exact API amendments and immutable UI oracle govern	STATE a156054d accepts I and J1-J13; 7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md:3927-3954 fixes all23 dispositions, including #22 partial shared Cx services with Request/Go/Status payloads app-owned; original e81ca17b:docs/audit/app-audit.md:324-350 is the proposal table; source locator uses pinned-main app-audit.md:337-363 after the 9df371d5 header insertion	unread	NavList; forms; help; picker chain; layout; request bus	unverified	Prove each of the23 accepted move/compose/split/keep-domain dispositions with its responsible component and actual app callers; bind later API supersession explicitly; #22 moves only generic Cx services, never domain Request/Go/Status; no fs/Git/1Password/SQL/route vocabulary promoted	Finite23 source-disposition table plus production ownership and public-composition witnesses per item; negative cases reject app-local generic control loops and library-owned product request enums; immutable oracle proves unchanged app effects and cells	TASK-065;TASK-066
HAR-021	docs/audit/app-audit.md original:408-567	e81ca17b	Product journeys and stable test addressing survive migration	historical preservation evidence	parent HI-050; latest immutable oracle governs	unread	all three apps; harness	unverified	Preserve Showcase editing/nav; TablePro safe SQL/history; Jackin eight scenarios/arbiter/accounts/Capsule	Oracle key+mouse+resize domain actions and full cells; virtual clock; secret amendments	TASK-066;TASK-069;TASK-071
HAR-022	docs/audit/app-audit.md:633-671	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b	Deterministic motion/effects preserved while semantic theme replaces palette reversal	accepted direction	parent HI-008/036/050; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges e81ca17b identify creation/publication or acceptance history, not that blob's line numbers	unread	Jackin rain; layer painting; motion	unverified	Keep pacing seed skip hold handoff and resize oracle states	Full/Reduced/Paused frames; duplicate-color theme; ANSI/Mono; actual paint provenance	TASK-009;TASK-051;TASK-054;TASK-055
HAR-023	docs/audit/architecture-research.md:118-126;194-284;932-955	e81ca17b	Normal immediate show update+draw with ephemeral props	rejected; superseded	STATE a156054d rejection via parent HI-001; J HI-032	unread	component lifecycle	unverified	Never resurrect show to avoid explicit phase work	Retained props; data per phase; Cx no buffer; Ui draw no semantic writes	TASK-065
HAR-024	docs/audit/architecture-research.md:132-154;344-454	e81ca17b	HashedId/debug registry and whole-key reconciliation sketches	amended/superseded	parent HI-002/022/032	unread	Id; collections	unverified	Structural identity plus cheap change-aware reconciliation	Same-index kind collision; reorder action; 100k versus1k dispatch/draw	TASK-010;TASK-020
HAR-025	docs/audit/architecture-research.md:553-862	e81ca17b	Concrete data recipes scopes and typed Inherit/Set/Clear patches	accepted direction; exact precedence amended	parent HI-028/035/042/049	unread	theme recipes; patch; Ui	unverified	Honor family/variant state ordering neutral coverage and explicit Clear	Contrasting-role precedence corpus; merge laws; neutral custom mono; generation negative control	TASK-011
HAR-026	docs/audit/architecture-research.md:631-666	e81ca17b	Exhaustive arbitrary-theme downgrade with noncolor fallback	accepted amended ANSI16	parent HI-037/042/043	unread	theme downgrade; glyph recipes	unverified	Preserve categorical legacy palette; visible Mono disabled text; supported-state semantics	Default/custom all4levels; full cell oracle; DarkGray correction; actual glyph/modifier differences	TASK-011
HAR-027	docs/audit/architecture-research.md:687-725;1053	e81ca17b	SmallVec runtime sorting and hot-path complexity claims	rejected/amended implementation sketches	parent HI-022/026/038	unread	recipes; style cache; allocator	unverified	Use accepted containers sorted rules and measured allocation/probe bounds	No own SmallVec; graph backend exception; real resolution timing/caches	TASK-011;TASK-067
HAR-028	docs/audit/architecture-research.md:960-1021	e81ca17b	Workspace one reusable library plus testing crate and public-author boundary	accepted target; staging amended	parent HI-025/030/033/034	unread	workspace; facade; dependency checks	unverified	Finish existing migration; no resurrected temporary legacy split; signatures actually public	External examples; facade completeness; no-default-features boundary; documented MSRV	TASK-065;TASK-068
HAR-029	docs/audit/architecture-research.md:1025-1042	e81ca17b	Prior-art concept adoptions/rejections motivate design	research rationale only	owner architecture must independently adopt exact decision	unread	composition; author API; trait choices	unverified	Do not treat unsupported external-project claims as proof or binding API	Own compiled design probes and accepted target contracts	TASK-068
HAR-030	docs/audit/architecture-research.md:1059-1087	e81ca17b	12theme scenarios plus A-H executable gates proposed	proposed artifacts; owner amendments govern	parent HI-039/050/052	unread	theme/catalog examples; conformance	unverified	Replace overstrong impossible-state and text-token tests with truthful supported behavior proof	Real part-local pixel effects; actions; nonzero selected tests; allocation corpus; immutable oracle	TASK-031;TASK-068
HAR-031	docs/audit/api-audit.md:863-879;987-988;1075-1087;1213-1250	locator_pin=7b27732a8c3c131760ec3438f641cb3c11343a42;historical_provenance_edges=e81ca17b;383e16fc;834aa58e	Source counts and positional-Path stability internally inconsistent	audit-text defect; not production diagnosis	direct source comparison in companion report; Locator authority: source ranges are in the pinned-main blob at 7b27732a8c3c131760ec3438f641cb3c11343a42; historical provenance edges e81ca17b;383e16fc;834aa58e identify creation/publication or acceptance history, not that blob's line numbers	unread	planning evidence	unverified	Track obligation identities and genuine keys; do not reuse contradictory totals	Ledger completeness by named family/behavior; independent current-source verification	TASK-068
HAR-032	docs/audit/api-audit.md history edges	834aa58e;383e16fc;ce5e9973	Initial fragment then prepended inventory and seam repair	publication history; not semantic reversal	complete direct diffs in companion coverage table	unread	historical source lineage	complete reading	Preserve exact edge/source provenance; no initial coherent-design assumption	Blob/parent links and changed-hunk read coverage	TASK-068
HAR-033	docs/reviews/slice2-architecture-review.md:B3/B5/B6/B15;732-735	4e15e97e	Phase-call data; derived-only runtime caches; post-update Esc	J accepted; K amends grid model split	STATE e2be0ced via parent HI-001/010/022/032	unread	Cx; Ui; collections; grid; layers	unverified	Join latest model/cache/ordering contracts to actual callers	Borrow-compiling mutation closure; shared draw; derived-cache structural and invalidation proof; editor cancel before dismiss	TASK-010;TASK-015
HAR-034	docs/reviews/slice2-architecture-review.md:B1/B2/B4/B8/B10;M11/M24;540-555;737-744	4e15e97e	Compilable builders; independent frozen intent borrow; Field identity; command/action split; lossless Response fold	J accepted; later exact public API governs	STATE e2be0ced via parent HI-002/003/013/032	unread	Response; props builders; Cx; Field; Bindings; KeyMap	unverified	Eliminate compile and semantic-action-loss enabling conditions	Complete external examples; compile-fail semantic fold; intent iteration plus mutable services; paste arena lifetime; no duplicate Field ID	TASK-010;TASK-016;TASK-068
HAR-035	docs/reviews/slice2-architecture-review.md:B7/B11/B12;M2-M5/M29;572-587	4e15e97e	Bounded transition-only focus settle; owner capture; layer outside-hit and restore semantics	J accepted; later runtime ordering governs	STATE e2be0ced via parent HI-004/005/006/032	unread	runtime routing; registry; focus; capture; layers; cursor	unverified	Verify order edges instead of replay or draw-order ownership assumptions	No duplicate key activation; lower-layer outside hit; inert silent discard versus rejection; pre-draw restore key; close releases capture; duplicate layer draw diagnostic	TASK-010;TASK-017
HAR-036	docs/reviews/slice2-architecture-review.md:M1/M6-M10/M25/M28;515-538;560-568;A8-A13	4e15e97e	Author API complete; one props constructor per configured instance; Form drives fields; borrowed extension data	J accepted direction; later K/M shapes govern	STATE e2be0ced via parent HI-013/021/034	unread	author facade; Field/Form; editor; components; PartRef	unverified	Prevent update/draw configuration drift without reintroducing domain context	Disabled behavior parity; external author example; no runtime debug-name side table; inline editor click precedence; external edit app request	TASK-019;TASK-065;TASK-068
HAR-037	docs/reviews/slice2-architecture-review.md:B9/B16/M12/M30;591-625;650-688	4e15e97e	App lib/thin bin; app-owned Jx/Msg; load-time cell formatting; compiling tui-next staging	J accepted; historical staging not present mutation authority	STATE e2be0ced via parent HI-009/021/033	unread	app packages; grid adapter; workspace; perf baseline	unverified	Preserve domain boundary and current package entrypoints; map historical sequence to present state	External harness imports; typed SQL model outside library; docs/bin collision checks; legacy behavior retention; literal before/after baseline provenance	TASK-051;TASK-060;TASK-065
HAR-038	docs/reviews/slice2-architecture-review.md:M13-M18/M26-M27;605-622	4e15e97e	Public testing introspection; truthful auto-draw suppression; real keyed fixtures; capability-aware conformance	J accepted; later fixtures and named suites govern	STATE e2be0ced via parent HI-039/046/052	unread	testing crate; Harness; Scene; fixtures; conformance	unverified	Replace placeholder or private-field tests with real external behavior evidence	Three Outcome mapping; diagnostics; real reorder actions; typed-character exception; actual fixture list; separate release perf and trybuild inventory	TASK-031;TASK-073
HAR-039	docs/reviews/slice2-architecture-review.md:M19-M22/M31;A3-A7/A15-A17;724-776	4e15e97e	Goal/scenario/API traceability; deterministic theme seeds; actual paint and Unicode corpus; compiled documentation	J accepted; later theme and deferred-doc boundaries govern	STATE e2be0ced via parent HI-027/028/036/039/040	unread	theme; painter; component docs; Showcase; doc-check	unverified	Join named proof to actual public contracts without treating sketches as compile evidence	Seed table determinism; contrast; global variant isolation; painted glyphs; 200-plus Unicode fixture strings widths0-120; body-slot equivalence; no placeholders	TASK-011;TASK-031;TASK-068
HAR-040	docs/reviews/slice2-architecture-review.md:M23;467-469;769	4e15e97e	CIE76 nearest16 and numeric downgrade recipe	J initially accepted then foundations override rejects CIE76	STATE d24b3fca via parent HI-028/037	unread	theme downgrade; ANSI16; mono	unverified	Do not restore CIE76 from accepted review history; apply latest categorical palette contract	Exact ANSI16 and DarkGray oracle cells; exhaustive token visitation; monotonic capability-specific meaning	TASK-011
HAR-041	docs/reviews/slice2-architecture-review.md:B13/B14;629-646;A4/A11	4e15e97e	Noncolor pressed state; cache hints/hash; empty intent fast path; bounded diagnostics; no secret draw allocations	J accepted then container/Id/mono/cache amendments	STATE e2be0ced and d24b3fca via parent HI-002/016/026/038/042/043/044/049	unread	HintLayer; style cache; intent queue; diagnostics; secret painter	unverified	Reject review ownSmallVec; replace obsolete debug-Id assumptions; preserve current secret and mono contracts	Zero unchanged-focus hint allocations; no lost cache generations; nonempty drain scale; bounded diagnostic drop count; actual pressed bracket cells; no raw secret disclosure	TASK-010;TASK-016;TASK-018;TASK-028;TASK-067
HAR-042	docs/reviews/slice2-architecture-review.md:A14;620;644;797-808	4e15e97e	Historical blessing and count-classification allowances	historical only; current immutable oracle dominates	parent HI-048/050/052 and current user constraint	unread	goldens; focus-ring assertions; visual classifications	unverified	Never weaken expected frames or retained app behavior to satisfy migration	Independent unchanged oracle comparison; preserve intentional test intent; investigate API if compile/conformance/app/doc/legacy gate fails	TASK-008;TASK-069
HAR-043	docs/reviews/slice2-architecture-review.md:780-808	4e15e97e	Fourteen prototype gates and bounded disposable prototype scope	J accepted stage-specific acceptance; not current completion proof	STATE e2be0ced via parent HI-032/033/039/050/051/052	unread	prototype; examples; conformance; render; Buttons journeys; public API review	unverified	Map every gate to current owner proof and explicit supersession; no prototype expansion by inertia	Complete examples; author-only import; named unit behaviors; seven conformance fixtures; theme/size matrix; override/layer scenes; retained Buttons tests; zero diagnostics; structural/docs checks; legacy compatibility; independent review	TASK-033;TASK-066
HAR-044	docs/reviews/slice2-architecture-review.md:1-821 and d4715f8e full diff	4e15e97e;d4715f8e;7b27732a	Original review and pinned main differ only reviewer-name scrub	publication-only; no changed technical decisions	original blob equals scrub parent; scrub result equals main; full changed hunks directly read	unread	historical source lineage	complete reading	Keep delegated owner acceptance separate from direct review source evidence	Exact hashes and complete range coverage in companion report	TASK-068
