scenario_id	surface	sizes	fixture	actions_and_checkpoints	assertions	oracle_source	dependencies
TP-041	Filter invalid and empty	ALL	T	Ctrl+F;select(Column,id);focus(Value);Enter;Ctrl+L;paste(not-number);Tab;click(Add filter);cp(invalid_value_oracle);Esc;Ctrl+F;focus(Value);Enter;Ctrl+L;paste(999999999);Tab;click(Add filter);cp(no_rows);F;cp(reset)	Exact source coercion: nonempty not-number is accepted into the filter rather than rejected by a new validator; no-results and clear restore; field Tab retains modal until explicit Add	app.rs:1747;tabs.rs:478;app.rs:237-246,1657-1785	filter/empty
TP-042	Filter chip controls ALL ANY	ALL	T	cell(1,status);f;cp(cell_prefill);click(Add filter);Ctrl+F;select(Column,id);focus(Value);Enter;Ctrl+L;paste(1);Tab;click(Add filter);cp(all);cp(chip_focus_inventory);click(chips lead);cp(any);Enter;cp(chip_editor_not_lead);Esc;Space;cp(disabled);Delete;cp(removed);X;cp(cleared)	Prefill and boolean composition; only ChipBar group is a focus stop, not lead/individual chip/clear-all; completed lead click toggles match_all and focuses group, group Enter edits first chip rather than activating lead, Space toggles, Delete removes, uppercase X clears; no invented clear-all button	workbench.rs:702;tabs.rs:164,478;workbench.rs:729-756,1061-1080;src/widgets/chips.rs:76-77,88-145,245	chips/filter
TP-043	Structure sections	ALL	T	Ctrl+D;cp(columns);focus(structure tabs);Right;Enter;cp(indexes);Right;Enter;cp(foreign_keys);Right;Enter;cp(ddl);PageDown;End;cp(ddl_bottom);Ctrl+D;cp(data)	All four modes, code layout and preserved data cursor/state	tabs.rs:535,759;app_tests.rs:245	tabs/table/code
TP-044	Structure mouse and read-only	ALL	T	click(Structure mode);click(Indexes structure tab);hover(Name header);click(Name header);cp(sorted);wheelDown(structure)*8;cp(scrolled);+;-;Alt+D;cp(read_only_noop);click(Data mode);cp(data)	Correct active tab marker, sorted schema grid, no row mutations	workbench.rs:702,1040;app_tests.rs:266	tabs/table/grid
TP-045	Query editor multiline and find	ALL	Q(SELECT id, order_number\nFROM orders\nWHERE id > 10;)	cp(nav);i;End;Enter;paste(-- 文本 é 👩‍💻);cp(edit);Esc;Ctrl+F;type(orders);cp(find);Enter;cp(match);Esc;cp(find_closed);Ctrl+Up;cp(split_up);Ctrl+Down;cp(split_down)	SQL colors, gutters, statements, grapheme cursor, find highlighting and split	tabs.rs:972,1333;app.rs:695,759	editor/split
TP-046	Query editor selection paste undo	ALL	Q(SELECT * FROM orders LIMIT 5;)	i;Home;Shift+End;cp(selection);paste(SELECT id FROM customers LIMIT 2;);cp(replaced);Ctrl+Z;cp(undo);Ctrl+Y;cp(history_global_chord);Esc;cp(nav)	Exact editing key arbitration, selection, undo/redo and global chord behavior	tabs.rs:1333;app.rs:584	editor/action-routing
TP-047	Completion auto manual accept	ALL	Q()	i;type(SELECT * FROM ord);cp(auto);Down;cp(selected);Enter;cp(accepted);type( WHERE );Ctrl+Space;cp(manual);Esc;cp(dismissed);Esc;cp(nav)	Typed token replacement, contextual candidates, selected row/details and cursor	app_tests.rs:307;tabs.rs:1233,1333;model.rs:567	editor/completion
TP-048	Completion aliases schemas mouse bounds	ALL	Q()	i;type(SELECT o. FROM orders o);Home;Right*9;Ctrl+Space;cp(alias);hover(completion candidate);cp(hover);click(completion candidate);cp(accepted);Esc;Ctrl+F;cp(find_no_popup_leak)	Alias detail, anchor geometry, clipping/scroll and popup isolation	model.rs:478,567;tabs.rs:1444	completion/layer/editor
TP-049	Query run statement and empty	ALL	Q()	Ctrl+R;cp(nothing);i;type(SELECT * FROM orders LIMIT 5;);Esc;Ctrl+R;cp(running0);ticks(3);cp(running3);Ctrl+R;cp(already_running);ticks(4);cp(rows)	Empty/duplicate-run statuses, running range, 7-tick completion and result metadata	app.rs:818;tabs.rs:1053,1099	editor/result/runtime
TP-050	Query batch and stop error	ALL	QL(SELECT id FROM orders LIMIT 2;\nSELECT nope FROM orders;\nSELECT id FROM customers LIMIT 2;)	Alt+R;cp(batch_start);ticks(7);cp(first_complete);ticks(5);cp(second_failed);ticks(10);cp(stopped);Ctrl+Y;cp(history)	Worst-risk gate, statement anchors, first-error stop, no third result/history	tabs.rs:1028,1099;app.rs:818	query/domain/history
TP-051	Query cursor or selection execution	ALL	QL(SELECT id FROM orders LIMIT 2;\nSELECT id FROM customers LIMIT 3;)	i;Home;Ctrl+Home;Ctrl+R;cp(first_running);ticks(7);cp(first_rows);Esc;Down;Home;Shift+End;Ctrl+R;ticks(7);cp(selection_rows)	Statement-at-cursor vs nonempty selection and result anchors exact	tabs.rs:1028	editor/query
TP-052	Query execution errors	ALL	QL(SELECT nope FROM orders)	Ctrl+R;ticks(7);cp(unknown_column);i;replace(SELEC broken);Esc;Ctrl+R;ticks(7);cp(parse_error);i;type(x);cp(diagnostic_cleared)	Specific error SQLSTATE/position, underline and result body; editing clears diagnostics	app_tests.rs:351;tabs.rs:1099	editor/error/result
TP-053	Query cancellation	ALL	Q(SELECT * FROM orders)	Ctrl+R;ticks(3);Esc;cp(cancelled);Ctrl+R;ticks(2);Ctrl+C;cp(ctrl_c_cancelled);ticks(10);cp(no_late_result)	Cancel result anchor/duration and status; no quit or later completion	app_tests.rs:366;tabs.rs:1080	runtime/query
TP-054	Query results pinned and close	ALL	Q(SELECT * FROM orders LIMIT 5)	Ctrl+R;ticks(7);focus(result tabs);p;cp(pinned);Ctrl+R;ticks(7);cp(retained);focus(result tabs);Left;Enter;cp(active_first);.;cp(unpinned);x;cp(closed)	Pinned retention/replacement, active-result identity and tab focus	tabs.rs:1053,1179,1198,1216,1333	tabs/result/identity
TP-055	Query explain tree raw analyze	ALL	Q(SELECT * FROM orders WHERE id > 10 ORDER BY id LIMIT 5)	Ctrl+X;ticks(7);cp(plan_tree);focus(plan tree);Right;Down;cp(expanded);r;cp(raw);PageDown;cp(raw_scroll);r;cp(tree_return);Alt+X;ticks(7);cp(analyze)	Plan tree cost/timing badges, raw JSON, analyze flag and split	app_tests.rs:384;tabs.rs:1333,1553	tree/code/query
TP-056	Query result mouse and split drag	ALL	Q(SELECT * FROM orders LIMIT 25)	Ctrl+R;ticks(7);hover(result header);cp(hover);click(result cell);wheelDown(result grid)*6;cp(scroll);drag(editor/result separator,8 rows down);cp(resized);drag(separator,top boundary);cp(clamped)	Grid readonly behavior; separator constraints and cursor/hit reflow	tabs.rs:1444,1503,1518	split/grid/hit
TP-057	Query affected and zero rows	ALL	QL(UPDATE orders SET status = 'paid' WHERE id = 1)	Ctrl+R;ticks(7);cp(affected);Ctrl+T;i;type(SELECT * FROM orders WHERE id = 999999999);Esc;Ctrl+R;ticks(7);cp(zero_rows)	Affected-row copy and empty result retain headers/status as oracle	tabs.rs:1553;sql.rs:888	result/empty
TP-058	Safety six modes matrix	ALL	W	for each mode fresh W: Ctrl+L;Home;Down*mode_index;Enter;cp(mode);Q(SELECT id FROM orders LIMIT 1);Ctrl+R;cp(read_gate);if modal: Esc; otherwise ticks(7);Q(UPDATE orders SET status = 'paid' WHERE id = 1);Ctrl+R;cp(write_gate);if modal: Esc; otherwise ticks(7);Q(DELETE FROM orders);Ctrl+R;cp(danger_gate)	Six levels × read/scoped-write/unscoped-delete: deny/run/confirm/deliberate matches sql::gate; snapshot every gate	db.rs:35;sql.rs:735;app.rs:818,1341	picker/dialog/domain
TP-059	Safety token keyboard	ALL	Q(DELETE FROM orders)	Ctrl+R;cp(gate);Enter;type(wrong);Enter;cp(disabled);focus(Execute);Enter;cp(still_open);focus(acknowledgement);replace(orders);cp(armed);focus(Execute);Enter;cp(running);ticks(7);cp(executed)	Exact token validation, disabled action focus, target/risk and execution once	app_tests.rs:438;app.rs:818	dialog/input/button
TP-060	Safety token mouse paste	ALL	Q(DELETE FROM orders)	Ctrl+R;click(acknowledgement);cp(edit);paste(orders);cp(armed);hover(Execute);down;cp(pressed);up;cp(running);ticks(7);cp(executed)	Mouse focus/edit/confirm route; password-like token field not skipped	app_tests.rs:459	dialog/input/hit
TP-061	Safety cancel and backdrop	ALL	Q(DELETE FROM orders)	Ctrl+R;cp(gate);click(background grid);cp(backdrop);Ctrl+T;cp(no_new_tab);Esc;cp(cancelled);ticks(20);cp(no_execution)	Overlay prevents lower-layer actions; cancellation drops pending execution	app.rs:1444,1867,1797	layer/focus/domain
TP-062	Safe mode picker persist	ALL	W	Ctrl+L;cp(picker);Home;Down*5;Enter;cp(readonly);Ctrl+L;Esc;cp(kept);click(connection strip);cp(connection_screen_oracle);/;type(Production);Enter;Down;Enter;ticks(12);cp(persisted)	Current arrow/tag, wrapped descriptions, focus restoration, saved record	app_tests.rs:648;app.rs:1341,1546	picker/identity
TP-063	Safe-mode save refusal	ALL	T	cell(1,currency);Enter;Ctrl+L;paste(PARITY);Enter;Ctrl+L;End;Enter;Ctrl+S;cp(refused);p;cp(preview_still_available);Esc;cp(pending_kept)	Read-only save message and preserved draft/pending state; edit setup uses short currency source, not long notes viewer (retained TP-037)	app.rs:987	domain/grid/dialog
TP-064	Dirty tab close and quit	ALL	Q(SELECT 1)	i;End;type( );Esc;Ctrl+W;cp(close_gate);Esc;cp(kept);q;cp(quit_gate);Esc;cp(kept_again);Ctrl+C;cp(ctrl_c_gate);focus(Quit);Enter;assert_exit	Dirty query count, destructive copy, focus and terminal restoration	app.rs:274,625;workbench.rs:959	dialog/runtime
TP-065	Multiple dirty ownership	ALL	T	cell(1,currency);Enter;Ctrl+L;paste(PARITY);Enter;Ctrl+T;i;type(SELECT 1);Esc;q;cp(mixed_dirty);Esc;[;cp(original_grid);];cp(original_query)	Pending rows + unsaved queries count; per-tab cursor/draft preserved; edit setup uses short currency source, not long notes viewer (retained TP-037)	app.rs:274;workbench.rs:501	identity/domain/dialog
TP-066	History search scope failed	ALL	W	Ctrl+Y;cp(history);/;type(orders error);cp(search);Esc;cp(cancelled);s;cp(failed);c;cp(all_connections);/;type(zzzz_no_match);cp(empty);Esc;Home;End;PageUp;PageDown;cp(scroll)	Multi-term AND, scopes, error colors, detail and list scroll/fades	model.rs:396;workbench.rs:861;tabs.rs:2272	list/input/history
TP-067	History open rerun copy	ALL	W	Ctrl+Y;Down;cp(detail);y;cp(copy);Enter;cp(opened);Ctrl+Y;cp(reused_history);r;cp(rerun_or_gate);if modal: Esc; otherwise ticks(7);Ctrl+Y;click(Copy);cp(mouse_copy);click(Open);cp(mouse_open)	Selected SQL, new-query focus, rerun safety and one history tab	app_tests.rs:556;workbench.rs:861	history/button/query
TP-068	History detail mouse scroll	ALL	W	Ctrl+Y;click(history row 3);cp(selected);wheelDown(history list)*8;cp(list_scroll);click(SQL detail);wheelDown(SQL detail)*8;cp(detail_scroll);drag(history scrollbar,bottom);cp(bottom)	Independent list/detail scroll and focused borders	workbench.rs:1100,1163;tabs.rs:2386	list/code/scroll
TP-069	Quick switcher search and scopes	ALL	W	Ctrl+O;cp(open);type(ord);cp(ranked);Tab;cp(scope1);Tab;cp(scope2);Tab;cp(scope3);Tab;cp(scope0);Esc;cp(clear);Esc;cp(closed);Ctrl+P;cp(alias)	Fuzzy highlights, four scopes, clear-then-close and alias Ctrl+P	app.rs:1216,1237,1444;model.rs:824	picker/search
TP-070	Quick switcher target classes	ALL	W	for each target table orders,view active_customers,schema audit,database acme_prod,open Query 1,recent query: fresh W;create target if open-tab;Ctrl+O;type(exact target);cp(candidate);Enter;cp(opened)	Table/view/schema/database/open-tab/recent-query actions and focus, exact names validated from catalog/index	app.rs:1546;model.rs:829	picker/domain/identity
TP-071	Quick switcher empty alt mouse	ALL	W	Ctrl+O;type(zzzz_no_match);cp(empty);Enter;cp(stays_open);Esc;type(orders);Alt+Enter;cp(opened_alt);Ctrl+O;type(customers);hover(first candidate);cp(hover);click(first candidate);cp(opened_mouse); separate fresh W for each picker chord Ctrl+O,Ctrl+G: Ctrl+T;i;type(SELECT );picker chord;cp(picker_over_editing_query);paste(PARITY);cp(paste_fallthrough);Esc;cp(editor_revealed)	No query-as-command; Alt target oracle semantics; click and hover; exact oracle Picker paste fallthrough appends PARITY to underlying editing Query while picker query remains empty; Dialog/Filter routing stays separately qualified	app.rs:236-254,638-645,1232-1234,1337-1338,1444,1546,1867;workbench.rs:1194;tabs.rs:1543	picker/layer/hit
TP-072	Help overlay scrolling	ALL	C and W	?;cp(help);Tab through full dialog focus cycle;PageDown;cp(scrolled);End;cp(bottom);wheelUp(dialog);cp(wheel);Esc;cp(restored)	Help text/glyphs, scroll, focus trap and prior focus restore	app.rs:1195,1444,1867	dialog/code/focus
TP-073	Overlay resize and nested selects	ALL	T	Ctrl+F;select-open(Column);cp(nested);resize(80,24);cp(narrow);wheelDown(select)*8;cp(scroll);Esc;cp(select_closed);Esc;cp(filter_closed);resize(160,50);cp(restored)	Topmost escape/paste/mouse/wheel capture, clipping and focus restoration	app.rs:1657,1867,2345	select/layer/layout
TP-074	Minimum size and resize recovery	71x20,72x19,72x20,80x24,100x30,120x40,160x50	T	cp(initial);resize(71,20);cp(too_narrow);Ctrl+T;cp(noop);resize(72,19);cp(too_short);resize(72,20);cp(minimum);resize(160,50);cp(recovered);resize(80,24);cp(drawer)	Exact Need/Have copy, no clipped writes, preserved state and valid focus	app.rs:491,2126;app_tests.rs:681	runtime/layout/focus
TP-075	Color capability and NO_COLOR	ALL	C and T and Q(SELECT * FROM orders LIMIT 5)	cp(initial);focus(primary);hover(primary);cp(hover);activate editing;select text;cp(selected);open overlay;cp(overlay)	All five color profiles, fallback emphasis/reverse video, exact glyph/background/foreground and cursor	main.rs:24;app.rs:211;tools/audit_flows.sh	theme/style/runtime
TP-076	Transient flash status timing	120x40	T	activate sortable header;cp(t0);advance_clock(139ms);cp(flash139);advance_clock(1ms);Tick;cp(flash140);advance_clock(to4999ms);cp(status4999);advance_clock(to5001ms);Tick;cp(status_expired)	Press flash and status expiry exact; controlled-clock fixture required, no masking	app.rs:211,317	runtime/clock/button/footer
TP-077	Input routing paste and no-op	ALL	T	F10;cp(noop);open help;paste(SELECT 1);cp(no_leak);Esc;Ctrl+D;Alt+D;cp(structure_no_duplicate);Ctrl+D;cell(1,currency);Enter;Ctrl+L;type(q?z[]);cp(literal_input);Esc	Unbound keys ignored; editing literals not global actions; no background paste; edit setup uses short currency source, not long notes viewer (retained TP-037)	app.rs:229,491;app_tests.rs:266	action-routing/editor/layer
