id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids
A29	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §22,§25	One Unicode width/grapheme writer matches terminal cell width and clears wide-cell shadows	accepted	7899678d	text;ui;rowui	retain_and_verify	CJK/combining/ZWJ/halfwidth marks and no non-ASCII exclusions	Unicode corpus;canonical cells	TASK-013
A30	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §22,§25	Span rendering inherits label base style without intermediate string/vector allocations	accepted	7899678d	ui;rowui	retain_and_verify	Styled-span segmentation agrees with complete logical text	span differential;500x3 zero alloc	TASK-013;TASK-015
A31	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11,§25	Theme state rules stable-merge family and variant by specificity/declaration before override levels	accepted_amended	7899678d	theme resolution	retain_and_verify	Distinct sentinels prove each precedence level under both themes	theme precedence	TASK-011
A32	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11	Global family/variant, nested scopes, instance and part overrides retain order and sibling isolation	accepted	18afddd2	theme;ui;components	proof_gap	Actual intended cells change; queried style alone insufficient	visible override matrix	TASK-011
A33	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11,§22	Patch Clear/Inherit/Set and modifier add/remove semantics are symmetric and deterministic	accepted	7899678d	theme patch;paint	retain_and_verify	Identity/associativity/removal; clear glyph visible behavior	patch laws;glyph sentinel	TASK-011
A34	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §11	Junie defaults and distinct Paper theme; complete capability conversion and custom tokens	accepted	18afddd2;4afca16f	theme	compare_new_oracle	Exact oracle color/style output at all levels	two-theme four-level cells	TASK-011
A35	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §25,§27	ANSI16 categorical reference mapping; CIE76 nearest-color replacement rejected	accepted_amended	7899678d;bb92a657	theme downgrade	retain_and_verify	Threshold/channel palette cases against oracle	ANSI16 exact tokens	TASK-011
A36	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §10,§11	Surface inheritance uses ordered semantic roles rather than generic color-equality reverse lookup	accepted	18afddd2	theme;ui;apps	retain_and_verify	Alias/light/reduced-color themes retain semantic provenance	role-collision tests	TASK-011
A37	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md Meter appendix;amendments=4a9dcab1,d52ee38b,29ed8e5e	MeterFillRest explicit Color or ReferenceLift; ordered reference color comparison is narrow authored policy	accepted_later_amendment	d52ee38b;29ed8e5e	theme tokens;meter	retain_and_verify	Canvas-first aliases and delayed dimming; explicit colors win	Meter 16-frame preservation	TASK-011;TASK-029
A38	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md:1040-1075;8758-8789;historical_palette_edges=4afca16fe004764fa95c6c2aeea59fe85329d350,4a9dcab115db911e22fb114efa3527f96eff4509;semantic_Meter_edges=d52ee38b35270396fe8cdb9fa37073f0bc794bc6,29ed8e5e7f69b24dd8ca8351e91333d613d7ae99;later_pin_followup=c62ec8d334d6ff89bc73ea1aee9f76d4a124f3aa	Capability projection retains authored palettes and sticky per-slot mutation provenance over all 73 slots	accepted_later_amendment	4afca16f;4a9dcab1;d52ee38b;29ed8e5e; c62ec8d3 is later Meter test-pin/doc followup, not original palette authority	theme tokens	retain_and_verify	Preserve actual last-projected per-slot values and sticky detached eligibility over all73 semantic slots, including concrete/symbolic Meter transitions and repeated missing-palette chains; aacb7cb3/30924105 are Grid gutter/header amendments, not palette provenance; historical baseline-pin changes grant no oracle blessing authority	semantic_colors projection tests; missing-table multi-step and mutation/quantization-collision negative controls; concrete/symbolic Meter ReferenceLift order and immutable-oracle cells	TASK-011
A39	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §27	Style memo two-way set-associative; generation invalidation and no warm allocations	accepted_amended	bb92a657	theme memo;ui	retain_and_verify	Adversarial colliding query sets and hit-rate accounting	style memo perf	TASK-011;TASK-067
A40	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §31,§70	Static mono fallback applies once to neutral/custom families after merged state rules before overrides	accepted_supersedes_stored_rules	a1759b2a	theme mono resolver	retain_and_verify	Recipe vectors unchanged; hue-independent visible signals	mono conformance;theme allocation	TASK-011;TASK-031
A41	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §28,§38	Readiness declares real reachable busy/error affordances; narrowing reason text cannot substitute proof	accepted_amended	0f66160e;a1759b2a	components;conformance	retain_and_strengthen_proof	Drive semantic state before runtime forcing; inspect glyph/modifier	readiness capability matrix	TASK-011;TASK-031
A42	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §29	Pressed brackets must use reserved geometry without truncating labels; Choice-specific geometry unresolved	partly_implemented_unresolved_choice	a1759b2a;ac2637a9	button;tabs;chip;choice	remaining_work	Discharge Choice mono proof without geometry drift or deferral	Choice named proof;oracle frames	TASK-018
A43	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33	PARTS equals actually resolved component-owned parts over meaningful states, not generic override promise	accepted	a1759b2a	components;conformance;StyledQuery	proof_gap	Record attribution and no missing conditional paints	parts sweep;visible sentinels	TASK-031;TASK-073
A44	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §33,§50	Row-owned parts separate from component-owned container/label forwarding; explicit row patch wins	accepted	a1759b2a;consolidation rejection	rowui;ColumnsUi;collections	remaining_work	Repair actual part forwarding and independent style isolation	item_row_columns;explicit_columns_styles_win	TASK-015;TASK-031;TASK-073
A45	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72	Ui::reference sole inert exact-target boundary; only focused/focus-visible/hovered/pressed may be forced	accepted_supersedes_local_forcing	a1759b2a	ui;components;testing	retain_and_verify	No component state_override/inherit_forced; semantic states caller-owned	reference API absence;conformance	TASK-010;TASK-031
A46	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §72,§73	Inert/reference suppression centrally covers all registrations, bindings, cursor, layout, scopes and callbacks	accepted	7763d50;54b15ce	ui	retain_and_verify	Malicious callbacks and nested target restoration; background paints retained	reference sink;external author	TASK-010;TASK-031
A47	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §73	Configured constant-ID props constructed by one non-method helper shared across phases	accepted_intra_module_scoped	54b15ce;4cfefea;69fb70d;2ca0a130	components;apps;examples;xtask	gate_strength_gap	Retain intra-module configured constant-ID private non-method helper proof, explicit dynamic/unconfigured/test exemptions and fail-closed parsing; unresolved cross-file lookup is a documented limitation with production phase-consistency proof, not a claimed whole-program gate	props_are_built_once mutation probes	TASK-065;TASK-072
A48	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Stable ActionKey identities and owner/action remaps drive routing and hints through same resolver	accepted	a1759b2a	bindings;runtime;hintbar	retain_and_verify	Remap/remove/latent/hidden/duplicate chord probes	bindings;derived hints	TASK-028;TASK-030
A49	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Explicit component Tab bindings precede traversal; raw ignored input alone reaches bubble	accepted	a1759b2a	runtime routing	retain_and_verify	Tab/BackTab editing and modal focused routing	key precedence tests	TASK-010;TASK-030
A50	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §68	Structural keymap/table revisions invalidate hint caches; warm hints and routing allocate zero	accepted	a1759b2a	runtime;hintbar	retain_and_verify	Dynamic borrowed descriptors and owner changes	frame_hintbar_derived	TASK-028;TASK-030;TASK-067
A51	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §13	Complete component rustdoc covers ownership/builders/defaults/actions/parts/focus/input/layout/identity/testing	accepted	multiple main commits	crates/tui/src/components	audit_and_complete	Public docs and external examples match actual current API	rustdoc warnings;doc coverage	TASK-068
A52	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §14,§18	Every original 31 widget module and 23 reusable app control has intentional migration disposition	accepted	77847196 and app migrations	library;apps	inventory_and_complete	No lost capability hidden behind rename/deletion	component migration matrix	TASK-065;TASK-066
A53	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §19	No permanent legacy facade or duplicate DataTable/ScrollPanel; preserve their capabilities through Grid/Viewport	accepted_rejected_alternatives	77847196	public API;grid;viewport	retain_and_verify	Remove duplicate mechanisms only after oracle coverage	API inventory;behavior proofs	TASK-021;TASK-022;TASK-065
A54	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §14,§52	Library owns generic Grid mechanics; adapters own SQL/domain ordering/null/default/undo/effects	accepted	5042a40;6dba27b6	grid;TablePro adapters	retain_and_verify	Domain scanner and actual adapter workflows	domain boundary;22-capability map	TASK-022;TASK-060
A55	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §23 K2	Grid update borrows read-only model; update_editable requires mutable editor; shared navigation path	accepted_amended	7899678d;a1759b2a	grid	retain_and_verify	Read-only compile-fail, one commit/error, no duplicate navigation	Grid external consumers	TASK-022
A56	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §52	Grid cursor/selection/edit state exposes only owned values, not geometry-derived full column window	accepted	a1759b2a	GridState	retain_and_verify	Public API and stable-key reorder coverage	Grid API tests	TASK-022
A57	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §61	Grid columns sole schema; Option cell holes never call invalid decoration/action/editor hooks	accepted	a1759b2a;c62ec8d3	grid;models	retain_and_verify	Three-method external model; ragged copy/navigation/edit	ragged grid tests	TASK-022
A58	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §64:8310-8315 historical gesture text; current UI authority 02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1225-1235;1294-1346 supersedes the universal single-move/double-activate product rule	Grid gesture metadata and logical row identity retained; oracle current-cell completed click enters editable begin_edit or emits read-only Activated; different cell moves cursor without activation; no synthetic semantic selection/edit flags	accepted_with_oracle_update	a1759b2a	grid;conformance	compare_new_oracle	Freeze routed current-cell versus different-cell, editable versus read-only, active-range-anchor and partial/non-routable geometry cases. With no active edit, no anchor and no trailing-reference interception, one completed current-cell click invokes begin_edit when editable or emits GridEvent::Activated(source_row) when read-only; another cell moves cursor without activation. A registered but locate-excluded partial cell remains ignored. Retain keyboard and source-key identity proof; do not restore universal double-click prerequisite or F04 unchecked mutation	source-qualified current/different cell x editable/read-only action/state matrix; partial-cell no-op and anchor/reference/editor priority branches; exact four-size geometry and keyed reorder witness	TASK-022
A59	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §65	Grid loading/error is empty/local fetch/decor state; no whole-grid status broadcasting	accepted	a1759b2a	grid	retain_and_verify	Loaded cells preserve presentation while fetch row changes	empty/fetch/error states	TASK-022
A60	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §52	register_focus_only is explicit no-hit API; ClickOnly no-op and area remains absent	accepted	a1759b2a	ui;focus	retain_and_verify	Zero area ring entry and no phantom click	focus-only tests	TASK-010
A61	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §53	Tree cached keyed incremental index contains derived identities, never owned text/model	accepted_rejects_full_scan	a1759b2a	tree;runtime cache	retain_and_verify	Warm draw/update O(viewport); subtree toggle proportional	tree_100k counters	TASK-020;TASK-067
A62	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §53	Tree filtering includes matches/ancestors independently of saved expansion; clearing restores exact expansion	accepted	a1759b2a	tree	retain_and_verify	Filter revision/reorder/selection and navigation tests	tree query properties	TASK-020
A63	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §60	Tree chosen marker occupies reserved cell and follows stable key without new hit geometry	accepted	a1759b2a	tree	compare_new_oracle	Set/Clear/Inherit and reorder visible output	tree chosen frames	TASK-020
A64	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §50	Chip checked-set uses CHECKED marker; AddRequested carries no fabricated item key	accepted	a1759b2a	chips	retain_and_verify	Real-item collision and keyboard/mouse AddRequested	Chip actions and parts	TASK-020
A65	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §50	Radio caller value distinct from cursor; initial seeding only, commit requests caller change	accepted	a1759b2a	choice	retain_and_verify	External value change does not retarget established cursor	controlled radio tests	TASK-018
A66	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §51	Status hover keyed per live label; unkeyed/static/blank regions clear it	accepted	e72aef5;a1759b2a	statusbar;runtime	retain_and_verify	Sibling styles unchanged and keyboard suppression	status hover tests	TASK-028
A67	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §57	NavList Chose distinct from EnterContent; shell alone focuses content	accepted	a1759b2a	nav_list;showcase	retain_and_verify	Right/l versus Enter/Space/click and collapsed layouts	sidebar_contract	TASK-020;TASK-032
A68	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §58	Steps skipped remains read-only inspectable/navigable terminal state; stable action keys	accepted	a1759b2a	steps	retain_and_verify	Whole-disabled differs from skipped; boundary no-op	Steps lifecycle tests	TASK-020;TASK-030
A69	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §59	Steps frontier derived/incremental with explicit invalidation and saturation recomputation	accepted	a1759b2a	steps	retain_and_verify	Monotonic progression versus regress/reorder/reset counters	Steps perf/accessor gates	TASK-020;TASK-067
A70	COMPONENT_ARCHITECTURE.md;docs/audit/main-holla/history	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md §67	Picker/FilterList/Completion consume semantic AsItem; renderer does not define filtering or identity	accepted_amended	a1759b2a	picker;filter_list;completion	retain_and_verify	Borrowed non-Clone non-Display model and RowFn-only compile failure	semantic item tests	TASK-024
