id	finding	current_disposition	author_evidence	independent_evidence	remaining
CA-06	A12 inherited stale unresolved suffix	alias of ROOT-02	reaudit-components-a.md	alias ROOT-02; python3 docs/refactoring-plan/evidence/sync-history-stages.py (written:false); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true)	
CA-07	ChipBar lacked reusable lead per-item and clear semantics	ADJ-11 fixes borrowed providers keyless actions and source-compatible clipping	reaudit-components-a.md;architecture-adjudication.md	reaudit-components-a-rereview.md;reaudit-coordinator-contracts-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
CA-08	Generic validation label conflated input commit with Form submit veto	alias of RRA-06; exact component operation boundaries repaired	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-01	Form radio policy lacked writable private choice bridge	TASK-019 scope repaired	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-02	Idle and empty paste validation lifecycle omitted	alias and extension of ROOT-01	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-03	No-Cx paste viewport could be confused with stored scroll state	accepted_deferral_to_app_tasks; full app parity future; no hidden geometry API	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
RRA-04	Additive ChipBar actions break exhaustive Showcase consumer before app task	TASK-020 narrow compile-only scope repaired	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-05	Clipped oracle ChipBar returns before group focus registration	exact source-compatible early return fixed in ADJ-11	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-06	Input validation error wrongly treated as commit/navigation veto	invalid TextInput commit and later Form submit blocking separated	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
RRA-07	Shared painter witness required its future RowUi and viewport consumer receipts	013 closes shared painter first;015021 own later consumer proofs joined031069	reaudit-components-a.md	reaudit-components-a-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
B-01	Historical Grid single-click disposition contradicted actual oracle	current source-qualified disposition repaired while old quote retained	reaudit-components-b.md	reaudit-components-b-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
B-02	EmptyState shared collection implementation outside writable scope	TASK-027 scope and forwarding prerequisites repaired	reaudit-components-b.md	reaudit-components-b-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
B-03	Effective binding and cache metadata lacked writable production owner	TASK-028 scope and dependencies repaired	reaudit-components-b.md	reaudit-components-b-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
B-04	Deferred F01/F04 silently promoted to product corrections	ADJ-09 plus exact source-specific component and app contracts repaired	reaudit-components-b.md	reaudit-components-b-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
SC-S01-S13	Thirteen Showcase transcript geometry focus timer and scope defects affecting nineteen IDs	canonical and owned task copies repaired; fourteen real source diagnostics pass	reaudit-showcase.md	reaudit-app-repairs-rereview.md;python3 docs/refactoring-plan/evidence/sync-app-scenarios.py --write (written:true, changed_files:[]); SC-SHELL-C02/C06/C07 propagated to completion/002/trusted/shell-contributions.tsv	
HO-H01-H03	Holla copy exits process; raw port fallback masks draft; menu paste differs from true modal	three parents retained with sixteen exact branches and actual four-size replay	reaudit-holla.md;holla-trace-corrections.md	reaudit-app-repairs-rereview.md;python3 docs/refactoring-plan/evidence/sync-app-scenarios.py --write (written:true, changed_files:[]); HO-043-F02 propagated to completion/003/trusted/stage-contributions.tsv; freeze-bootstrap-assets.py --group flow --check (checked:true)	
JT-JT01-JT06	Jackin replay ending states and TablePro lazy selection save timing overlay paste cell selector	planning repaired; post-rereview JTR-01/JTR-02 corrections independently witnessed	reaudit-jackin-tablepro.md;reaudit-jackin-tablepro-rereview.md	reaudit-jackin-tablepro-rereview-2.md;/tmp/jt-rereview.lBNmr0 cargo test --lib audit:: (6 passed); /tmp/jt-reaudit.4mpJ2V cargo test audit:: (5 passed) and jackin-audit audit_ (2 passed); tablepro.md:79-83 cell/click-cell split; TP-031/034/037 currency vs notes in tablepro-scenarios.tsv; TASK-005/058-064 TablePro stage-audit match canonical; python3 docs/refactoring-plan/evidence/sync-app-scenarios.py --write (written:true, changed_files:[]); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true)	
CLOSURE-01	TASK-065 source obligation demanded unsupported cross-file scan	planning closed; bounded intra-module scan disposition synchronized	reaudit-closure.md;architecture-adjudication.md#adj-02-props-constructors-have-no-receiver-scanner-claims-stay-bounded	reaudit-closure.md;refactoring-tasks/terminal-components/completion/065/trusted/source-obligations.tsv HIST:A47 accepted_intra_module_scoped;README D-007;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[]); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
CLOSURE-02	Real style time ratio had no assigned actual production measurement seam	TASK-073 probe and TASK-067 fixed measurement contract authored; style-timing bootstrap self-test passes	reaudit-closure.md;reaudit-components-b.md	reaudit-components-b-rereview.md;python3 -B docs/refactoring-plan/evidence/style-timing-bootstrap-driver.py --self-test (prepared:26, negative_cases:19, fresh_recoveries:30, attacks:6, census:355); python3 -O -B … (pass)	TASK-067 controlled-host ≤5% product certification; --runner qualification pending
FND-01	TASK-072 callable qualification omitted docs signatures privacy arity allowlists inventory and dependency gates	expanded actual-source compiler and policy corpus; bootstrap self-test passes	reaudit-foundation.md	reaudit-source-qualification-rereview.md;python3 -B docs/refactoring-plan/evidence/architecture-bootstrap-source-driver.py --self-test (source_cases:193, negative_controls:153); python3 -B -O … (identical counts)	Submitted --runner qualification and independent source-qualification rereview acceptance
HIST-01	Historical source census omitted JACKIN_GOAL and linked prompt reference design transitions	planning closed; thirteen-path census and continuation disposition synchronized	reaudit-history.md;history-source-continuation.md;reaudit-history-witness.md;python3 docs/refactoring-plan/evidence/sync-history-stages.py --write (written:true, changed_files:0, edges:1108); python3 docs/refactoring-plan/evidence/sync-history-prose.py --write (sections:647, changed_fields:0); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0); history-revision-index.tsv (281 rows, 13 paths, JACKIN_GOAL 3 edges)	
ROOT-06	Form fail-fast implementation contradicted accepted every-visible validation and oracle simultaneous field errors	ADJ-12 restores total ordered validation error storage and first-error focus in planning	architecture-adjudication.md;reaudit-components-a.md	reaudit-form-validation-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
ROOT-07	Process-lifetime signal broker conflicted with no-global architecture and unchanged public session entry APIs	ADJ-13 narrowly permits private Unix crossterm signal bookkeeping singleton; broker bootstrap self-test passes	architecture-adjudication.md;reaudit-history-early.md	reaudit-session-broker-rereview.md;python3 -B docs/refactoring-plan/evidence/broker-bootstrap-driver.py --self-test (cases:45, transport_controls:10/10 pass, submitted_checker_qualified:false)	broker-bootstrap-driver.py --runner submitted-dispatcher for CHK-013
ROOT-08	Historical Deferred proposals were promoted to current product gates	F03/F06/F08c/F17 adjudicated in ADJ-09 extension; F08a/F09/F16/F18/F20 previously closed	history-semantic-reaudit.md;architecture-adjudication.md	python3 docs/refactoring-plan/evidence/sync-history-stages.py --write; python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true)	
ROOT-09	Settings range deletion followed by ShiftUp crashes immutable oracle through normal App focus and redraw	oracle_crash_archived_safe_continuation_required disposition recorded in ADJ-09 and canonical F03	reaudit-oracle-f03.md;architecture-adjudication.md	python3 docs/refactoring-plan/evidence/sync-history-stages.py --write; reaudit-oracle-f03.md disposition approved 2026-09-15	
ROOT-10	A121 retained superseded two-intent performance wording	Canonical source and trace require one intent one update pass exact delta480 and normalized strict ratio	docs/sources/main/COMPONENT_ARCHITECTURE.md at main6293-6303;history-semantic-reaudit.md	python3 docs/refactoring-plan/evidence/sync-history-stages.py --write; python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
JTR-03-JTR-06	Filter replacement applied early; upper paste ignored; chip focus targets invented; Inspect copy discarded	planning repair and bounded routing rereview complete; execution obligations deferred to TASK-058/060/069	reaudit-jt-routing-repairs.md	reaudit-jt-routing-rereview.md;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/assemble-plan.py --write (changed:[])	
FND-02	Python equality accepted boolean and float substitutes for integer IPC observations with genuine digests	Shared canonical JSON byte comparison repairs runner and architecture validators; source bootstrap self-test passes	reaudit-foundation.md	reaudit-source-qualification-rereview.md;python3 -B docs/refactoring-plan/evidence/architecture-bootstrap-source-driver.py --self-test (source_cases:193, negative_controls:153); python3 -B -O … (identical counts)	Submitted --runner qualification and refreeze if shared assets change
STR-01-STR-03	Style qualification omitted reachable leaf costs and did not enforce strict threshold or bind effective compiler environment	leaf census and style-timing bootstrap self-test passes; TASK-067 owns product ≤5% certification	reaudit-style-timing.md	reaudit-style-timing-rereview.md;python3 -B docs/refactoring-plan/evidence/style-timing-bootstrap-driver.py --self-test (prepared:26, census:355); python3 -O -B … (pass)	--runner qualification; TASK-067 controlled-host ≤5% not certified
EH-03-EH-04	Historical Dialog reference and Jackin file-browser clauses had wrong component or app owners	planning closed; 023/031 Dialog reference split and 051-led Jackin J6 mapping synchronized	reaudit-history-early.md;reaudit-history-early-witness.md;history-task-map.tsv EARLY-AMEND-033 and EARLY-054;refactoring-tasks/terminal-components/completion/023/trusted/source-witnesses.md W-023-06;refactoring-tasks/terminal-components/completion/051/trusted/source-obligations.tsv EARLY-054;python3 docs/refactoring-plan/evidence/sync-derived-obligations.py --write (changed:[]); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
HAR-LOCATORS	Historical API audit ranges pointed beyond the cited revision bodies and HAR020 stayed proposed after accepted disposition	planning closed; 22 locator_pin rows and HAR-020 finite23 disposition table synchronized	reaudit-history-inputs.md;reaudit-history-inputs-witness.md;history-inputs-api-app-research-obligations.tsv (22 locator_pin rows);refactoring-tasks/terminal-components/completion/065/trusted/source-obligations.tsv HAR-020;python3 docs/refactoring-plan/evidence/sync-history-stages.py --write (changed_files:0); python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0)	
BRANCH-01	Prior task audit did not certify a complete main-versus-holla branch diff reread	JT partition integrated (29/29 findings, ADJ-18–21, jt-branch-corrections 051–064); inventory sync 640/7885 reviewed (8.12%)	branch-diff-inventory.tsv;reaudit-plan.md;branch-diff-findings-jackin-tablepro.tsv;branch-diff-artifact-disposition.tsv	python3 docs/refactoring-plan/evidence/sync-branch-diff-review-status.py --write (reviewed:640/7885); architecture-adjudication.md ADJ-18–21; validate-plan.py --summary (passed:true)	Finish tooling-tests/examples partition (112 paths); components-B coordinator integration; non-JT findings registers
ROOT-11	647 historical prose blocks retained83 stale copied fields and omission could evade glob-only checking	Canonical six-field synchronization plus exact647 section membership and required-file checks added	evidence/sync-history-prose.py;evidence/validate-plan.py;history-prose-membership.tsv	python3 docs/refactoring-plan/evidence/validate-plan.py --summary (passed:true, error_count:0, historical_prose_sections:647); 73-package AGENTS canonical protocol check	
ROOT-12	Frozen asset validator accepted source destination relabelling when identical bytes matched	Shared trusted expected_bindings defines exact complete group source destination membership	evidence/freeze-bootstrap-assets.py;evidence/validate-plan.py	python3 docs/refactoring-plan/evidence/freeze-bootstrap-assets.py --group broker --check (all six groups checked:true); bootstrap-assets.tsv (202 rows)	
ROOT-13	Compiler identity hashed mutable MBX Cargo launcher instead of selected compiler	Resolve actual Cargo rustc toolchain paths and validate bytes versions selection before and after invocation	evidence/architecture-bootstrap-main-driver.py;evidence/architecture-bootstrap-source-driver.py	reaudit-compiler-identity-rereview.md	
BA-FMT	Formatted Display fragment boundaries drop combining and joined graphemes; universal zero-allocation promise lacks storage basis	ADJ14 shared streaming painter and private lifetime-high-water scratch with unchanged borrowed-input gates; planning prototype complete; TASK-013/015 own production witnesses	branch-diff-components-a.md;architecture-adjudication.md	reaudit-streaming-grapheme-rereview.md;streaming-grapheme-bootstrap-20260911 (7/7 pass normal+toolchain)	
BA-ART-01	17 historical capture sets contain ANSI and text from different visible time states despite valid hashes	capture-atomicity bootstrap self-test passes; mixed-bundle rejection bound to TASK-070	branch-diff-artifacts.md;branch-artifact-text-differences.json	python3 -B docs/refactoring-plan/evidence/capture-atomicity-bootstrap-driver.py --self-test --tuisnap-source tui-snap (cases:22, negative_cases:20, attacks:7, fresh_recoveries:40); python3 -B -O … (pass)	Add capture-atomicity freeze group; --runner qualification for TASK-070
BA-ART-02	Historical dirty revisions conflicting manifest pins and old required recipes were not current oracle acceptance	planning review complete; all7019 artifact paths decoded and task-owner disposition table bound	branch-diff-artifacts.md;branch-artifact-relationships.json;branch-diff-artifact-disposition.tsv	branch-diff-history.md#independent-bounded-artifact-report-rereview;branch-artifact-census.json	
BA-ART-03	Main surviving scalar ANSI exporters lose Holla cell-grid width and clipping fidelity	planning review complete; scalar exporters retired from acceptance; disposition table binds TASK-001/070/069	branch-diff-artifacts.md;reaudit-branch-tooling-tests.md;branch-diff-artifact-disposition.tsv	independent tooling source counterexamples confirm wide combining and clipping defects (BT02)	
