scenario_id	page	sizes	action_checkpoints	required_observable_proof	source_refs	components
SC-LIST-SELECT	lists	80x24,120x40	focus(Language);Down;Enter;End;Home;PageDown;focus(Files to include);Space;Shift+Down*3;a;a;click enabled row;click disabled row;focus(Search results);Enter	Chosen vs cursor; multi/range/all/none; disabled skips; empty list boundary actions	O:pages/lists.rs:19,158;O:src/widgets/list.rs:125	List,selection,scroll
SC-TREE-FOLD	trees	80x24,120x40	focus(Project tree);Left;Right;Down;Right;Enter;*;-;End;Home;click(src disclosure);click(src row label);wheel(tree,+3);assert collapsed-root layout has no scrollbar;focus(Project tree);*;assert expanded tree overflow;drag(scrollbar,top,bottom)	Expansion vs activation; ancestor navigation; selection details; stable gutter; collapsed-fit vs expanded-overflow exact geometry; disabled/leaf distinctions as O	O:pages/trees.rs:105;O:src/widgets/tree.rs:367	Tree,scrollbar,fade
SC-TABLE-SORT	tables	80x24,120x40	focus(Tasks);s;s;s;click column header three times;Down;Enter;End;Home;PageDown;wheelH(Tasks,+3);wheel(Tasks,+3)	Ascending/descending/unsorted stable order; column indicator; row choice; horizontal and vertical clamp	O:pages/tables.rs:130;O:app_tests.rs:279,309	Table,sort,scroll
SC-EDITABLE-CELL	editabletables	80x24,120x40	focus(Tasks);assert initial column Task;Enter;End;type( ok);Enter;assert one committed edit;Enter;type(discard);Esc;Right to Owner;Enter;End;type( bad);Enter;assert Owner is a single handle;Esc;move Changes column;Enter;Ctrl+U;type(x);Enter;Esc;move Branch column;F2;Ctrl+U;type(bad name);Tab	Task commit vs revert; Owner space validation; numeric/branch error keeps editor; Tab next editable cell and validation boundary; readonly columns skip	O:pages/editable.rs:14,116;O:app_tests.rs:323	Table,TextInput,validation
SC-EDITABLE-MOUSE	editabletables	120x40	click editable task cell;click same cell;paste(Changed);Tab;BackTab;Esc;click sort header;assert120x40 table scrollbar absent;resize80x24;drag(vertical table scrollbar,top,bottom);resize120x40;wheelH(table,+2)	Exact single/repeated-click edit behavior; retained cell identity through sort; original geometry; no scrollbar for14rows at120x40; real overflow drag at80x24; clamp and focus retained across resize	O:pages/editable.rs:116;O:src/widgets/table.rs	Table,HitRegistry,text-edit
SC-PANEL-SCROLL	panels	80x24,100x30,120x40	at80x24 assert nested list clipped with no focus/hit; at100x30/120x40 focus(nested list);Down; all sizes focus(framed prose);End;Home;PageDown;wheel(prose,+3);focus(log);End;f;Up;wheel(log,-2);drag(log scrollbar,thumb,bottom)	Independent scroll owners; prose never follows; log follow; exact narrow nested-card clipping and absent target; nested focus/gutters at taller sizes	O:pages/panels.rs:158	Panel,ScrollPanel,List,fade
SC-SIDEBAR-MODES	sidebars	72x20,80x24,120x40	focus(demo navigation);Down;Enter;End;Home;Down*5;click Billing;click Collapse;assert collapse button focused;focus(demo navigation);Down;Enter;click(expand control rendered as ›);wheel(nav,+3); at72x20 drag(nav scrollbar,top,bottom); at80x24/120x40 assert demo scrollbar absent and no scrollbar hit	Cursor/current retained; disabled Billing skipped; click-collapse focus vs explicit navigation re-entry; collapsed › activation expands; icons/labels/borders; overflow13rows in10row viewport at72x20 vs no scrollbar in14/16row viewports	O:pages/sidebars.rs:123,173,453	NavList,Button,scrollbar
SC-DIALOG-CONFIRM	dialogs	80x24,120x40,160x50	fresh mouse click Confirm run from navigation;Tab;BackTab;Esc;assert navigation restored;focus(Confirm run);Enter;Esc;assert trigger restored;reopen;y;reopen;n;click Delete branch;Enter;reopen;Right;Enter	Confirm primary focus; destructive cancel focus; quick answers; result history; close restores saved prior focus: navigation after fresh mouse launch, trigger after focused keyboard launch	O:pages/dialogs.rs:49,155;O:app_tests.rs:454	Dialog,Button,focus
SC-DIALOG-PROMPT	dialogs	80x24,120x40	click Rename task;Enter;Ctrl+U;Enter;assert empty rejection and editing false;Enter;type(x repeated41);Enter;assert max40 rejection and editing false;Enter;Ctrl+U;type(Review schema);Enter;reopen;Enter;paste(café 東京);Esc;assert input reverted and modal still open;Esc;assert dialog canceled and saved name unchanged	Empty and41-byte ASCII names blocked with exact errors; explicit re-entry reaches each state; rename result returned; cursor/paste while editing; first Esc reverts edit, second Esc cancels dialog without changing saved name	O:pages/dialogs.rs:25,49;O:app_tests.rs:480	Dialog,TextInput,validation
SC-DIALOG-CHOICES	dialogs	120x40	Fresh each action: click Three choices; choose Cancel/Discard/Save by arrow then Enter; fresh click each action; attempt click outside;wheel background	Save initial focus; all three result variants; background barrier and history order	O:pages/dialogs.rs:66,155	Dialog,overlay
SC-PROGRESS-RUN	progress	80x24,120x40	ticks1;click Pause;ticks10;click Resume;ticks82;click Restart;ticks167	Live+static state appearance; pause freezes build; restart zero; final build1.0/status; spinner checkpoint phase	O:pages/progress.rs:180	Progress,Spinner,clock
SC-SCROLL-OWNERS	scrolling	80x24,100x30,120x40,160x50	focus(prose);End;wheel(prose,+1);Home;wheel(prose,-1);wheel(list,+5);hover(list row);wheel(list,+1);focus(log);End;Up;tick;End;tick	Boundary wheels consumed; focus unchanged under unrelated wheel; hover follows new row; prose never follows; log follows only tail	O:app_tests.rs:814,878;O:pages/scrolling.rs:113	ScrollPanel,List,scrollbar,fade
SC-SCROLL-THUMB	scrolling	80x24,120x40	wheel(list,+8);Down(thumb center);Drag(thumb center+3rows);Up;click(track bottom);resize100x30;Tick;resize80x24	Thumb retains grab offset; track page/drag; labels match first frame; row counts and edge fades exact	O:app_tests.rs:736,777	scrollbar,layout
SC-TERMINAL-RUN	terminal	80x24,120x40,160x50	click Run;ticks10;ticks26;ticks40;ticks18;ticks14;ticks1;click Run with a failure;ticks10;ticks13	Seven-stage rail; cached/skipped stage; final prompt; failed network stage and blocked successors	O:pages/terminal.rs:34,139	TerminalViewport,StepRail,Spinner
SC-TERMINAL-SELECT	terminal	80x24,120x40	ticks40;focus(terminal);Home;PageDown;End;Up;f;wheel(terminal,-3);Down(text cell);Drag(later line);Up;y;Esc;Shift+Right;Shift+Down;y;drag(split seam,left,right)	Follow state; copy text/line count; original press anchor; cleared selection; keyboard selection; clamped split and no focus theft	O:pages/terminal.rs:271;O:src/widgets/viewport.rs:1352;O:app_tests.rs:982	TerminalViewport,selection,SplitPane
SC-EDITOR-EDIT	codeeditor	80x24,120x40,160x50	focus(code editor);Enter;Home;paste(café 東京);Shift+Right;Backspace;Tab;BackTab;Esc;};{;/;type(fetch);Enter;n;N;Esc	Unicode editing/selection and cursor; Tab behavior; block movement; find and next/previous match	O:pages/editor.rs:438;O:src/widgets/code.rs:285,406	CodeEditor,text-edit,search
SC-EDITOR-COMPLETE	codeeditor	80x24,120x40	focus(code editor);Ctrl+Space;Down;PageDown;PageUp;Enter;Ctrl+Space;Esc;fresh Ctrl+Space;click completion row;wheel(editor,+3);wheelH(editor,+3);drag(editor scrollbar,top,bottom)	Popup anchor/selection/accept replacement; dismissal; completion receives keys first; scroll owner	O:pages/editor.rs:217,254,438;O:src/widgets/completion.rs:99	Completion,CodeEditor,overlay
SC-EDITOR-RUN	codeeditor	120x40	focus(code editor);Ctrl+R;ticks9;ticks1;move to blank between blocks;Ctrl+R;edit current block with .unwrap() and todo!;Esc;Ctrl+R;ticks10;edit one char	Running highlight; first run77ms; no-block message; warning/error diagnostic spans; editing clears diagnostics	O:pages/editor.rs:269,279,438	CodeEditor,diagnostics,clock
SC-DIFF-MODES	diff	80x24,100x30,120x40,160x50	click Review;focus(diff viewport);Down;Right;click Empty;click Empty;click Review	Review split vs narrow unified fallback; exact line numbers/glyphs/colors; empty preserves focus stops; mode switch clears selection/copied state	O:pages/diff.rs:62,103,210	DiffView,TerminalViewport,Button
SC-DIFF-SELECT	diff	80x24,120x40	focus(diff viewport);End;Home;PageDown;wheel(diff,+2);Down(東京 line);Drag(café line);Up;y;Esc;click Review;repeat Unicode drag;y;drag(scrollbar,top,bottom)	Copy Unicode payload and selection; release must preserve original press anchor; narrow/review coordinate mapping; fades/panning	O:pages/diff.rs:103,234,300	DiffView,TerminalViewport,selection
SC-GRID-NAV	datagrid	80x24,120x40,160x50	focus(customer grid);Right;Down;Shift+Right;Shift+Down;y;Y;Space;Home;End;Ctrl+Home;Ctrl+End;s;s;s;S;wheelH(grid,+4);wheel(grid,+4)	Cell/range/row selection; plain vs TSV copy; first/last cell; local sort identity; fixed columns and scroll edges	O:src/widgets/grid.rs:975;O:pages/grid.rs:325	DataGrid,selection,sort,scroll
SC-GRID-EDIT	datagrid	120x40	focus(customer grid);move seats cell;Enter;Ctrl+U;type(invalid);Enter;Esc;Enter;Ctrl+U;type(501);Enter;Ctrl+S;ticks3;ticks1;Enter;Ctrl+U;type(50);Enter;Ctrl+S;ticks4	Typed validation; pending count; four-tick loading; server seats>500 row error; successful retry clears pending and increments saved	O:pages/grid.rs:198,269,325	DataGrid,Field,commit,clock
SC-GRID-QUEUE	datagrid	80x24,120x40	focus(customer grid);+;edit inserted name;Enter;Ctrl+d;-;u;p;Enter;assert Cancel leaves pending unchanged;p;Right;Enter;assert Copied N statements status;U;r;G;PageDown;G;PageDown;G;PageDown	Insert/duplicate/delete/undo; SQL facts initially Cancel and explicit Copy SQL result/status; pending queue unchanged by either dialog action; discard/refresh; fetch40->80->96; exhausted boundary	O:pages/grid.rs:147,198;O:src/widgets/grid.rs:1116	DataGrid,Dialog,Props,paging
SC-GRID-ACTIONS	datagrid	120x40	focus(customer grid);move JSON/bool/null cells;Enter on each;f;/;F;Ctrl+];click each toolbar action on fresh appropriate clean/pending state;drag column boundary;click header	Viewer/filter status; bool toggle/null representation; no invented reference-column fixture; toolbar hitboxes; widths/sort preserve state	O:pages/grid.rs:198;O:src/widgets/grid.rs:1053,1145	DataGrid,Toolbar,HitRegistry
SC-CHIP-FILTERS	chipsselects	80x24,120x40	focus(filters);Right;Space;Enter;x;+;X;+;click(match all);click chip remove;repeat+ until overflow;Left;Right	Enabled flag vs removed chip; status-only edit request; candidate cycle; empty/overflow clipping; all/any lead	O:pages/chips.rs:76,270;O:src/widgets/chips.rs:91	ChipBar,Segments,EmptyState
SC-CHIP-SELECTS	chipsselects	80x24,120x40	focus(Sort by);Enter;Down;Enter;Enter;Down;Esc;Left;Right;focus(Page size);Enter;Down;Space;click Engine;open Sort by;click outside	Popup selected/cursor distinction; cancel; inline arrow selection; disabled engine; focus restoration/outside dismissal	O:pages/chips.rs:270;O:src/widgets/select.rs:76	Select,overlay,focus
SC-PICKER-QUICK	pickers	80x24,120x40,160x50	click Open quickly;type(api);Down;Alt+Enter;reopen;Tab;Tab;Tab;type(zzzz-no-result);Enter;Ctrl+U;PageDown;wheel(picker,+3);Esc	Grouped fuzzy results/matched spans; alt new-tab status; All/Files/Tasks scope cycle; empty Enter keeps open; query clear	O:pages/pickers.rs:132,241,381;O:src/widgets/picker.rs:272	Picker,text-edit,overlay
SC-PICKER-TABS-LEVEL	pickers	80x24,120x40,160x50	click Switch tab;Delete;Delete;Delete;Delete;Enter;click Choose a level;Up;Down;Enter;reopen;hover/down/up each of six levels in fresh runs;Esc	Close tab secondary action until last cannot close; selected result; nonsearchable level initial3; all six options enabled; width112 clamp	O:pages/pickers.rs:105,132,241	Picker,selection
SC-CHROME-MENUS	chrome	80x24,120x40,160x50	focus(sessions);F10;Right;Down;Enter;focus(sessions);m;Down;Enter;right-click session row;hover disabled menu item;click outside;click brand;click usage;click PR	MenuBar vs context ownership; focused session; disabled/gaps inert; menu hint layer; status chips/brand messages	O:pages/chrome.rs:115,135,250	MenuBar,Menu,StatusBar,KeyHints,List
SC-SETTINGS-GENERAL	settings	80x24,120x40	focus(Project name);Enter;End;type(-new);Enter;focus(Description);Enter;paste(New\nnotes);Esc;focus(Visibility);Down;Space;click Auto-merge approved PRs;click Protect main branch;click Save changes;Esc;click Save changes;Enter;Ctrl+S	Live edits; dirty marker; confirm cancel preserves dirty; confirm/direct save clears dirty; exact footer	O:pages/settings.rs:276,494	Tabs,Field,TextArea,RadioGroup,Toggle,Dialog
SC-SETTINGS-MEMBERS	settings	80x24,120x40	focus(tabs);2;focus(Members table);Down;Right*2;Enter;Ctrl+U;type(invalid);Enter;Esc;Enter;Ctrl+U;type(Admin);Enter;move Name column;Enter;Ctrl+U;Enter;assert name validation error;type(Renamed member);Enter;assert Member updated;click Name column header;assert selected member identity;click Remove…;Esc;reopen;y;click Invite;repeat confirmed remove until empty	Role and nonempty-name validation; valid name/role edits; sorting preserves selected identity; cancel/confirm text includes selected name+role; confirmed removal deletes that identity; empty/disabled removal; invitation status	O:pages/settings.rs:28,276,494,555	Tabs,Table,Dialog,Button
SC-SETTINGS-ENV	settings	80x24,120x40	focus(tabs);3;focus(Environment list);Space;Shift+Down;click Remove selected;click Add variable…;Enter;type(lower-case);Enter;assert variable-name rejection and editing false;Enter;Ctrl+U;type(API_BASE_URL);Enter;assert Added API_BASE_URL and closed dialog;focus(Environment list);a;click Remove selected	Multi-selection/removal; variable uppercase validation and explicit edit re-entry; appended empty value; all-remove empty state and disabled action	O:pages/settings.rs:38,276,494,569	Tabs,List,Dialog,TextInput
SC-SHELL-ALL-PAGES	all23	80x24,100x30,120x40,160x50	Launch real showcase without --page;repeat ] exactly23 times with frame after each;repeat [ exactly23 times;fresh --page each normalized page name;--help;--page invalid;--color invalid	All23 pages reachable through actual executable; cycle returns Overview; page parser maps each; invalid values exit2; help text and clean exit	O:src/bin/showcase/main.rs:17;O:app.rs:552	CLI,runtime,NavList
SC-TASK-RUN	taskrunner	80x24,120x40,160x50	r;ticks1;ticks9;ticks1000;click Run pipeline;ticks10;click Cancel;ticks1000;assert pipeline task states unchanged while modal;Esc;click Cancel;ticks1000;y	Queued/running max2; log steps; integration failure; done badge/status; rerun reset; cancel dialog freezes tick; finished results survive cancellation	O:pages/taskrunner.rs:114,137,365	Tree,Progress,ScrollPanel,Dialog,clock
SC-TASK-SCROLL	taskrunner	80x24,120x40	focus(target tree);Left;Right;End;Home;r;focus(Run pipeline);Enter;ticks20;focus(log);Home;wheel(log,+2);f;ticks10;End;drag(log scrollbar,thumb,top);assert target-tree scrollbar absent;resize72x20;drag(tree scrollbar,top,bottom);resize original size	Context keys: r ignored while tree/log focused as oracle; log follow/paused; tree fold; independent scrollbar/focus; tree fits original80x24/120x40 but overflows72x20; exact resize clamp and retained state	O:pages/taskrunner.rs:365,479	Tree,ScrollPanel,scrollbar
SC-SHELL-CLI-GRAMMAR	all23	71x20,80x24,100x30,120x40,160x50	Fresh real processes: each --color/-c with each truecolor,24bit,256,16,none,mono; each --page/-p with every23 NAV label as original label,source-ASCII-normalized label,ASCII-uppercase original label,and exact !- prefix plus _東京 suffix around normalized label; both help flags; unknown --unknown ignored; --theme paper ignored; each color/page flag missing or empty; invalid color invalid,TRUECOLOR,ansi256,ansi16; invalid page invalid,editor,grid,chips,editable; ordered repeated colors truecolor then mono and reverse, pages overview then diff and reverse, every long/short flag pairing; invalid before help; help before invalid; --page --help and -p -h; capture startup then real q for each successful launch	Exact source stdout/stderr/exit before terminal entry; last valid option wins; exact23 route and capability semantics; terminal entry/restoration; complete unmasked startup/final frames for successful launches at all sizes; ignored theme has no Paper effect; normalization removes non-ASCII-alphanumeric characters without extra slugs	O:src/bin/showcase/main.rs:17-72;O:app.rs:185-199	CLI,runtime,NavList,theme
SC-SHELL-CLI-COLOR-ENV	overview	71x20,120x40	Clear NO_COLOR,COLORTERM,TERM,CLICOLOR_FORCE,FORCE_COLOR then fresh each env case: clear;NO_COLOR=empty;NO_COLOR=0;NO_COLOR=1;NO_COLOR=raw0xff;COLORTERM=truecolor;COLORTERM=24bit;COLORTERM=TRUECOLOR;COLORTERM=unknown;COLORTERM=raw0xff;TERM=xterm-256color;TERM=ghostty;TERM=kitty;TERM=dumb;TERM=empty;TERM=raw0xff;CLICOLOR_FORCE=0;CLICOLOR_FORCE=1;FORCE_COLOR=0;FORCE_COLOR=1;NO_COLOR=1+COLORTERM=truecolor+TERM=xterm-256color+CLICOLOR_FORCE=1;NO_COLOR=empty+COLORTERM=truecolor+TERM=xterm-256color;COLORTERM=24bit+TERM=dumb;COLORTERM=unknown+TERM=ghostty; cross each case with no color flag and each --color/-c value truecolor,24bit,256,16,none,mono; fresh PTY launch then q; repeat in a fresh Unix session without controlling TTY and all standard handles redirected pipes and retain actual source setup failure/no-frame outcome	Source default detection and explicit CLI override exact; nonempty raw NO_COLOR affects only default; Unicode COLORTERM then TERM precedence; FORCE variables ignored by source default; no second ambient narrowing of explicit request; distinguish semantic theme capability from backend color suppression and preserve modifiers; exact direct and backend-normalized PTY frames/capability/process exit/restoration; redirected failure is source evidence not fabricated frame; raw-byte env applicability sealed by host	O:src/bin/showcase/main.rs:18-30,64-72;O:src/theme.rs:30-45;O:src/runtime.rs:276,375-391	CLI,runtime,theme,terminal-capability
