id	area	oracle_state	main_state	architectural_target	status	remaining_obligation	available_gates	missing_proof	evidence	task_ids
A11	cursor and typing	per-app editing heuristics	TypingPolicy and cursor owner publication	one explicit runtime typing owner with presented geometry	implemented;component mismatch	remove component focus-auto-edit drift while preserving runtime ownership	typing_owner;keyboard_editor;publication	oracle input/textarea/code cursor trajectories	7b27732:crates/tui/src/runtime/typing.rs:1;7b27732:crates/tui/tests/typing_owner.rs:1	TASK-010
A12	time and feedback	Instant and app-specific tick clocks	Moment monotonic advance and FeedbackClock	driver time separated from simulation; precise presented feedback	implemented;flow parity unproven	carry same timing boundaries through all restored app scenarios	monotonic;feedback_clock;activation_origin;app timing tests	seeded equal-time and threshold PTY/action schedules	7b27732:crates/tui/src/runtime/time.rs:1;7b27732:crates/tui/src/event.rs:24	TASK-009;TASK-029
A13	theme and capability	flat Theme colors and lift	semantic tokens recipes PaintStyle palettes	preserve semantic provenance and override precedence through conversion	refactored;parity partial	restore exact oracle roles/colors without RGB inference	capability_palettes;independent_paint_carrier;theme_holla_states	all components by state theme capability surface	7b27732:crates/tui/src/theme/mod.rs:54;7b27732:COMPONENT_ARCHITECTURE.md:8758	TASK-011
A14	layout and measure	ad hoc app rows/columns and raw backgrounds	layout Track Insets Measure Surface	shared measure/layout same geometry in draw and update	implemented;parity unproven	correct geometry at responsible primitive/component and test tiny/resizes	grid_column_fit;panel_badge;split_seam_geometry;viewport	oracle component and app rect/state coverage	7b27732:COMPONENT_ARCHITECTURE.md:748;7b27732:crates/tui/src/layout.rs:1	TASK-012
A15	text editor and secrets	TextBuffer clones fn callbacks	TextEditorCore TextBuffer Secret Validate FieldControl	one editor action grammar; borrowed validation; secret containment	implemented;behavior drift	preserve exact legacy editing interactions through shared core	keyboard_editor;input_placeholder;compile_fail_cases_hold;secret unit tests	oracle selection/edit/blur/unicode/readonly sequences	7b27732:COMPONENT_ARCHITECTURE.md:1450;7b27732:crates/tui/src/text/editor.rs:1	TASK-013;TASK-016;TASK-025
A16	text measurement/paint	fit allocated strings multiple width paths	one CellWidth measure borrowed painters	one width contract; zero allocation clipping; original grapheme fuzzy indices	implemented	preserve unicode and clipping under parity additions	fuzzy_boundary;paint_middle;paint_matched;fit_100k_grapheme_line_to_80_wide	wide-cell/combining canonical parity frames	7b27732:COMPONENT_ARCHITECTURE.md:3882;7b27732:crates/tui/src/text/measure.rs:1	TASK-013
A17	collections	owned cloned items positional callbacks	borrowed CollectionCore RowUi KeySet	borrowed keyed O(visible) rendering selection reconciliation	implemented	keep reusable models during application migration	perf_collections;list_boundary;tree_row_renderer;picker_projection	model-read and allocation probes for restored large data	7b27732:COMPONENT_ARCHITECTURE.md:1179;7b27732:crates/tui/src/collection/mod.rs:1	TASK-015;TASK-020
A18	row/column instance overrides	inconsistent component-specific painting	RowUi/ColumnsUi retain label patch only	all declared row parts honor instance/part/slot precedence	partially refactored	thread borrowed PartStyle to part/columns painters and consumers	item_row_columns;rowui_glyph_contract;overrides	independent part-patch precedence red-proof across consumers	7b27732:crates/tui/src/collection/rowui.rs:29;7b27732:crates/tui/src/collection/rowui.rs:314	TASK-015
A19	Grid domain split	DB data/pending/undo inside widget plus DataTable	GridModel shared;GridEditor mutable;TablePro adapter	generic grid; database policies stay TablePro; no editable bool	implemented;behavior defects	preserve all 22 TablePro capabilities and oracle single-click edit	grid_model_public_surface_is_exact;grid_model_contract;TablePro model tests	oracle pending/undo/row/column/header/edit scenarios	7b27732:COMPONENT_ARCHITECTURE.md:1314;7b27732:apps/tablepro/src/grid_model.rs:1	TASK-022
A20	forms and declared fields	three separate app form engines	Form FormData Field FieldKind	one field engine; app owns domain values; no values() extraction	implemented;app parity incomplete	migrate all oracle forms using exact shared field/scroll/error semantics	conformance;dialog_ack_keyboard;connection-form example	oracle Jackin/TablePro/Holla form journeys	7b27732:COMPONENT_ARCHITECTURE.md:1530;7b27732:crates/tui/src/components/form.rs:1	TASK-019
A21	keymaps hints menus	hand-coded hint strings synthesized keys	BindingTableId ActionKey DerivedHintBar	same metadata drives menu/action/hints; overrides owner-scoped	implemented;app audit needed	reconcile product labels/chords without decorative binding bypass	derived_hintbar_metadata;descriptive_hints;menu_chord_case	menu-vs-key full app action equivalence	7b27732:COMPONENT_ARCHITECTURE.md:8396;7b27732:crates/tui/src/keymap.rs:1	TASK-028;TASK-030
A22	exact reference fixtures	manual fake state renderers	Ui::reference exact ReferenceTarget	reference paints only; centralized inert registration and scoped restoration	implemented	use real components with honest semantic fixture state	reference_rendering_is_ui_scoped;legacy_forced_state_apis_are_absent	mutation rejecting broad state forcing and registration leakage	7b27732:COMPONENT_ARCHITECTURE.md:8492;7b27732:crates/tui/src/lib.rs:69	TASK-010;TASK-031
A23	application component ownership	app copied generic controls	generic calls plus some compatibility paint-over	generic component owns visible pixels and interaction; domain composition only	duplicated;needs migration	remove Showcase Grid/shell paint-over and audit all app painters	no_generic_component_copies_in_applications currently weak	AST/reachability plus paint ownership mutation probes	7b27732:apps/showcase/src/pages/grid.rs:278;7b27732:xtask/src/main.rs:4464	TASK-065
A24	Choice mono affordance	oracle choice geometry	unresolved named bracket contract	preserve label geometry and oracle states; explicit shared policy	partially refactored	resolve original geometry obligation with oracle evidence	conformance;named test allowlist	mono_pressed_choice_keeps_the_label_geometry	7b27732:xtask/named_tests_allow.txt:23	TASK-018
A25	historical clone benchmark	viewport clone benchmark	clones removed benchmark intentionally absent	no production viewport cloning; replacement performance proof	obsolete name;cleanup owed	reconcile named deferral without restoring clone path	apps/jackin-preview/tests/perf.rs absence assertion	reviewed obsolete obligation mapping	7b27732:apps/jackin-preview/tests/perf.rs:126;7b27732:xtask/named_tests_allow.txt:20	TASK-067
A26	style performance	direct flat-style lookup	memoized resolver foundation stand-in	zero allocations cache correctness plus real frame <=5% strict share	incomplete	implement promised real Showcase frame share measurement	style_resolve_10k_parts;style_resolve_per_frame;app perf	style_resolve_share_of_frame_showcase_lists_120x40 absent	7b27732:COMPONENT_ARCHITECTURE.md:2246;7b27732:crates/tui/tests/perf.rs:229	TASK-067
A27	performance suite	frozen original app allocation rows	per-app rows plus deterministic library counters	preserve original performance obligations exact benchmark semantics	partially verified	distinguish smoke tests from allocation proof; compare real counts	perf;perf_collections;app-perf;test_perf_workflow.py	allocation assertion for render_twice_allocates_the_same	7b27732:apps/showcase/tests/perf.rs:129;7b27732:.github/workflows/perf.yml:1	TASK-067
A28	test preservation	oracle and older legacy tests	3211 historical obligation catalog pending approval	exact executed target/profile/test identities and reviewed relocations	incomplete	map catalog plus newly pinned oracle tests and wire CI	tools/test-inventory/inventory.py verify	approved required.json full execution no filtered tests	7b27732:tools/test-inventory/README.md:69;7b27732:tools/test-inventory/required.json:1	TASK-066
A29	API/docs/exceptions	legacy docs and interim handoffs	current facade plus stale expired packaging prose/allowlist	current authoritative API docs; no unfinished path; explicit historical disposition	needs reconciliation	close valid unresolved names and expired Buttons/render split deviation	doc-check;every_named_test_exists;rustdoc;examples	full historical decision-to-current API accounting	7b27732:COMPONENT_ARCHITECTURE.md:2054;7b27732:COMPONENT_ARCHITECTURE.md:3934;7b27732:xtask/doc_check_allow.txt:1	TASK-068
A30	MSRV/dependency policy	edition2024 Rust1.88 ratatui	edition2024 Rust1.88 ratatui-core split	keep floor lint policy exact allowed graph; optional backend	measured MSRV compile pass	preserve latest accepted constraints and run full gates	cargo +1.88.0 check --locked --workspace --all-targets --all-features	full stable/MSRV execution and lint/docs sweep at final candidate	7b27732:Cargo.toml:22;7b27732:.github/workflows/ci.yml:66	TASK-009
A31	verification evidence	pinned oracle runtime	old digests/captures plus immutable snapshot API	trusted oracle canonical cells plus full PTY interactions; no blessing drift	incomplete	qualify tool and production view adapter; run full scenario closure	RenderSnapshot;parity_contract;capture-matrix;bless-guard	new oracle exact frame/action trusted evidence	7b27732:crates/tui/src/runtime.rs:1816;7b27732:xtask/src/main.rs:2276	TASK-069
A32	release API contract	old API intentionally replaced	semver check deferred during rewrite	final documented API baseline and future compatibility gate	deferred until closure	prepare release readiness without publishing in planning scope	public docs;compile-fail;external consumers	reviewed final API baseline readiness	7b27732:COMPONENT_ARCHITECTURE.md:2209	TASK-068
