id	world	sizes	actions	checkpoints	components	source
JA-012	returning	80x24,100x30,120x40,160x50	K(n); K(Space,Enter,Enter,Enter); replay(prelude_creates_a_pending_workspace_and_opens_the_editor)	All five steps, skipped Edit, pending editor, no durable workspace before save	browser,choice,prompt,editor	screens/prelude.rs:31;app_tests.rs:416
JA-013	returning	80x24,120x40	K(n); browser K(g); type(https://github.com/example/demo.git); choose source; choose custom destination; type(/work/demo); continue through Edit and Workdir; type(Demo); rewind Esc through each step	Git/source/destination validation; choice persistence and stepper labels; no persistence during rewind	browser,form,picker	screens/prelude.rs; screens/modals.rs:266
JA-014	returning	80x24,120x40	replay(prelude_refuses_a_duplicate_name_and_cancels_cleanly); variant empty name,duplicate name; Esc until Manager	Validation text and disabled action; no abandoned workspace or focus leak	prompt,dialog,focus	app_tests.rs:463;screens/prelude.rs
JA-015	returning	80x24,100x30,120x40,160x50	K(n); browser K(Down,Right,Left,Backspace,Home,End); edit path; type(/missing); commit; reset path; paste(/work/payments-platform); wheel(browser,100); Esc	Folder open/parent/select vs navigate, invalid path, filtered/empty list, cursor/paste, no host filesystem read	browser,text input,list,scrollbar	screens/modals.rs:280-390
JA-016	returning	80x24,100x30,120x40,160x50	K(Down,e); K(1,2,3,4,5,],[); variant click(each of five editor tabs); Enter then Tab/BackTab through captured ring then Esc	All editor tabs and body/action focus paths; active/inactive/dirty styling and final-row hints	tabs,focus,forms	screens/editor.rs:48,1615
JA-017	returning	80x24,120x40	K(Down,e); focus(editor.name); K(Enter); type(x); K(Left,Home,End,Backspace,Delete,Esc); focus each General checkbox/select/browser and activate once	Name editing/cursor/cancel, uniqueness; keep-awake/git-pull/dirty policy/workdir changes; global letters do not navigate during editing	text input,checkbox,select,browser	screens/editor.rs:130,1540;app.rs:579
JA-018	returning	80x24,120x40	replay(editor_edits_count_once_preview_then_saves_and_returns)	Readonly+isolation edits count once; leave confirmation cancels; save preview/saving/completion persist exact mount and restore manager	config,dialog,async ownership	app_tests.rs:497
JA-019	returning	80x24,120x40	K(Down,e,2,Enter); variant K(a),K(e),K(r),K(i),K(1),K(2),K(3),K(o),K(d,u); fixture running_isolated=true then K(i); dismiss nested form	Mount add/edit/delete/undo, all isolation states, refusal while running, GitHub status, removed row restoration	config table,form,dialog,select	screens/config.rs:1201-1414
JA-020	returning	80x24,120x40	K(Down,e,3,Enter); K(Space,Enter); K(/); type(architect); K(Enter); K(a); select(role fixture); Enter; Esc	Role enabled/default, search no-match/match, load picker, account eligibility and dirty-count semantics	list,picker,checkbox	screens/editor.rs:1192
JA-021	returning	80x24,100x30,120x40,160x50	replay(editor_env_plain_value_stays_masked_and_can_be_shown)	Plain env masked initially, m reveal/remask, new key form, cursor and tail-only display, exact dirty state	secret field,form,config table	app_tests.rs:538
JA-022	returning	80x24,120x40	K(Down,e,4,Enter); variant K(e),K(p),K(s),K(d,Esc),K(d,Right,Enter,u); add invalid key and duplicate key then submit; fold role section Left/Right/Space	Reference picker, scope move, delete confirmation/undo, invalid/duplicate errors, removed row and role folding	config,op picker,dialog	screens/config.rs:1201,1737,2159
JA-023	returning	80x24,100x30,120x40,160x50	replay(editor_accounts_tab_switches_inherited_defaults_off_and_extra_accounts_on); K(/); type(no-such-account); Esc	Inherited defaults, local enables/disables, preferred account, counts, no-match filter; retained identity after sorting	grouped list,checkbox,filter	app_tests.rs:1028;screens/editor.rs:1079
JA-024	hard-cases	80x24,100x30,120x40,160x50	replay(environments_stay_readable_with_a_hundred_roles); checkpoint(Roles-end-load-row); K(Esc,4,Enter); checkpoint(Environments-reentered); K(End,PageUp,Home); wheel(config,100); wheel(config,-100)	More-than-100-role summary/override picker remains readable; top/middle/bottom boundaries and fades; real CLI hard-cases world	config,virtual collection,scrollbar	app_tests.rs:1137
JA-025	returning	80x24,120x40	K(Down,e); change General field; K(Esc); variant choose Stay,Discard,Save; save fail-once fixture then retry	Unsaved leave branches preserve/discard/persist pending state exactly; failed save keeps edits and prevents duplicate job	dialog,form,async ownership	screens/editor.rs:open_preview,start_save,finish_save,on_esc_top
JA-026	returning	80x24,100x30,120x40,160x50	K(s); K(1,2,3,4,5,],[); variant click(each settings tab); Enter,Tab,BackTab,Esc	Five settings tabs, General coauthor/DCO toggles, focus ring and hints	tabs,checkbox,focus	screens/settings.rs:40,826
JA-027	returning	80x24,120x40	K(s,2,Enter); edit mount scope with s; add/edit/delete/undo mount; K(Esc,3,Enter); add/edit/scope/delete/undo env; Ctrl-S then cancel	Global mount/env semantics and scope picker differ correctly from workspace scope; preview lists exact changes	shared config,form,dialog	screens/settings.rs:59;screens/config.rs:130-148,1527
JA-028	returning	80x24,120x40	K(s,4,Enter); K(Space,d,c); return Settings; K(5,Enter,Space,o); Ctrl-S then cancel	Agent auth mode/default, Accounts handoff, trust toggle and source open, unsupported choices/labels	list,select,checkbox,status	screens/settings.rs:705-778
JA-029	hard-cases	80x24,120x40	replay(settings_trust_toggle_and_failed_save_keep_edits)	First save failure keeps pending edits; second succeeds; correct global state and manager return	dialog,async status	app_tests.rs:581
JA-030	accounts-mixed	80x24,100x30,120x40,160x50	K(Home,Down,Down,Tab,Esc,*, -,End,Home); K(/); type(Work); Esc; type filter with no matches; Esc	Overview/provider/account/Add rows, health, quota, freshness, default/disabled state, search and focus	tree,meters,split detail,filter	screens/accounts.rs:61,1946
JA-031	accounts-mixed	80x24,100x30,120x40,160x50	click(account Work); move(account action); down(account action); up(same); reset; down(action); up(outside); drag(accounts seam,4 cells); wheel(tree,100); wheel(inspector,100); wheel(inspector,-100)	Hover/down/up/flash, no outside-release activation, splitter geometry, independent wheel boundaries and fades	hit registry,splitter,scrollbar,buttons	screens/accounts.rs:on_click,on_drag,on_wheel;app.rs:1535
JA-032	accounts-mixed	80x24,120x40	replay(accounts_register_with_a_1password_reference_and_never_render_the_secret)	Four picker steps, duplicate ref rejected, Codex throttled save/refresh, secrets absent from every frame and debug metadata	form,op,picker,secret,async	app_tests.rs:273
JA-033	accounts-mixed	80x24,100x30,120x40,160x50	replay(accounts_plain_key_is_masked_everywhere_and_remove_asks_first)	Typing masks secret; approved tail only; save source fingerprint does not embed key; removal cancellation retains account	secret input,form,dialog	app_tests.rs:359
JA-034	first-use	80x24,120x40	replay(complete_jackin_flow_keyboard_first) through account registration step 10; separately capture every form source/provider change	Claude Personal/Work local folders, Codex/Grok refs with endpoint, OpenCode plain key; exactly five saved accounts	form,browser,select,op	app_tests.rs:646-786
JA-035	accounts-mixed	80x24,120x40	select(account Work); variant K(e),K(d),K(Space),K(v),K(r),K(m),K(x,Esc),K(x,Right,Enter),K(F5); T(60)	Edit, enable/disable, default, validation lifecycle, refresh, masked display, removal; exact registry/default/effect changes	form,dialog,tree,async	screens/accounts.rs:1975-2111
JA-036	hard-cases	80x24,100x30,120x40,160x50	replay(hard_cases_refresh_keeps_last_good_and_help_opens_everywhere); variant select each fixture account then refresh T(60)	Broker unreachable, missing/invalid source, stale/failed/unsupported/exhausted/throttled quota remain honest; no fabricated successful result	meters,status,help	app_tests.rs:618;domain/fixtures.rs;sim/provider.rs
JA-037	accounts-mixed with op error variants	80x24,120x40	open account op picker; variant Locked,AuthorizationRequired,PermissionDenied; T(4); choose retry after deterministic unlock; repeat each step Esc backward and cancel	Loading/error/retry messages, account/vault/item/field focus, concealed-only fields, no secret leaks; parent form values retained	async picker,overlay,focus,secret policy	screens/modals.rs:1555,1663,1803;sim/onepassword.rs
JA-038	accounts-mixed	80x24,120x40	open op item picker; type(Anthropic); T(4); K(Down,PageDown,PageUp,Home,End); type(no-match); T(4); Esc; wheel(picker,100); resize 80x24 then 120x40	Query debounce, empty results, stable selection, wheel without changed selection, loading capture and clipped long results	picker,text input,scroll	screens/modals.rs:1889;app.rs:1283
JA-039	returning	80x24,100x30,120x40,160x50	replay(usage_overlay_is_read_only_and_hands_off_to_accounts); reset K(u,Down,Enter,PageDown,PageUp,r); T(60); click(account); wheel(list,3); wheel(detail,100)	Usage read-only overview/provider/account, meters/timestamps, refresh and selected-account handoff; correct scroll target	meters,list-detail,viewport	app_tests.rs:400;screens/usage.rs:752
JA-040	launch-running	80x24,100x30,120x40,160x50	fresh(launch-running,Full,0); T(1) repeated through deterministic launch completion; checkpoint each of eleven Stage changes and cached/skipped state; T(12) handoff	All stage frontier/status/activity/account lines, build progress, handoff phase and Capsule arrival	steps,progress,spinner,scheduler	sim/launch.rs:10,241;screens/cockpit.rs;app_tests.rs:179
JA-041	launch-running	80x24,120x40	fresh(launch-running,Full,0); T(40); K(b,PageUp,Home,PageDown,End,Esc); click(build log); wheel(log,100); wheel(log,-100); K(i,Esc,c,Esc)	Build log overlay full scroll range, at-tail behavior, info/credential views; modal input never launches/cancels underneath	log viewport,info,scrollbar,overlay	screens/cockpit.rs:575;app_tests.rs:646
JA-042	launch-failure	80x24,100x30,120x40,160x50	replay(launch_failure_returns_to_the_construct_when_another_instance_runs); separate variant no other instance remains	Network failure details and acknowledge; nonfinal manager status vs final lifecycle; no successful launch effect	error dialog,steps,arbiter	app_tests.rs:203;sim/launch.rs:79
JA-043	launch-running with CredentialsLocked,BlockedSidecar	80x24,120x40	fixture LaunchPlan=CredentialsLocked; advance to block; resolve unlock/retry; advance completion; reset LaunchPlan=BlockedSidecar; advance block; K(Enter); reset K(Esc)	Recoverable credentials/error frontier; retry clears hold; modeled-only blocked sidecar status and dismissal	steps,picker,dialog	sim/launch.rs:79,413;screens/cockpit.rs:641
JA-044	launch-running	80x24,120x40	variant K(Ctrl-C),K(Ctrl-Q,Esc),K(Ctrl-Q,Right,Enter),K(d); advance deterministic ticks	Cancel/detach/quit confirmation; state/effects and entry ownership match oracle; build stops or persists exactly	dialog,async ownership,arbiter	screens/cockpit.rs:575
JA-045	returning	80x24,120x40	replay(cockpit_resolves_every_effective_account_for_the_container)	All effective accounts resolved, preferred launches, runtime auth sources and per-account failures; no secret rendering	credentials,steps,status	app_tests.rs:1201
JA-046	capsule-multi	80x24,100x30,120x40,160x50	fresh(capsule-multi,Paused,0); K(Ctrl-B,n,Ctrl-B,p); variant Ctrl-B then digits 1,2,0,9; click(each tab)	Active/inactive tabs and panes, labels/account suffix/state, out-of-range tab feedback, viewport geometry	tabs,split panes,status	screens/capsule.rs:1258,1433
JA-047	capsule-multi	80x24,120x40	K(Ctrl-B); capture prefix; T(prefix timeout ticks); K(Ctrl-B,Esc); K(Ctrl-B,Ctrl-B); K(Ctrl-B,Ctrl-L); K(Ctrl-B,unknown-char); K(Ctrl-B,r)	Prefix state/timeout/cancel, literal prefix oracle behavior, clear, invalid command status and redraw flash	runtime,keymap,hints,viewport	screens/capsule.rs:1258;on_tick
JA-048	capsule-multi	80x24,100x30,120x40,160x50	variant K(Ctrl-B,c),K(Ctrl-B,%),K(Ctrl-B,double-quote); choose agent and account; cancel each picker on separate reset; select shell variant	New tab and horizontal/vertical split; correct account restrictions; cancellation no spawn; topology retained	picker,split panes,tabs	screens/capsule.rs:509,567,650
JA-049	capsule-multi	80x24,100x30,120x40,160x50	K(Ctrl-B,h,Ctrl-B,j,Ctrl-B,k,Ctrl-B,l); K(Alt-Shift-Left,Alt-Shift-Right,Alt-Shift-Up,Alt-Shift-Down); K(Ctrl-B,z,Ctrl-B,z); drag(each seam,4 cells)	Directional nearest focus, split resize minimums, zoom/unzoom restores proportions, exact inactive borders	splitter,split panes,focus	screens/capsule.rs:749,768,828,2116
JA-050	capsule-multi	80x24,100x30,120x40,160x50	T(60); type(hello); K(Backspace); paste(world); K(Enter); T(60); variant focus shell/each agent and repeat	Live input, echo, cursor, deterministic replies/transcript, line wrapping and viewport follow-tail	terminal viewport,text input,runtime paste	screens/capsule.rs:1340,2180;sim/pty.rs:1125
JA-051	capsule-multi	80x24,100x30,120x40,160x50	T(60); K(PageUp,PageUp,Home); wheel(active pane,-100); wheel(inactive pane,3); K(PageDown,End); drag(transcript Refactor first cell,8 cells right); double-click(word Refactor); K(y,End)	Scrollback boundaries, active wheel target, select/word copy exact World.clipboard, return-live and cursor mode	terminal viewport,selection,clipboard	app_tests.rs:646; screens/capsule.rs:2038-2180
JA-052	capsule-multi	80x24,100x30,120x40,160x50	replay(tab_context_menu_renames_and_closes_by_mouse_and_keyboard); separate Ctrl-B comma rename with text editing; Ctrl-B m context; secondary-click tab	Context menu placement, target tab identity, rename cursor, close confirmation; focus restored	tabs,context menu,prompt	app_tests_chrome.rs:74;screens/capsule.rs:303,326
JA-053	capsule-multi	80x24,100x30,120x40,160x50	replay(menu_bar_opens_switches_and_runs_an_action); F10; Left/Right across all menus; Down/Up/Home/End; Esc; click each menu; hover adjacent title; click Brand/About	Menu open/switch/dismiss/action/disabled states and hitboxes, terminal keys captured while menus open	menubar,menu,dialog	app_tests_chrome.rs:43;screens/capsule.rs:228,368
JA-054	capsule-multi	80x24,120x40	replay(command_palette_scrolls_with_the_wheel_and_keeps_the_selection); Ctrl-Backslash; type(no match); Backspace; type(rename); Enter; Esc; separate Ctrl-B Space and Ctrl-B colon	Palette open/query/no-match/wheel/selection/action/cancel; same keyboard semantics at narrow size	picker,command palette,focus	app_tests_chrome.rs:161;screens/capsule.rs:843,922
JA-055	capsule-multi	80x24,100x30,120x40,160x50	K(Ctrl-B,u); K(Down,PageDown,PageUp); wheel(usage modal,100); Esc; click(usage chip); Esc; click(container chip); K(y); Esc; menu GitHub and About	Usage read-only, all account meters, info copy, chip hitboxes, modal scroll and focus restore	meters,info dialog,scrollbar,status chips	screens/capsule.rs:1130,1161,1209,2555
JA-056	capsule-multi	80x24,120x40	variant K(Ctrl-B,x),K(Ctrl-B,&); cancel then confirm on fresh world; close last pane/tab in one-instance fixture	Pane vs tab confirmation and content; topology shrinks coherently; final pane triggers correct lifecycle	dialog,split panes,tabs,arbiter	screens/capsule.rs:1050,1258;sim/pty.rs:1525
JA-057	capsule-multi with attached_by other client	80x24,120x40	fresh takeover fixture; type(ignored); K(Enter); reset; K(Esc)	Takeover capture, input suppression, Enter displaces other client, Esc detaches without takeover	overlay,focus,runtime	screens/capsule.rs:1872
JA-058	capsule-multi	80x24,120x40	replay(detach_reconnect_and_final_exit_plays_one_outro); replay(still_inside_feedback_when_other_instances_remain)	Detach retains daemon tabs/panes; reconnect selection; nonfinal exit stays manager; final exit gets exactly one outro	arbiter,manager,panes,dialog	app_tests.rs:219,251
JA-059	outro-last	80x24,100x30,120x40,160x50	K(Ctrl-Q); variant inspect changes then back,export then cancel,export simulated path then exit,keep instance,discard/purge confirmation; each fresh dirty policy fixture	Dirty exit branch, export result/status, cancellation, retained/deleted in-memory state, elapsed outro; no actual export	dialog,browser,inspect,arbiter	screens/capsule.rs:1019,1080,2204
JA-060	capsule-multi	80x24,100x30,120x40,160x50	replay(inspect_changes_opens_from_the_view_menu_in_both_modes); checkpoint(Capsule-after-source-replay); K(F10,Right,Right,End,Enter); checkpoint(Inspect-compact-reopened); compact K(Down,Enter,PageDown,PageUp,Esc); K(m); advanced Tab,Down,Tab; F2; d; Esc; separate fresh capsule-multi at each listed size for each compact-open and advanced-Diff variant: K(F10,Right,Right,End,Enter,Enter); advanced only K(m,Tab); K(Home,Ctrl+Shift+Home); checkpoint(selected_diff_copy); K(y); checkpoint(copy_event_discarded)	Compact list/drill-in and advanced tree/diff, selected file persists, diff display toggle, narrow stacked layout; nonempty selected Diff copy event is discarded in compact-open and advanced Diff routes: World.clipboard and clipboard_gen unchanged, selected text and modal remain; no preview/system clipboard delivery	tree,file diff,split,overlay	app_tests_chrome.rs:133;screens/inspect.rs:625;inline tests:881,922,1001;screens/inspect.rs:240-251,301-345;src/widgets/diff.rs:286;src/widgets/viewport.rs:1316-1389
JA-061	capsule-multi	80x24,100x30,120x40,160x50	open Inspect Advanced; click(file); wheel(tree,100); wheel(diff,100); wheel(diff,-100); drag(diff scrollbar bottom,top); resize 80x24 then 160x50 then original	Diff/table region scroll routing and bounds, file selection, scrollbar capture, resize preserves semantic state	tree,diff viewport,scrollbar	screens/inspect.rs:643,714,718
JA-062	outro-last	80x24,100x30,120x40,160x50	end last instance using JA-058; Full checkpoints at outro 0,OUT_WARP-1,OUT_WARP,OUT_WARP+OUT_CAPTION-1,end-1; variant elapsed present/absent; K(Enter) at each phase on reset	Warp/caption phase cells, elapsed grammar, skip behavior, final quit and terminal restoration	brand,scheduler,arbiter,runtime	rain.rs:643-850;arbiter.rs:119
JA-063	returning,accounts-mixed	80x24,100x30,120x40,160x50	for each host route Manager/Accounts/Usage/Settings/Editor/Prelude open reachable help; K(PageDown,PageUp,Down,Up,Esc); F10; switch menus; click strip links	Route-specific help/commands, host menu actions, focus restoration; hints remain last row across all layers	help,menubar,hintbar,overlay	app.rs:699,882;app_tests_chrome.rs:110
JA-064	accounts-mixed	80x24,100x30,120x40,160x50	K(a); focus(op chooser); Enter; T(4); open next picker; wheel(outside modal,3); K(Tab,BackTab); click(outside); Esc; reopen; nested choice select then Esc	Topmost overlay captures wheel/key/pointer; layer-specific outside cancellation; parent form values/focus preserved; no background activation	overlay stack,focus,form,picker	app.rs:1229,1255,1333,1756
JA-065	returning,capsule-multi,accounts-mixed	80x24,100x30,120x40,160x50	move(action); down(action); checkpoint; up(action); checkpoint; T(at 139ms); T(at 140ms); reset down(action),drag(outside),up(outside); type navigation key; move(action)	Hover/press/flash boundaries and keyboard hover suppression; no accidental activation from outside release	interaction,style state,runtime clock	app.rs:340,1535
JA-066	returning,capsule-multi,accounts-mixed	80x24,100x30,120x40,160x50	navigate to scrolled/focused state; resize 71x19; send Down/Enter; resize 72x20; resize 80x24; resize 160x50; resize original; separate too-small q and Ctrl-C	Minimum guard blocks normal actions; exact TooSmall cells; recover state/focus/scroll/layout/cursor; quit still works	too small,runtime,layout	app.rs:41,505,2251;app_tests.rs:264
JA-067	all eight CLI worlds	80x24,100x30,120x40,160x50	for each color truecolor,256,16,none and NO_COLOR without explicit color: fresh(world,Paused,0); rerun JA-016,JA-030,JA-046 representative interactions	Color conversion, mono modifiers, selected/focused/disabled differentiation; exact glyphs and cursor	theme,style resolver,all reused components	main.rs:34;shots/audit/jackin-*
JA-068	CLI	80x24,120x40	spawn --help; variant invalid --color,--scenario,--motion,--frame; variant JACKIN_NO_MOTION=1 with explicit --motion full,reduced,paused; run paused --frame 45; terminate normal q/Ctrl-C paths	Exact CLI help/errors/exit 2, argument precedence, frame selection, alternate screen and terminal mode restoration	CLI,runtime	main.rs:34-108;scenario.rs:82
JA-069	first-use	120x40	replay(complete_jackin_flow_keyboard_first) with every action checkpoint and frozen oracle tick counts	Connected 40-step registration/workspace/configuration/launch/session/selection/detach/reconnect/multiple-instance/final-exit journey; exactly retained domain effects	all Jackin component families	app_tests.rs:646-1026
JA-070	arbiter fixtures	80x24,120x40	variant foreign entry claim,unknown discovery,missing entry time; construct oracle state then request entry/exit; compare production rendered route/status/caption	No duplicate intro/outro, discovery fails closed, missing time omits elapsed; unchanged simulated running-instance count	arbiter,status,brand	arbiter.rs:149-204;app.rs:201
