path	disposition	owner_tasks	notes
tools/qualified-capture/proof/full-4.log	preserve_archival_receipt	TASK-070	captured run log
tools/qualified-capture/proof/full-5.log	preserve_archival_receipt	TASK-070	captured run log
tools/qualified-capture/proof/independent-review/verified.json	preserve_archival_receipt	TASK-070	self-reported verification JSON
tools/qualified-capture/proof/matrix-status.json	preserve_archival_receipt	TASK-070	matrix status snapshot; live matrix not authorized during planning
tools/qualified-capture/proof/migration-review.md	preserve_archival_receipt	TASK-070	historical migration review prose
tools/qualified-capture/proof/migration-reviewed-hashes.json	preserve_archival_receipt	TASK-070	review hash snapshot
tools/qualified-capture/proof/recorded-environment.json	preserve_archival_receipt	TASK-070;TASK-072	recorded environment; actual-compiler host boundary supersedes
tools/qualified-capture/proof/resolved-tools.json	preserve_archival_receipt	TASK-070;TASK-072	resolved tool snapshot
tools/qualified-capture/proof/source-artifacts.json	preserve_archival_receipt	TASK-070	source artifact index; separate from source-artifact reconciliation
tools/qualified-capture/proof/test-identities.json	preserve_archival_receipt	TASK-007;TASK-070	duplicate identity snapshot; TASK-007 authoritative
tools/qualified-capture/repairs/tuisnap-code.patch	preserve_archival_receipt	TASK-070	reviewed repair patch bytes; not reapplied during planning
tools/qualified-capture/repairs/tuisnap.bundle	preserve_archival_receipt	TASK-070	reviewed repair bundle bytes
xtask/doc_check_allow.txt	delegate_historian_complete	TASK-065;TASK-068	xtask historian partition 18/18; allowlist disposition in reaudit-branch-xtask.md
xtask/fixtures/backend-free-core/Cargo.lock	delegate_historian_complete	TASK-065;TASK-068	xtask fixture lock; historian partition complete
xtask/fixtures/backend-free-core/Cargo.toml	delegate_historian_complete	TASK-065;TASK-068	xtask fixture manifest
xtask/fixtures/backend-free-core/src/main.rs	delegate_historian_complete	TASK-065;TASK-068	xtask fixture source
xtask/fixtures/backend-free-testing/Cargo.lock	delegate_historian_complete	TASK-065;TASK-068	xtask fixture lock
xtask/fixtures/backend-free-testing/Cargo.toml	delegate_historian_complete	TASK-065;TASK-068	xtask fixture manifest
xtask/fixtures/backend-free-testing/src/main.rs	delegate_historian_complete	TASK-065;TASK-068	xtask fixture source
xtask/named_tests_allow.txt	delegate_historian_complete	TASK-065;TASK-068	xtask named-test allowlist
xtask/src/app_inventory.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-007	xtask app inventory generator; historian partition complete
xtask/src/backend_free.rs	delegate_historian_complete	TASK-065;TASK-068	xtask backend-free checks
xtask/src/capture_build.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-070	xtask capture build wiring
xtask/src/capture_confinement.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-070	xtask capture confinement checks
xtask/src/capture_contract.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-070	xtask capture contract checks
xtask/src/capture_wiring.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-070	xtask capture wiring checks
xtask/src/historical_additions.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-069	xtask historical additions helper
xtask/src/main.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-007	xtask main driver; historian partition complete
xtask/src/parity.rs	delegate_historian_complete	TASK-065;TASK-068;TASK-069	xtask parity helper
