path	status	holla_blob	main_blob	holla_lines	main_lines	read_ranges	disposition	task_owners	semantic_disposition
crates/tui/src/components/field.rs	A	0000000000000000000000000000000000000000	f1d9e956aa1d1001386b69fb651adf26df73a245	0	346	1-346	continue	016;019	Keep shared field chrome and child ownership, three-row geometry and safe errors; visible part/slot proofs distinguish covered FIELD resolution-only exception.
crates/tui/src/components/form.rs	A	0000000000000000000000000000000000000000	c2be63fbaa7ac217cd1e800b2ced78021615214c	0	3302	1-3302	restore	019	ADJ-12 all-visible validation plus ADJ-10 private choice bridge; preserve keyed slots, declaration-order layout, dynamic visibility/disabled/sensitivity, hidden draft retention, single borrow and one outward action.
crates/tui/src/components/help.rs	A	0000000000000000000000000000000000000000	bb6819d095b81f11eec79ca1e5990d45b788f749	0	669	1-669	continue	030	Keep effective live metadata resolution and borrowed Help composition; preserve filtering/layout without application-local binding inventory.
crates/tui/src/components/hintbar.rs	A	0000000000000000000000000000000000000000	ce94525408fe151b7ac48c4642c827de1ed3e7fc	0	735	1-735	restore	028	Preserve active-first hint priority and exact status/key/mode geometry; keep runtime metadata-derived composition; source Warning reachability must be independently accounted by owner028.
crates/tui/src/components/input.rs	A	0000000000000000000000000000000000000000	c92455fca677d5281991bbf9e4f7d1f1736a62b6	0	2253	1-2253	restore	016	ADJ-09 shared no-Cx paste API, enabled idle paste begins edit, first inert frame viewport correct; preserve invalid commit/error behavior and sealed secret target, no plaintext Debug/Clone.
crates/tui/src/components/keyhint.rs	A	0000000000000000000000000000000000000000	406c1ad0b78cc79b562190c5fdbc77488ff1e6de	0	447	1-447	continue	028	Keep bounded typed chord formatter, exact whole-fragment fit, KEY/ACTION parts and no focus stop; source modifier spelling and clipping parity remain mandatory.
crates/tui/src/components/meter.rs	A	0000000000000000000000000000000000000000	11b4b7416e8c83129497bd0964f50d3bf15930c8	0	749	1-749	continue	029	Keep deterministic source tone thresholds, shared style parts and exact filled/rest track/background geometry; no wall-clock reads in paint.
crates/tui/src/components/mod.rs	A	0000000000000000000000000000000000000000	16bc505c060d1c6df912f8719f326e0f2dcc852d	0	346	1-346	continue	031;068	Preserve coherent public family/action/state exports and complete public component/Overrides census; no parallel legacy API.
crates/tui/src/components/panel.rs	A	0000000000000000000000000000000000000000	d93807f1dc230a135b95c3fc96d651ae03820cb1	0	930	1-930	continue	027	Keep borrowed typed Panel/card/frame, title/meta/badge geometry, parent-surface rules and clipped body exactly once; no duplicate container focus.
crates/tui/src/components/progress.rs	A	0000000000000000000000000000000000000000	0f7d86936b117960174b272d9067a06fcf767e40	0	830	1-830	restore	029	Preserve source progress/spinner/Meter labels, minimum track and suffix/drop thresholds through shared deterministic components; measure exact first-frame thresholds, not approximate visual similarity.
crates/tui/src/components/scroll_region.rs	A	0000000000000000000000000000000000000000	ebc26501da2f7c580247b1a8468d297d7eebf745	0	601	1-601	continue	014	Keep same-owner scrollbar parts, full-track mapping, capture grab offset and boundary wheel consumption; source fade/protected-row restoration is owned014.
crates/tui/src/components/select.rs	A	0000000000000000000000000000000000000000	d76dd33e8f43474829ebe30087b8117a5c7a3294	0	1626	1-1626	open-adjudication	018;019	BA-SELECT: preserve accepted generic closed cursor and nontrapping Tab focus-out, but restore source-app closed arrow commits/open-key handling only by explicit shared policy; actual callers listed in report.
crates/tui/src/components/split.rs	A	0000000000000000000000000000000000000000	c0b8bde2c96424f7fe275d0c0804d74c994c077b	0	1086	1-1086	continue	008;012	Keep caller SplitModel, logical unclipped seam geometry/current layout facts, minima/collapse/maximize and pure draw; preserve source seam glyphs/hover/pressed/caller background through exact012 witnesses.
crates/tui/src/components/textarea.rs	A	0000000000000000000000000000000000000000	7f45d77d7b5342b48a0d376eede6c8755cafdb05	0	1905	1-1905	restore	016	Preserve source idle paste ignore, Escape commit and manual scroll-until-edit/move/resize; retain sealed secret target and shared core; covered FIELD selected resolution may leave digest unchanged.
crates/tui/src/components/too_small.rs	A	0000000000000000000000000000000000000000	22d9560fe833b09be539194417d10dbcb0051470	0	784	1-784	continue	027	Keep one shared minimum-size gate, exact four-line notice geometry, inert subtree and recovery; tiny architecture containment has no invented oracle baseline.
crates/tui/src/components/wizard.rs	A	0000000000000000000000000000000000000000	1052ab43520165a72f99353239115544a0f2d100	0	531	1-531	continue	030	Keep caller-owned keyed slots/history and typed effects; exact predecessor/forward/rewind/disabled/missing-step transition proof, no cloned form model.
src/widgets/brand.rs	D	709dfe6233f5cc16042c5f70432ede57ffd09024	0000000000000000000000000000000000000000	132	0	1-132	continue	027	Keep borrowed static/click-only Brand, padding/compact forms, META tagline, part/slot output and no Tab stop for click-only branch; restore exact oracle cells.
src/widgets/button.rs	D	d2c52e75084ff783a9b3bf5d95f736870f480051	0000000000000000000000000000000000000000	187	0	1-187	continue	027	Keep typed action, completed-click/keyboard equivalence, disabled/busy/readiness guards, independent readiness toggles and autofocus latch; restore exact source geometry.
src/widgets/chips.rs	D	36cb21bf1be548c39544cef2916669a0a4f55b30	0000000000000000000000000000000000000000	248	0	1-248	restore	020	Preserve old lead/check/remove/add/clear commands and whole-chip fit geometry through ADJ-11 shared ChipBar; reject cloned owned old widget/render-state mutation.
src/widgets/choice.rs	D	9405acf87c152c0766ae9bbcd71c01c9d5db4e80	0000000000000000000000000000000000000000	358	0	1-358	restore	018;019	ADJ-10: retain controlled value/cursor separation; typed Navigated and configured Form bridge preserve source arrow commits; exact mono reserved marker/label geometry.
src/widgets/dialog.rs	D	229fc76e481f39e5bc51a784761d5cf41b70056d	0000000000000000000000000000000000000000	596	0	1-596	continue	023	Keep shared typed layered Dialog/Confirm/Ack/Prompt composition and sealed secret draft; preserve first-enabled action, input prompt, body-once clipping, ack exact match and lifecycle zeroization.
src/widgets/field_common.rs	D	bd41cdd85e9c2605c356f7468dc0de3e3c50e54b	0000000000000000000000000000000000000000	111	0	1-111	restore	013;016	Preserve source editing key grammar, grapheme navigation/selection and mono field geometry through shared core; reject per-widget duplicate editing/ANSI engine.
src/widgets/hintbar.rs	D	4c5dbca8f9e82fd1d3cebb0df58f6e79acec9070	0000000000000000000000000000000000000000	114	0	1-114	restore	028	Preserve active-first hint priority and exact status/key/mode geometry; keep runtime metadata-derived composition; source Warning reachability must be independently accounted by owner028.
src/widgets/input.rs	D	f440b74c7d305e987ec31bf04d34afd993844bb0	0000000000000000000000000000000000000000	616	0	1-616	restore	016	ADJ-09 shared no-Cx paste API, enabled idle paste begins edit, first inert frame viewport correct; preserve invalid commit/error behavior and sealed secret target, no plaintext Debug/Clone.
src/widgets/keyhint.rs	D	a43d2152e7c4cf927cd9ad16473425dd42efa6d9	0000000000000000000000000000000000000000	246	0	1-246	continue	028	Keep bounded typed chord formatter, exact whole-fragment fit, KEY/ACTION parts and no focus stop; source modifier spelling and clipping parity remain mandatory.
src/widgets/mod.rs	D	6bed61448639174ca60a983ffe85dc80960d7d2c	0000000000000000000000000000000000000000	35	0	1-35	reject-structure-preserve-ux	031;065;068	Retire owned legacy widget exports only after shared family/app parity receipts; preserve all source behavior via current owners.
src/widgets/panel.rs	D	14a9edef27f16e463a635f314fa37d5825f57fd9	0000000000000000000000000000000000000000	583	0	1-583	continue	027	Keep borrowed typed Panel/card/frame, title/meta/badge geometry, parent-surface rules and clipped body exactly once; no duplicate container focus.
src/widgets/progress.rs	D	3efc6b4f9d9eb84eec34da27e65f8c98bef3db6c	0000000000000000000000000000000000000000	498	0	1-498	restore	029	Preserve source progress/spinner/Meter labels, minimum track and suffix/drop thresholds through shared deterministic components; measure exact first-frame thresholds, not approximate visual similarity.
src/widgets/scrollbar.rs	D	fa0132637370da4afe2e40a07fb558c135e188df	0000000000000000000000000000000000000000	81	0	1-81	restore	014	Preserve full-track thumb geometry and inverse mapping; reject old independently owned widget state and migrate into shared ScrollRegion owner.
src/widgets/select.rs	D	3b6f43f8f642ccce512ac53754d114dc978bd149	0000000000000000000000000000000000000000	249	0	1-249	open-adjudication	018;019	BA-SELECT: preserve accepted generic closed cursor and nontrapping Tab focus-out, but restore source-app closed arrow commits/open-key handling only by explicit shared policy; actual callers listed in report.
src/widgets/textarea.rs	D	5bfa5148a8b335c28ed52a5af305fa9df39917e5	0000000000000000000000000000000000000000	576	0	1-576	restore	016	Preserve source idle paste ignore, Escape commit and manual scroll-until-edit/move/resize; retain sealed secret target and shared core; covered FIELD selected resolution may leave digest unchanged.
