id	source_revision_section	obligation	authority_status	supersession_or_correction	required_acceptance_evidence
EARLY-012	95ab6529 §21 item4	Response keeps typed action separate from consumed/changed/repaint; only unit-action Response supports bitwise merge.	accepted	Reject dropped actions from generic bitwise combination.	Compile-fail action Response merge; boundary-wheel consumed/changed distinction; typed action trace.
EARLY-013	95ab6529 §21 item7;27bd918e §23	Field owns chrome/height only, remains idless; child FieldControl owns its configured ID and input/ring registration.	accepted	Supersedes original Field own-focus proposal.	Composed Field exactly one ring entry/control ID; field chrome inheritance and child update tests.
EARLY-014	27bd918e §23 K1 and§15.1 F1–F13	Form owns ordered composition, visibility, scrolling, validation/action ordering and error reveal, not domain values or layers.	accepted	Closed field kinds with richer Chooser escape; own Form layer rejected.	All F1–F13 tests; hidden preserves drafts/no geometry; pure height; simultaneous actions choose declaration-first.
EARLY-015	27bd918e §23 K1;87ab93d4 §24 M3	Controlled FormData channels borrow values/options per phase; value_and_options solves same-owner mutable value/shared options; no cloned values result bundle.	accepted	No generic FormData property closure capturing mutable draft; no secret return vector.	Compile borrowing examples; no secret Clone/Eq/Serialize; ID/action-only submit results.
EARLY-016	27bd918e §15.1 F9–F12	Submit commits visible controls and validates locally then cross-field, focuses/reveals first error; Enter only when nested/editor input permits; dirty means committed change.	accepted	No validation/commit from draw; Cancel policy does not turn blur into Escape.	Draft/committed distinction; failed submit; nested open Select; visible field order; external errors survive redraw.
EARLY-017	87ab93d4 §24;70dacec1 §29.7;ecc13378 STATE839–843 and§67	Item-bearing choices use direct per-phase paths; Form drives choices through private bridges; inherited-disabled OR configured-disabled; public standalone API unchanged.	decided_with_future_trait_widening_open	Stale architecture open wording does not mandate widening scalar FieldControl; STATE explicitly decides direct path.	Borrowed keyed standalone choice and configured Form examples; dynamic inherited/configured disable; single value_and_options borrow; no unauthorized newtrait.
EARLY-018	27bd918e §23 K2	GridModel-only path supports navigation/read-only reason/cell actions; mutation is reachable only through update_editable with GridEditor.	accepted	Remove editable bool and separate GridCellActions trait; do not make base model mutable.	Compile-fail readonly mutation; successful and rejected edit commit; readonly affordance click emits action.
EARLY-019	2e453023 §12.3; e8d053c9 AppendixA Slice6;27bd918e §23	Keep all22 DOM grid capabilities through library+TablePro adapter; SQL values, pending changes, undo, validation and preview belong to adapter.	accepted	Generic extraction is not capability deletion.	22-row original DOM mapping joined to current code and behavior tests.
EARLY-020	2e453023 §12.4; e8d053c9 §20.9	List/grid borrow data; tree projection is incremental/keyed; TextViewport caches source ranges/widths rather than owned grapheme strings.	accepted	Original TextViewport keep means behavior retained, storage rewritten.	100k items/nodes/lines with bounded visible-window allocations and identity-preserving edits.
EARLY-021	e8d053c9 §20.9 items9–11	CodeEditor cache uses edit counter and sorted-span cursor; Capsule never clones viewport per frame; grid load performs one owned conversion.	accepted	No hashing whole editor or copying ResultSet merely to draw.	2k-line editor <40 frame allocations; four-pane Capsule <200; grid500×12 load <8000; source-call evidence.
EARLY-022	e8d053c9 §20.9 items13,15,16	Select-all uses AllExcept; manager rows rebuild on world generation only; inert-below omits background registrations.	accepted	No full materialized100k key set or per-key manager rebuild.	Select-all <100 allocations; manager key0/frame<60; modal hits <25percent of base workload.
EARLY-023	e8d053c9 §20.9;587c53bd §25;4aabceb7 §27	Text paint is single direct grapheme walk, no fit String/Vec path; inline Cell symbols allocate0; long ZWJ allocation bound depends on visible columns, not document length.	accepted	Reject magic<=8; retain honest CompactString allocation caveat.	ASCII/CJK/combining zero; long ZWJ clip bound<=visible columns; exact legacy fit padding/ellipsis differential.
EARLY-024	587c53bd §25;4aabceb7 §27 O4	Intent probes500 minus probes20 equals480 for one intent, empty0; normalized percomponent time ratio<=1.25; style budget<=16ns/query on named synthetic workload.	accepted_historical_perf_contract	Reject absolute500 probes and raw500/20 ratio; reject faulty2.5us estimate.	Counter delta and dimensions in serialized release benchmarks; explicit live app style-share reinstatement mapping.
EARLY-025	4aabceb7 §27 O1	Style cache two ways×128 sets, MRU replacement, one allocation, gen stamps, wrap clears stale entries; named workload hit rate>=90percent.	accepted	Reject one-way lowered bar or changing distribution to fit implementation.	Generation wrap1→MAX→1 forces miss; warm zeroalloc; workload profile and replacement evidence.
EARLY-026	6ec29171 §16.6	Frozen root WP0 baseline and live library baseline are disjoint; before numbers come from original root rows with correct iteration units.	accepted_correction	Showcase213; grid1030/176hits; manager499/key132; load61005; sort399998 per two sorts; push15949816 per1000+frame; truncate6/fit7/middle23.	Exact source-row provenance; no deletion check against a baseline that never held target row.
EARLY-027	2e453023 §§10–11;587c53bd §25 F1	Resolve family/variant bases then specificity-interleaved state rules then global/scope/instance; bind roles last; inherited surface Style is left patch operand.	accepted	Variant base cannot overwrite more-specific family state; nonvacuous role values required.	Each precedence level differs under both themes; modifier add/remove symmetry; surface patch differential.
EARLY-028	95ab6529 §21 item29;587c53bd §25 F5;4aabceb7 §27 O3	Generic ANSI16 conversion preserves legacy categorical hue/brightness, including LightGreen/LightRed and border_subtle DarkGray.	accepted_correction	CIE76 nearest16 and border_subtle Black estimate rejected.	Exact dark/bright/gray threshold corpus; generic custom/Paper coverage; no rebless.
EARLY-029	4afca16f §11.4;4a9dcab1 §11.4	Explicit authored Junie capability palettes cover all semantic slots; eligibility follows each slot's actual projected history; mutated slots cannot reacquire after quantization collision.	accepted_later_amendment	Generic algorithm remains no-table path; projection history supersedes recomputation from TrueColor.	73-slot alllevels; missingtable chains; direct mutation; seed dependants; clone COW; equality fingerprint table+eligibility+history.
EARLY-030	d52ee38b appendedMeter;29ed8e5e amendedMeter	MeterFillRest ReferenceLift applies exact ordered source-color policy; concrete custom/Paper colors stay authoritative; retain typed source surface for delayed dim.	accepted_later_amendment	RaisedSurface semantic-enum mapping superseded; ordered color comparisons are explicit source policy, not inferred paint-role provenance.	Alias/capability matrix;16-frame existing preservation test unchanged; concrete+symbolic slot counts and dim provenance.
EARLY-031	87ab93d4 §24 M2;4aabceb7 §27 O2;afc60678 §35.3	ASCII mode uses typed fullglyph/rule/scrollbar tables; full test asserts single-byte ASCII,width1, not merely no boxdrawing.	accepted_with_later_scheduling_correction	Automatic Unicode detection rejected; remaining table moved from4E to serialtheme package; last-write-wins glyph override order intentional.	Every GlyphRole and typed field, positive Unicode control, explicit ordering/idempotence tests, original substitution adjudication.
EARLY-032	dc3e0fa1 §28 P6;70dacec1 §29	Mono disabled text stays readable and DIM; capability-implied states use union not else-if; readiness reported through real status fixture.	accepted_with_later_amendments	18→19→20 counts are historical stages; reason strings alone cannot prove truthful narrowing; later REPORTS_STATUS/static resolution controls.	Every implied state painted; negative control for false narrowing; busy/loading/error precedence and selected editing flags.
EARLY-033	70dacec1 §29 Q1;70dacec1 §§31–32	Pressed brackets use existing reserved padding; Glyph Slot Clear reserves a blank cell and differs from Inherit; neutral custom family receives observable mono behavior.	accepted	RowUi no-pad lists use container styling; unresolved Choice/Brand applicability cannot be guessed.	Clear/Set/Inherit width and cells; label extent preserved; custom family paint not rule counter; Choice/Brand later source adjudication.
EARLY-034	dc3e0fa1 §28 P5;70dacec1 §29 Q2	Reference-state projection must remain inert and cannot manufacture input/focus/capture authority.	accepted_invariant_old_API_superseded	Component-local state_override/inherit_forced and private Fixture paired override are superseded by§72 Ui::reference; late-reader direct source join required.	Exact four-runtime-bit reference projection; derived props unchanged; no registrations/lifecycle/cursor; live child escape rejected.
EARLY-035	587c53bd §26	Runtime LayerSize Fill/Fixed and anchors own geometry; zeroFixed empty; Dialog's pure props+tokens measure equals draw; resize/reanchor applies sameframe.	accepted	Reject min_size sentinel, recentering in Dialog and runtime-held borrowed props callback.	All anchors edges/narrow/zero; prompt height none0/field/+1ack; theme-sensitive measure; update/draw equality.
EARLY-036	587c53bd §26	Ui::resolve/Theme::metrics are shared sizing paths without painting side effects; Ui::style/with_part records actual painting family/part and resolved role.	accepted	No hardcoded Button in Harness resolved query; no cache mutation disguised as measured semantic state.	Record actual queried family/variant; metrics surface-independent; one with_part resolve; role record only actualpaint.
EARLY-037	afc60678 §12.2 and§35	Ui::scroll_region is struck, not an open implementation task; owner calls ScrollRegion update/draw and scrollbar parts share owner identity.	rejected_API_accepted_replacement	Ui→components dependency inversion forbidden; seven on_scrollbar copies were library widgets, not app functions.	No public convenience; direct composition; exact TRACK/THUMB/CONTAINER; no separate scrollbar ID.
EARLY-038	da4b1364 appendedScrollRegion	scrollbar_visible false preserves wheel/reveal, returns fullarea/min1×1, removes bar paint/hits and releases active thumb capture.	accepted_later_amendment	Overflow alone no longer reserves column; NavList forwards property.	Visible↔hidden mid-drag; stale bar-target consumed without scrolling; wheel works; measured/content rect exact.
EARLY-039	3ed377e3 §29.8	Select popover does not trap; FocusOut producer dismisses without restoring opener; modal alone traps; one-stop wrapping tested.	accepted_historical_contract_requires_oracle_join	Old Select Tab swallowing is not generic trap authority; current immutable parity may require source-selected app routing.	Tab next target preserved; modal negative case; nonempty actualtrap; exact pinned-app Tab flow.
EARLY-040	2caff455 §16.1;577bf533 §§3,21	Restore focus only after successful live publication validates historical opener; retain original key until settlement; invalid opener reconciles.	accepted_later_supersession	Immediate opener FocusIn and stale-last-ring exception explicitly superseded.	Removed/disabled/trappedout opener; abort/drop/Scene cannot acknowledge; close FocusOut immediate; original retained key delivered once.
EARLY-041	b1c8c447 §8 typingamendment;2f139259 §8	Explicit fallback typing owner selected from complete geometry independently of navigation focus; conditional caret offers obey sameowner/layer declaration and final admission.	accepted_later_extension	Focused-owner default and rawcursor rejection remain; fallback cannot use stale/aborted facts.	Ambiguity diagnostic; idle/read-only primary block; modal rejection; contextual commands; Scene parity; warmzeroalloc.
EARLY-042	934c92dc §8 feedbackamendment	Select elapsed or absolute simulation feedback policy before init; simulation advances only from admitted domain coalesced step, never draw/inputcount/walltime.	accepted_later_extension	Default elapsed140 and source80/160 simulation are distinct policies; no blanket keyboard flash rule.	Paused no spin/deadline; sought nonzeroepoch; delayed/coalesced full/reduced; wrongpolicy/backwards atomic rejection.
EARLY-043	2e453023 §§13–15;95ab6529 §21	Bindings, visible hints and semantic actions share declarations; menu action+Chord no synthesized keys/string-label dispatch; app domain exceptions remain app-owned.	accepted_subject_to_pinned_app_copy	Old permission to change drifted hint text is not current parity approval.	Key/mouse action equivalence; visiblebinding conflicts once per change; exact source footer wording/order/gating.
EARLY-044	27bd918e §22;87ab93d4 §24	ratatui-core CellWidth is width source; segmentation in text; use set_stringn without pretruncate; reset wide shadow cells; preserve raw vocabulary through curated reexports.	accepted	Role-aware Span and intrinsic Size intentionally remain own types; foreign raw text qualified author::raw.	Combining/CJK/halfwidthmark/ZWJ/control corpus; facade compile example; wide→narrow stalecell; nonalloc span painting.
EARLY-045	27bd918e §22;587c53bd §25;4e84b744f9b3a1e007aa9080e7ab924ed8ca7246	Backend-free core owns KeyCode/modifier/input vocabulary; optional terminal adapter retains exhaustive conversion; no direct crossterm/ratatui umbrella.	accepted_later_supersession	Historical §25 nonoptional backend vocabulary dependency is superseded by4e84b744 own keys and optional adapter; do not reintroduce backend through feature unification.	Retain isolated backend-free-core/backend-free-testing fixture graphs and no-default compilation; exhaustive event/modifier conversion and optional session feature.
EARLY-046	27bd918e §22;587c53bd §25	Safe Rust, reasoned expects, no broad restriction allow group, no globals/env mutation in tests; no spinloop to avoid handling impossible branch.	accepted with explicit ADJ-13 backend lifecycle exception	Original core-global ban remains; ADJ-13 permits exactly one private Unix crossterm signal registration/lease broker, never global UI/model/cache state. SafeRust allocator test exception remains narrow; std CellWidth/backend pin requires exact audited version.	Clippy/docs/unsafe scan negative controls; pure env capability table; dependency metadata gates; TASK-072 exact broker AST positive/negative qualification and TASK-009 singleton retry/concurrency/backend-free proof.
EARLY-047	2e453023 §15;587c53bd §25 MA13;c936d51f §15	Secrets nonClone/nonEq/nonSerialize and redacted; sensitive direct state before begin; expose crate-private; policy-aware mask never copies real tail.	accepted_security_tightening	Zeroization explicitly best-effort safeRust, not guaranteed erased allocation memory.	Compilefails; direct lifecycle dynamic sensitivity; Debug/errors/action/output wholebuffer secret sentinel; zeroize fresh exposeempty/capacityrelease.
EARLY-048	e49de3f8 §15.1 F13;3f26ab14 §15.1	Public FormState errors always generic; private Form draw consults current owner data for plain detail; hidden/inactive reconcile; owner zeroizes on cancel/dismiss.	accepted_security_tightening	Form does not own LayerEvent lifecycle; stale state cannot determine current sensitivity.	Plain→secret between updates; hidden/inactive errors; direct public error; cancellation/dismissal ownercalls; no rawsecret output.
EARLY-049	e8d053c9 §§16–17;95ab6529 §21;587c53bd §25	Every public component has real Conformance case and applicable semantic matrix, exact named test inventory, all runnable external examples and author proof.	accepted	Macro name=>Case pins name; no blanket action trace on unconstrained Action; extra tests allowed but missing named tests fail.	Inventory equality with ownership exclusions; capability implication checks; compile actual examples; component state not click-only fixture.
EARLY-050	afc60678 §35	Executable artifact named as present must exist or be explicitly open; suppression names kind/expiry; satisfied/zero-hit suppressions fail.	accepted	doc-check token/name existence is not signature proof or inline-example compilation.	Unimplemented name, changed signature, ignored codeblock, staleallow and missingfixture negative controls.
EARLY-051	e8d053c9 §§18–19;95ab6529 §21 item32	Library import closure excludes apps; each app has unpublished lib plus thinbin; curated root/author surface sufficient for external consumer.	accepted	Initial binary-only app layout superseded for integration tests; import path existence not closure proof.	Cargo metadata closure/publication checks; expected app presence; facade-only path scan; author examples.
EARLY-052	95ab6529 AppendixB;b60c8280 §47;history-middle.md full§47 and early-amendments prefix coverage	Staging rename timing is historical and corrected afterSlice7; add app and remove same root bin/default-run atomically; retain frozen root baseline paths.	accepted_later_correction_direct_source_join_complete	Do not resurrect beginningSlice5 rename or move frozen beforeimage; fresh app baseline is separate.	Unique exact bin multiset; app lib exists/unpublished; frozen source unchanged. Full§47 source read is complete through middle/prefix union; current implementation retention proof remains.
EARLY-053	2e453023 §12.5 J1–J5	Library owns modal chrome/lifecycle, Form composition, choice/facts Dialog conveniences and binding-fed HelpOverlay; remove duplicate form/modal/help engines.	accepted_with_Field_Form_amendments	Domain facts remain app-owned; DialogBody closedenum rejected.	Map each J1–J5 oldcall to library composition plus exact behavior/geometry proof.
EARLY-054	2e453023 §12.5 J6–J9	File browser domain stays app composition; Wizard owns steps/rewind retention; PickerChain owns generic staged loading/error/back navigation; shared keyed row rendering replaces app reimplementations.	accepted	Steps remains displayonly; filesystem/1Password models and async lifecycle do not enter library.	J6–J9 each current consumer, state retention and source error/retry/back/cancel flows.
EARLY-055	2e453023 §12.5 J10–J13	Shared RowDecor/change slots, keyed tabs, meter threshold helper and modal stack/result routing replace duplicates without moving product policy into library.	accepted_with_later_meter_policy	Quota lifecycle remains application-owned; runtime feedback and typed actions replace ad hoc UI state.	J10–J13 keyed row action, tab reorder, thresholdboundary, layerresult tests with pinned copy/cadence.
EARLY-056	e8d053c9 §20.10	Original intentional visual changes require historical classification; all unlisted token/spacing/glyph/ellipsis/minimumcopy/rain/scenario changes were already regressions.	historical_permission_superseded	PLANNING_GOAL requires exact immutable Holla observables and does not grant old intentional differences.	Oracle cells/styles/cursor/eventtrace/timing comparison; no regeneration used as proof.
EARLY-057	70dacec1 §29.7;7b27732a §29.7 excerpt	RadioGroup caller value and ChipBar Add action were open in Q, later resolved§50; StatusBar hover primitive existed but lacked consumer, later resolved§51.	historical_open_items_superseded	Do not revive fabricated ItemKey sentinel or claim hovered_part presence was implementation closure.	Join middle-reader original§50–51; actual payloadless AddRequested/NEW and keyed hover consumer tests.
EARLY-058	aacb7cb3 A7;30924105 A7	Grid detailed gutter adds real optional GUTTER/MARKER/CHANGE/ROW_NUMBER, rightreserve and partdefaults; keyed header ICON prefix optional and subordinate to explicit overrides.	accepted_later_extension	Original ninepart rendering preserved bydefault; ICON not wholegrid readiness/status.	Clipped each guttercell; stable source rownumber; reserved contentrect; HEADERslot replaces all; percolumn key reorder.
EARLY-059	3ed377e3 §16.4,§16.6,AppendixA	Retain original measured test inventory and distinguish measured Capsule baseline from estimate.	accepted_correction	26showcase,23tablepro,28jackin(22+6chrome),plus10rain/arbiter/clock/scenario; Capsule1080602allocs/74131917B replaces480000estimate.	Join original inventory by test identity not countalone; exact frozenWP0row provenance; present tests may add but not silently remove behavioral coverage.
EARLY-060	69fcdcad §10;587c53bd §17examples9–10	TrackAuto without measurement takes1cell besideFlex or equal remainder withoutFlex; measuredvariants use natural sizes; zeroalloc distribute_into serves RowUi columns with16track cap.	accepted_historical_geometry_contract	Do not change sourceobservable layout silently under PLANNING parity; contract names cannot prove examples use measuredvalues.	Auto/Flex/fixed/multipleAuto/tiny matrix; measured themedglyph widths; example9two-rowProps notclipped; columns cap and zeroalloc.
