id	source_revision	source_section	requirement	disposition	implementation_or_plan_mapping	required_proof	current_verification
RG19	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§11/23E	External insertion/removal/reorder preserves logical focus/selection/edit target; disappearing owner reconciles predictably	accepted	A-identity; F02/F03/F05/F06	Stable-key mutation/reorder/disappearance property tests	historical_contract_extracted_current_proof_owned_by_matrices
RG20	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§12	Nested/repeated component parts have stable collision-safe identity and readable debugging	accepted	Id/Part/Scope; runtime target registry	Duplicate-identity rejection and stable child-source tests	historical_contract_extracted_current_proof_owned_by_matrices
RG21	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§13	Deterministic Tab/ShiftTab, disabled skip, roving composite cursor, nested scope, focus restoration and focus-visible	accepted	A-focus; app matrices	Keyboard traversal and disappearing opener journey	historical_contract_extracted_current_proof_owned_by_matrices
RG22	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§13	Hover never steals focus; keyboard suppresses stale hover; completed valid click matches keyboard semantic action	accepted	A-pointer; runtime and component response	Down/up/outside/disabled and keyboard-mouse equivalence tests	historical_contract_extracted_current_proof_owned_by_matrices
RG23	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§13	Pointer capture, drag selection, topmost wheel, nested scroll and scrollbar ownership	accepted	A-pointer/scroll; P03	Captured drag/resize/remove-owner and nested-boundary scroll tests	historical_contract_extracted_current_proof_owned_by_matrices
RG24	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§13	Generic terminal bindings remain configurable while domain chords stay in apps; hints reflect active actual actions	accepted	CommandMap/HintBar; F08d	Advertised hint reaches same action with exact modifiers	historical_contract_extracted_current_proof_owned_by_matrices
RG25	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§14	One layered overlay contract handles stack,z-order,modal barrier,trapping,restore,outside click,Esc,anchor,flip,clamp,cursor,hints,lifecycle	accepted	A-layers; overlay family matrix	Nested overlay full input/paste/wheel/cursor journey	historical_contract_extracted_current_proof_owned_by_matrices
RG26	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§14	Arbitrary composed dialog body plus ergonomic confirmation/prompt/facts conveniences use same primitives	accepted	Dialog/Form/Layer	Custom borrowed body and nested convenience composition tests	historical_contract_extracted_current_proof_owned_by_matrices
RG27	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§15	Semantic surfaces/foreground/border/accent/status/syntax/meter roles replace embedded palette assumptions	accepted	A-theme; later Meter exception	Literal-color guard and authored provenance tests	historical_contract_extracted_current_proof_owned_by_matrices
RG28	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§15	Built-in and custom themes support truecolor/256/16/no-color; state meaning not hue-only	accepted	A-mono/capability; HL74	Cross-capability reference corpus including actual NO_COLOR backend	historical_contract_extracted_current_proof_owned_by_matrices
RG29	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§15	Style merging has explicit inherit/replace/clear and deterministic part/state precedence	accepted	StylePatch/reset contract	Reset fields/modifiers and layered precedence tests	historical_contract_extracted_current_proof_owned_by_matrices
RG30	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§16	Logical parts have documented semantic styling,event,testing and composition meaning	accepted	A-PARTS; component public descriptors	No unreachable/misattributed part query or meaningless token-only test	historical_contract_extracted_current_proof_owned_by_matrices
RG31	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§17	Consistent minimum/preferred sizing,insets,clipping,truncation/wrap,overflow,resize and parent-surface composition	accepted	A-layout; all family allocation matrices	Nonzero-origin/tiny/empty/overflow/resize sentinels	historical_contract_extracted_current_proof_owned_by_matrices
RG32	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§17	Empty rectangles cannot panic,underflow,paint/register outside allocation or leave stale hits	accepted	F17; A-containment	Zero-size render/update/query/hit/cursor assertions	historical_contract_extracted_current_proof_owned_by_matrices
RG33	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§18	Collections support borrowed domain content, custom rows/cells, metadata and relevant empty/loading/error states	accepted	A-collection; ItemSource/AsItem/row adapters	Non-owned consumer fixtures and visible empty/loading states	historical_contract_extracted_current_proof_owned_by_matrices
RG34	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§18	Collection cursor differs from chosen value; relevant single/multiple/range selection remains explicit	accepted	A-collection; Choice/Picker/Grid	Independent cursor/value/check/anchor mutation tests	historical_contract_extracted_current_proof_owned_by_matrices
RG35	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§18/25.6	Large/lazy collections avoid full-dataset cloning and avoidable full-tree scans on every event	accepted	A-performance; tree/grid/viewport perf	100k/1m work counters and allocation assertions; dirty separate from idle	historical_contract_extracted_current_proof_owned_by_matrices
RG36	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§18	Grid mechanics generic; SQL,FK,nullable schema,commit queues and database validation stay in TablePro adapters	accepted	A-Grid; TablePro rows	Generic non-database consumer and TablePro capability journeys	historical_contract_extracted_current_proof_owned_by_matrices
RG37	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§19	Forms/editors share explicit edit lifecycle,controlled synchronization,paste,graphemes,selection,cursor and validation extension	accepted	A-form/editor; F08	Event/paste/modifier/Unicode/begin-commit-cancel-blur tests	historical_contract_extracted_current_proof_owned_by_matrices
RG38	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§19/29	Secret values do not leak through Debug/log/capture/copy; removed sensitive drafts zeroize	accepted	Form/Input/Jackin credential rows	Leak sentinels, removed slot zeroize and Cancel/Save tests	historical_contract_extracted_current_proof_owned_by_matrices
RG39	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§19	Read-only permits appropriate navigation/copy while rejecting mutation; disabled is distinct	accepted_current_oracle_bounded	F04/F18; A-editor	Ordinary readonly navigation/copy and nonmutation remain accepted; F04 mid-edit permission-transition proposal is deferred, not an override of current oracle behavior. Prove direct-component versus app reachability separately	historical_contract_extracted_current_proof_owned_by_matrices
RG40	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§20	Complex components decompose only where ownership genuinely shared; retain ergonomic higher-level composition	accepted	A-composition; component inventory	Normal-use and custom-content downstream examples	historical_contract_extracted_current_proof_owned_by_matrices
RG41	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§21	Runnable showcase/tablepro/jackin-preview names preserved; edition/MSRV/dependency changes justified and verified	accepted_with_later_workspace_and_dependency_amendments	Main Cargo packages; optional backend correction	Feature powerset,MSRV,locked build and binary CLI checks	historical_contract_extracted_current_proof_owned_by_matrices
RG42	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§22.1	Showcase deterministically demonstrates every meaningful state/customization/capability for every public component	accepted	A-showcase; H00 not substitute	Reachable full catalog state graph and per-page public API ownership	historical_contract_extracted_current_proof_owned_by_matrices
RG43	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§22.2/22.3	Preserve TablePro workflows and Jackin complete deterministic product behavior; app-specific effects consume semantic theme	accepted	Application matrices and immutable oracle	All retained app tests plus oracle journeys/canonical frames	historical_contract_extracted_current_proof_owned_by_matrices
RG44	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§24	Every public component documents construction,data/state,variants,actions,focus,keys,mouse,layout,parts,customization,invariants	accepted	Documentation matrix; A-doc	Rustdoc deny warnings; actual implementation matching docs	historical_contract_extracted_current_proof_owned_by_matrices
RG45	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§24	Compile examples for button,custom/partial/family/instance theme,external validation,custom rows,keyed tabs,dialog,nested overlay,shared dispatch,custom author	accepted	Examples/quickstart/author docs	External-style compile/doctest plus relevant runtime tests	historical_contract_extracted_current_proof_owned_by_matrices
RG46	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§25.2	Conformance proves disabled nonactivation,key/mouse equivalence,focus order,hover,draw stability,clipping,no-color and override isolation	accepted	A-conformance; every eligible component	Negative mutation tests demonstrate probes fail when invariant broken	historical_contract_extracted_current_proof_owned_by_matrices
RG47	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§25.5	Architecture checks prevent private imports,app copies,domain leaks,palette leaks,raw background APIs,owns/locate routing and missing docs/examples	accepted	A-gates; scanner gaps	Compiler boundaries first; adversarial scanner fixtures for unexpressible rules	historical_contract_extracted_current_proof_owned_by_matrices
RG48	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§25.6	Measure render+interaction allocations,cloning,ID lookup,overlay dispatch,style resolution,Unicode before/after	accepted	A-perf; style-share gap	Representative absolute+relative budgets,real app workload,nonvacuous assertions	historical_contract_extracted_current_proof_owned_by_matrices
RG49	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§26	Strongest applicable formatting,strict clippy,all tests,docs,builds and repository-specific stronger gates run on final exact candidate	accepted	A130; final task gates	Feature/MSRV/platform applicability recorded; skipped not passed	historical_contract_extracted_current_proof_owned_by_matrices
RG50	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§26	No broad unexplained warning suppression; unavoidable unsafe has rationale and focused tests	accepted	Safety/quality inventory	deny-warning checks and unsafe review	historical_contract_extracted_current_proof_owned_by_matrices
RG51	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§27/28	Independent API,visual,interaction,ownership/performance/domain and final review challenge implementation; material findings fixed	accepted_current_model_routing_superseded	Final review graph; A130	Fresh independent source and executed evidence review	historical_contract_extracted_current_proof_owned_by_matrices
RG52	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§29	No material stub,TODO,placeholder,dead legacy module or unimplemented normal path at completion	accepted	Complete dispositions/task graph	Source sweep plus full reachable behavior proof	historical_contract_extracted_current_proof_owned_by_matrices
RG53	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§3/6/27	Old intentional polish and reviewed baseline regeneration allowed narrowly	superseded_by_current_no_divergence_oracle	Current PLANNING_GOAL and frozen02f5294b	No current baseline waiver or oracle repinning	historical_contract_extracted_current_proof_owned_by_matrices
RG54	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§0 and amended research §8	Historic specific model/agent routing and fixed research tooling	superseded_execution_instruction	Current task instructions	No required old model availability blocker	historical_contract_extracted_current_proof_owned_by_matrices
RG55	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§27	Old eight-slice execution order and immediate implementation mandate	superseded_execution_instruction	Planning-only dependency graph	No production edit,commit,checkout or task execution during planning	historical_contract_extracted_current_proof_owned_by_matrices
RG56	e48137f1:REFACTORING_GOAL.md;dce91d51;2d81eec4;25ea92b0;efada044;d4715f8e	§30	Final report gives architecture,rationale,rejected alternatives,API mappings,coverage,exact gates,captures,performance and resolved reviews	retained_evidence_requirement	Final evidence and integration handoff	Truthful exact commit-bound completion; tradeoff not unfinished defect	historical_contract_extracted_current_proof_owned_by_matrices
