id	fixture	sizes	actions	checkpoints	oracle_source	existing_evidence	component_dependencies	status
HO-BASE-11	hard-cases	80x24,100x30,120x40,160x50	NEW(hard-cases,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main migrated subset differs; full oracle replay required
HO-BASE-12	parity-discovery	80x24,100x30,120x40,160x50	NEW(parity-discovery,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-13	parity-history	80x24,100x30,120x40,160x50	NEW(parity-history,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-14	parity-files	80x24,100x30,120x40,160x50	NEW(parity-files,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-15	parity-browser	80x24,100x30,120x40,160x50	NEW(parity-browser,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-16	parity-git-current	80x24,100x30,120x40,160x50	NEW(parity-git-current,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-17	parity-git-batch	80x24,100x30,120x40,160x50	NEW(parity-git-batch,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-18	parity-task-sources	80x24,100x30,120x40,160x50	NEW(parity-task-sources,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-19	parity-cargo	80x24,100x30,120x40,160x50	NEW(parity-cargo,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-20	parity-docker	80x24,100x30,120x40,160x50	NEW(parity-docker,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-21	parity-brew-services	80x24,100x30,120x40,160x50	NEW(parity-brew-services,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-22	parity-gradle	80x24,100x30,120x40,160x50	NEW(parity-gradle,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-23	parity-idea	80x24,100x30,120x40,160x50	NEW(parity-idea,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-24	parity-upgrade-managers	80x24,100x30,120x40,160x50	NEW(parity-upgrade-managers,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-25	parity-executor	80x24,100x30,120x40,160x50	NEW(parity-executor,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-26	parity-task-input	80x24,100x30,120x40,160x50	NEW(parity-task-input,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-27	parity-custom-actions	80x24,100x30,120x40,160x50	NEW(parity-custom-actions,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-28	parity-disk-scan	80x24,100x30,120x40,160x50	NEW(parity-disk-scan,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-29	parity-disk-navigation	80x24,100x30,120x40,160x50	NEW(parity-disk-navigation,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-30	parity-insights	80x24,100x30,120x40,160x50	NEW(parity-insights,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-31	parity-delete-safety	80x24,100x30,120x40,160x50	NEW(parity-delete-safety,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-32	parity-cleanup-results	80x24,100x30,120x40,160x50	NEW(parity-cleanup-results,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-33	parity-platforms	80x24,100x30,120x40,160x50	NEW(parity-platforms,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-BASE-34	parity-platforms-linux	80x24,100x30,120x40,160x50	NEW(parity-platforms-linux,Paused,40); DRAW; TICKS(10); DRAW; repeat fresh run; independently launch the same scenario/motion/frame through normal production CLI/lib/World constructor under holla-shell-construction-contract.md; capture source-qualified executable opening and cleanup	initial full cells/cursor/focus/hits; unchanged after ticks; repeat byte identity; all four palettes; canonical scenario constructor genuinely succeeds; no ScenarioUnavailable or substitute world; full launch closes only at this parent owner	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	app_tests.rs::every_scenario_renders_at_every_size_without_panicking; app_tests_flows.rs::every_scenario_is_deterministic_at_a_frame	shell/theme/layout/fixture-specific	planned-baseline; main parity fixture absent
HO-HP01	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp01_discovery_is_adaptive_stable_and_reports_failed_sources_and_config_warnings); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:89	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
HO-HP02	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp02_recents_learned_queries_query_editing_and_persistence_merge); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:200	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
HO-HP05	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp05_git_current_runs_at_the_repository_root_with_truthful_outcomes); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:349	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
HO-HP06	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp06_sibling_batches_carry_exact_members_and_report_each_failure); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:452	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
HO-HP03	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp03_find_files_indexes_home_truthfully_and_resource_actions_are_exact); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:580	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
HO-HP04	exact pinned test fixture	80x24,100x30,120x40,160x50	ROUTE(src/bin/holla/app_tests_parity.rs::hp04_browser_lists_previews_and_jumps_safely); run the unchanged source-native seed at its original dimensions; separately materialize four-size oracle transcripts under holla-route-expansion.md with complete assertion/coordinate mapping	all reached original assertions pass in the unchanged native seed; resized assertions/coordinates follow the protected source-qualified map; full checkpoints after every input draw and tick batch; fixture mutations recorded	src/bin/holla/app_tests_parity.rs:658	measured test included in 143-pass binary suite; full-cell baseline still required	route-specific; see holla.md surface matrix	planned-baseline; main migrated subset differs; full oracle replay required
