task_id	key	title	dependencies	wave	writable_paths	purpose
TASK-011	C-THEME	Complete semantic palettes overrides and ASCII glyph policy	TASK-006;TASK-008;TASK-073	C	crates/tui/src/theme;crates/tui/src/ui/paint.rs;crates/tui/tests/completion_011.rs	Semantic theme overrides, capability projection and complete opt-in ASCII conversion preserve exact paint.
TASK-012	C-LAYOUT	Preserve pure layout clipping and split geometry	TASK-006;TASK-008;TASK-073	C	crates/tui/src/layout.rs;crates/tui/src/measure.rs;crates/tui/src/components/split.rs;crates/tui/tests/completion_012.rs	Pure measurement and SplitPane allocation share exact clipping and pointer geometry.
TASK-013	C-TEXT	Restore logical grapheme display copy and editor grammar	TASK-011;TASK-006;TASK-008;TASK-073	C	crates/tui/src/ui/paint.rs;crates/tui/src/text;crates/tui/tests/completion_013.rs	One logical grapheme and editor grammar governs display, movement and source-preserving copy.
TASK-014	C-SCROLL	Restore shared scroll boundaries thumb capture and fades	TASK-013;TASK-010;TASK-011;TASK-012;TASK-008;TASK-073	C	crates/tui/src/scroll.rs;crates/tui/src/components/scroll_region.rs;crates/tui/src/ui/paint.rs;crates/tui/src/author.rs;crates/tui/tests/completion_014.rs	One scroll and fade primitive preserves exact hidden-edge cells and routing.
TASK-015	C-ROWS	Complete borrowed row part and column overrides	TASK-011;TASK-013;TASK-008;TASK-014;TASK-073	C	crates/tui/src/collection;crates/tui/tests/completion_015.rs	Borrowed row and column overrides paint their declared parts without losing stable identity.
TASK-016	C-FIELDS	Restore shared field editing and secret lifecycle	TASK-010;TASK-013;TASK-014;TASK-008;TASK-073	C	crates/tui/src/components/input.rs;crates/tui/src/components/textarea.rs;crates/tui/src/components/field.rs;crates/tui/src/components/field_control.rs;crates/tui/src/secret.rs;crates/tui/src/validate.rs;crates/tui/tests/completion_016.rs	Fields separate keyboard navigation from completed-click editing and preserve secret lifecycle.
TASK-017	C-LAYER-CORE	Preserve runtime layer placement capture and restoration	TASK-010;TASK-012;TASK-008;TASK-014;TASK-073	C	crates/tui/src/layer.rs;crates/tui/src/ui/layer_buf.rs;crates/tui/src/runtime.rs;crates/tui/tests/completion_017.rs	Runtime layers preserve anchor, modal ownership and restoration independently of concrete wrappers.
TASK-018	C-CHOICES	Restore controlled choices Select and mono label geometry	TASK-016;TASK-015;TASK-017;TASK-008;TASK-073	C	crates/tui/tests/conformance.rs;crates/tui/src/components/form.rs;crates/tui/src/components/choice.rs;crates/tui/src/components/select.rs;crates/tui/tests/completion_018.rs	Controlled choices preserve cursor/value distinction and mono label geometry.
TASK-019	C-FORM	Complete all declared Form invariants	TASK-018;TASK-008;TASK-073	C	crates/tui/src/components/choice.rs;crates/tui/src/components/form.rs;crates/tui/tests/completion_019.rs	Form satisfies all thirteen declared invariants with live per-phase data.
TASK-020	C-COLLECTIONS	Restore keyed collection selection navigation and fades	TASK-018;TASK-015;TASK-014;TASK-008;TASK-073	C	apps/showcase/src/pages/chips.rs;crates/tui/tests/conformance.rs;crates/tui/src/components/list.rs;crates/tui/src/components/nav_list.rs;crates/tui/src/components/tree.rs;crates/tui/src/components/steps.rs;crates/tui/src/components/chip.rs;crates/tui/src/components/tabs.rs;crates/tui/tests/completion_020.rs	Keyed collections preserve exact selection, branch and strip journeys.
TASK-021	C-OUTPUT	Restore retained output selection marks and prose policy	TASK-013;TASK-014;TASK-008;TASK-073	C	crates/tui/src/components/viewport.rs;crates/tui/tests/completion_021.rs	TextViewport preserves retained reading, selection, marks and non-tailing prose.
TASK-022	C-GRID	Restore generic Grid cell and table behavior	TASK-016;TASK-015;TASK-014;TASK-008;TASK-073	C	crates/tui/src/components/grid.rs;crates/tui/tests/completion_022.rs	Generic keyed Grid restores table and current-cell completed-click behavior.
TASK-023	C-LAYERS	Restore concrete dialogs menus and submenu behavior	TASK-017;TASK-019;TASK-008;TASK-073	C	crates/tui/src/components/dialog.rs;crates/tui/src/components/menu.rs;crates/tui/tests/completion_023.rs	Dialogs and menus preserve measured facts, submenus and exact dismissal.
TASK-024	C-PICKERS	Restore picker chains filters and completion ownership	TASK-020;TASK-023;TASK-016;TASK-008;TASK-073	C	crates/tui/src/components/filter_list.rs;crates/tui/src/components/picker.rs;crates/tui/src/components/picker_chain.rs;crates/tui/src/components/completion.rs;crates/tui/tests/completion_024.rs	Pickers preserve borrowed query identity, chained stages and editor completion ownership.
TASK-025	C-CODE	Restore code editing readonly selection and diagnostics	TASK-016;TASK-024;TASK-021;TASK-008;TASK-073	C	crates/tui/src/components/code.rs;crates/tui/tests/completion_025.rs	CodeEditor preserves readonly caret, editing, diagnostics and find trajectories.
TASK-026	C-DIFF	Restore Diff review fallback projection and selection	TASK-021;TASK-012;TASK-008;TASK-073	C	crates/tui/src/components/diff.rs;crates/tui/tests/completion_026.rs	Diff preserves requested review mode through narrow fallback and width recovery.
TASK-027	C-CHROME	Restore reusable static chrome actions and empty states	TASK-011;TASK-012;TASK-010;TASK-014;TASK-015;TASK-020;TASK-022;TASK-024;TASK-008;TASK-073	C	crates/tui/src/components/button.rs;crates/tui/src/components/brand.rs;crates/tui/src/components/panel.rs;crates/tui/src/components/props.rs;crates/tui/src/components/empty.rs;crates/tui/src/collection/empty.rs;crates/tui/src/components/too_small.rs;crates/tui/tests/completion_027.rs	Reusable chrome preserves action geometry, borrowed facts and readiness paint.
TASK-028	C-STATUS	Restore live status hints and key glyph composition	TASK-027;TASK-017;TASK-008;TASK-073	C	crates/tui/src/components/status.rs;crates/tui/src/components/hintbar.rs;crates/tui/src/components/keyhint.rs;crates/tui/src/keymap.rs;crates/tui/src/ui/mod.rs;crates/tui/src/ui/cx.rs;crates/tui/tests/completion_028.rs	Status and hints reflect live owner/action metadata with exact truncation.
TASK-029	C-MOTION	Restore deterministic progress spinner and Meter output	TASK-011;TASK-009;TASK-008;TASK-073	C	crates/tui/src/components/progress.rs;crates/tui/src/components/meter.rs;crates/tui/tests/completion_029.rs	Progress, Spinner and Meter preserve deterministic motion and semantic paint.
TASK-030	C-DISCOVERY	Preserve effective help metadata and Wizard state	TASK-024;TASK-028;TASK-008;TASK-073	C	crates/tui/src/components/help.rs;crates/tui/src/components/wizard.rs;crates/tui/tests/completion_030.rs	Help and Wizard preserve effective bindings and caller-owned step state.
TASK-031	C-CONFORMANCE	Prove complete attributed PARTS and painted-slot closure	TASK-009;TASK-010;TASK-011;TASK-012;TASK-013;TASK-014;TASK-015;TASK-016;TASK-017;TASK-018;TASK-019;TASK-020;TASK-021;TASK-022;TASK-023;TASK-024;TASK-025;TASK-026;TASK-027;TASK-028;TASK-029;TASK-030;TASK-008;TASK-073	C	crates/tui-testing/src;crates/tui/tests/conformance.rs;crates/tui/tests/completion_031.rs	The complete component registry proves exact owned PARTS and advertised painted slots.
TASK-032	S-SHELL	Restore live Showcase shell and all 23 routes	TASK-020;TASK-027;TASK-028;TASK-023;TASK-030;TASK-031	S	apps/showcase/src/app.rs;apps/showcase/src/main.rs;apps/showcase/src/lib.rs;apps/showcase/src/pages/mod.rs;apps/showcase/src/pages/diff.rs;apps/showcase/tests/completion_032.rs	Live public shell/chrome/navigation serves 23 pages with exact sidebar thresholds, help/inspector/focus/persistence and no compatibility paint-over
TASK-033	S-FIELDS	Restore live Showcase fields forms and Buttons matrix	TASK-032;TASK-019	S	apps/showcase/src/pages/buttons.rs;apps/showcase/src/pages/inputs.rs;apps/showcase/src/pages/textareas.rs;apps/showcase/src/pages/forms.rs;apps/showcase/tests/completion_033.rs	All enabled Inputs fields, complete Forms reviewer/reset/submit, TextAreas and Buttons matrix are live; expired Buttons example packaging resolved
TASK-034	S-DATA	Restore Showcase customer grid and editable tables	TASK-033;TASK-022	S	apps/showcase/src/pages/grid.rs;apps/showcase/src/pages/tables.rs;apps/showcase/src/pages/editable.rs;apps/showcase/src/data.rs;apps/showcase/tests/completion_034.rs	Customer Grid model/queue/SQL/row effects, Tables and Editable Tables use visible data as actual interaction model
TASK-035	S-SETTINGS	Restore all live Showcase Settings flows	TASK-034;TASK-024	S	apps/showcase/src/pages/settings.rs;apps/showcase/tests/completion_035.rs	General, Members and Environment provide original editing/save/dirty/selection/prompt flows
TASK-036	S-OUTPUT	Restore Showcase Diff editor and output journeys	TASK-035;TASK-025;TASK-026;TASK-029	S	apps/showcase/src/pages/panels.rs;apps/showcase/src/pages/progress.rs;apps/showcase/src/pages/scrolling.rs;apps/showcase/src/pages/terminal.rs;apps/showcase/src/pages/editor.rs;apps/showcase/src/pages/diff.rs;apps/showcase/src/pages/taskrunner.rs;apps/showcase/src/pages/mod.rs;apps/showcase/src/app.rs;apps/showcase/tests/completion_036.rs	Missing Diff page plus editor/panels/scrolling/terminal/task runner/progress journeys use shared output/editor/diff components
TASK-037	S-COLLECTIONS	Restore Showcase collection demonstration journeys	TASK-036	S	apps/showcase/src/pages/overview.rs;apps/showcase/src/pages/lists.rs;apps/showcase/src/pages/trees.rs;apps/showcase/src/pages/sidebars.rs;apps/showcase/src/pages/chips.rs;apps/showcase/tests/completion_037.rs	Lists/Trees/Sidebars/Chips and Overview preserve all enumerated page actions and default geometry through live reusable controls
TASK-038	S-OVERLAYS	Restore Showcase picker dialog and chrome journeys	TASK-037	S	apps/showcase/src/pages/dialogs.rs;apps/showcase/src/pages/pickers.rs;apps/showcase/src/pages/chrome.rs;apps/showcase/tests/completion_038.rs	Pickers/Dialogs/Chrome preserve real modal/menu/action journeys and exact outside/focus behavior
TASK-039	S-CLOSE	Prove complete Showcase oracle and architecture closure	TASK-038	S	artifacts/s-close	Full SC direct/PTY inventory passes on one app tree; no inert replacement control survives; validation-only scope
TASK-040	H-SHELL	Restore Holla page stack tabs keys and CLI semantics	TASK-020;TASK-027;TASK-030;TASK-031	H	apps/holla/src/app.rs;apps/holla/src/cli.rs;apps/holla/src/main.rs;apps/holla/src/lib.rs;apps/holla/src/screens/mod.rs;apps/holla/src/screens/context.rs;apps/holla/src/screens/dialogs.rs;apps/holla/tests/completion_040.rs	Permanent Here/page stack, persistent activity/plan tabs, CLI frame semantics, exact keys, menus and restoration work on main's App/Cx/Ui
TASK-041	H-FINDER	Restore Holla finder discovery query and preview	TASK-040;TASK-024;TASK-021	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/home.rs;apps/holla/src/screens/finder.rs;apps/holla/src/screens/actions.rs;apps/holla/src/domain/action.rs;apps/holla/src/domain/ranking.rs;apps/holla/src/domain/usage.rs;apps/holla/src/domain/discovery.rs;apps/holla/src/domain/mod.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/mod.rs;apps/holla/tests/completion_041.rs;apps/holla/src/domain/config.rs;apps/holla/src/domain/fixtures.rs	Grouped finder/discovery, typed query/scopes, split/drawer previews, alternatives/pin/alias/hide and usage worlds match oracle
TASK-042	H-FILES	Restore Holla file search browser and preview actions	TASK-041;TASK-026	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/mod.rs;apps/holla/src/screens/files.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/files.rs;apps/holla/src/domain/fs.rs;apps/holla/src/sim/mod.rs;apps/holla/src/sim/fs.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/world.rs;apps/holla/tests/completion_042.rs	Files index/browser/jump/preview/resource actions use exact virtual filesystem and shared view controls
TASK-043	H-REVIEW	Restore Holla arguments trust review and two-stage gates	TASK-042;TASK-019;TASK-023	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/screens/mod.rs;apps/holla/src/screens/review.rs;apps/holla/src/screens/plan.rs;apps/holla/src/screens/plan_gate.rs;apps/holla/src/screens/dialogs.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/plan.rs;apps/holla/src/domain/trust.rs;apps/holla/src/domain/config.rs;apps/holla/src/sim/plans.rs;apps/holla/src/sim/world.rs;apps/holla/tests/completion_043.rs;apps/holla/src/scenario.rs;apps/holla/src/domain/fixtures.rs	Arguments, trust, plan review and gate1/gate2 restore exact UI while preserving one-shot/current-target checks
TASK-044	H-ACTIVITY	Restore Holla activity stdin cancellation and plan output	TASK-043;TASK-025	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/activity.rs;apps/holla/src/screens/plan.rs;apps/holla/src/screens/dialogs.rs;apps/holla/src/domain/activity.rs;apps/holla/src/domain/plan.rs;apps/holla/src/domain/effect.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/plans.rs;apps/holla/src/sim/catalogue.rs;apps/holla/tests/completion_044.rs;apps/holla/src/domain/fixtures.rs	Output streams/find/selection/stdin/EOF/cancellation and executing-plan output/tab lifetime match oracle World ownership
TASK-045	H-DISK	Restore Holla disk scan tree and insight navigation	TASK-044	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/mod.rs;apps/holla/src/screens/disk.rs;apps/holla/src/screens/cleanup.rs;apps/holla/src/domain/disk.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/cleanup.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/fs.rs;apps/holla/tests/completion_045.rs	Disk scan/tree/Spotlight/insight categories preserve stable identity, facts, progress and platform guards
TASK-046	H-CLEANUP	Restore Holla simulated cleanup ownership and reports	TASK-045	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/cleanup.rs;apps/holla/src/screens/snapshot.rs;apps/holla/src/screens/plan_gate.rs;apps/holla/src/domain/cleanup.rs;apps/holla/src/domain/disk.rs;apps/holla/src/domain/fs.rs;apps/holla/src/domain/plan.rs;apps/holla/src/domain/accounting.rs;apps/holla/src/sim/fs.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/plans.rs;apps/holla/src/sim/catalogue.rs;apps/holla/tests/completion_046.rs	Trash/permanent/dry-run review, ownership, target validation, results/reports/history and quit settlement match simulated oracle
TASK-047	H-BUILD-TASKS	Restore Holla repository and build-task outcome worlds	TASK-046	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/snapshot.rs;apps/holla/src/domain/git.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/tasks.rs;apps/holla/src/domain/cargo.rs;apps/holla/src/domain/gradle.rs;apps/holla/src/domain/idea.rs;apps/holla/src/domain/effect.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/plans.rs;apps/holla/src/sim/fs.rs;apps/holla/tests/completion_047.rs	Git current/batch, native task adapters, Cargo, Gradle and IDEA fixture actions preserve exact membership/argv/cwd/outcome/error worlds
TASK-048	H-SERVICES	Restore Holla service container and remote outcomes	TASK-047	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/snapshot.rs;apps/holla/src/screens/activity.rs;apps/holla/src/domain/docker.rs;apps/holla/src/domain/pg.rs;apps/holla/src/domain/ssh.rs;apps/holla/src/domain/host.rs;apps/holla/src/domain/mod.rs;apps/holla/src/domain/services.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/pg.rs;apps/holla/src/sim/plans.rs;apps/holla/tests/completion_048.rs;apps/holla/src/domain/processes.rs;apps/holla/src/domain/system.rs	Docker/Compose/Brew/PG/SSH/monitor and platform snapshot routes preserve exact target/command/failure/attachment outcomes
TASK-049	H-CONFIG-UPGRADE	Restore Holla config upgrade and snapshot outcomes	TASK-048	H	apps/holla/src/app.rs;apps/holla/src/dispatch.rs;apps/holla/src/scenario.rs;apps/holla/src/screens/snapshot.rs;apps/holla/src/screens/plan.rs;apps/holla/src/screens/actions.rs;apps/holla/src/domain/config.rs;apps/holla/src/domain/trust.rs;apps/holla/src/domain/mise.rs;apps/holla/src/domain/debian.rs;apps/holla/src/domain/github.rs;apps/holla/src/domain/mod.rs;apps/holla/src/sim/catalogue.rs;apps/holla/src/sim/world.rs;apps/holla/src/sim/plans.rs;apps/holla/tests/completion_049.rs	Custom config/trust diagnostics, upgrade manager plans and every remaining emitted snapshot/report parameter route preserve exact oracle finite outcomes
TASK-050	H-CLOSE	Prove complete Holla 34-world oracle closure	TASK-049	H	artifacts/h-close	All HO expansions, 34 worlds, lifecycle/resize/color and previously existing useful main safety tests pass together; validation-only scope
TASK-051	J-SHELL	Restore Jackin rituals manager and prelude	TASK-020;TASK-027;TASK-030;TASK-029;TASK-031	J	apps/jackin-preview/src;apps/jackin-preview/tests	Rituals, manager topology, host routing/menus/hints, selection/detail and prelude preserve oracle routes and legitimate rain art
TASK-052	J-CONFIG	Restore Jackin editor and shared configuration forms	TASK-051;TASK-019;TASK-022	J	apps/jackin-preview/src;apps/jackin-preview/tests	Editor/Settings and shared mounts/environments/roles/accounts configuration preserve forms, dirty state, save preview/error/retry and secret ownership
TASK-053	J-ACCOUNTS	Restore Jackin accounts usage and secret picker flows	TASK-052;TASK-024	J	apps/jackin-preview/src;apps/jackin-preview/tests	Accounts/Usage and 1Password loading/error/back/retry/secret flows preserve world jobs and shared picker/dialog ownership
TASK-054	J-LAUNCH	Restore Jackin cockpit launch and handoff	TASK-053;TASK-021	J	apps/jackin-preview/src;apps/jackin-preview/tests	Cockpit stage/log/credentials/failure/cancel/handoff and exact motion/clock transitions match oracle
TASK-055	J-CAPSULE	Restore Jackin capsule panes tabs and input prefixes	TASK-054;TASK-025	J	apps/jackin-preview/src;apps/jackin-preview/tests	Live pane/tab topology, prefix keys, selection/copy, split resize, rename/close/takeover and output retention preserve oracle
TASK-056	J-INSPECT	Restore Jackin inspect and capsule exit overlays	TASK-055;TASK-026	J	apps/jackin-preview/src;apps/jackin-preview/tests	Compact/advanced inspect Diff and nested capsule/dirty-exit/export/keep/purge dialogs preserve exact state and focus
TASK-057	J-CLOSE	Prove complete Jackin world and motion closure	TASK-056	J	artifacts/j-close	All JA scenarios, world/motion/color axes, lifecycle and no-clone performance obligations pass together
TASK-058	T-CONNECT	Restore TablePro connections forms and shell strip	TASK-019;TASK-020;TASK-027;TASK-028;TASK-031	T	apps/tablepro/src;apps/tablepro/tests	Connection tree/filter/actions/forms/test/retry/save/duplicate/delete and shell identity strip use live controls
TASK-059	T-WORKBENCH	Restore TablePro explorer tabs and responsive workbench	TASK-058;TASK-024	T	apps/tablepro/src;apps/tablepro/tests	Explorer lazy/filter/preview/promote, tabs/drawers/maximize/empty and complete dispatched keymap match oracle
TASK-060	T-DATA	Restore TablePro grid filters and structure surfaces	TASK-059;TASK-022	T	apps/tablepro/src;apps/tablepro/tests	Live grid editing/typed cells/pending SQL/undo/filter operators/chips/Structure modes replace decorative controls
TASK-061	T-QUERY	Restore TablePro code editor query and result surfaces	TASK-060;TASK-025	T	apps/tablepro/src;apps/tablepro/tests	CodeEditor and editor/result SplitPane restore completion/statement execution/results/Explain/error/diagnostics/cancellation
TASK-062	T-SAFETY	Restore TablePro mounted safety and dirty-state overlays	TASK-061;TASK-023	T	apps/tablepro/src;apps/tablepro/tests	Every declared overlay is mounted; six safety modes/save/discard/dirty ownership preserve exact gates and current target identity
TASK-063	T-HISTORY	Restore TablePro history switcher and help journeys	TASK-062	T	apps/tablepro/src;apps/tablepro/tests	History scope/search/failed/list/detail/copy/open/rerun and switcher/help/tab-list journeys use real handlers/components
TASK-064	T-CLOSE	Prove complete TablePro oracle and identity closure	TASK-063	T	artifacts/t-close	All TP scenarios, CLI/NO_COLOR/resize/clock/lifecycle and compatible existing stable-identity/safety tests pass together
