id	source_document	historical_revision	decision_requirement	authority_status	implementation_commit	files_components	current_main_status	remaining_work	tests_gates	task_ids
HM16	COMPONENT_ARCHITECTURE.md	838f25e0 §36;4d262110 §49	First-generation baseline is not visual approval; frame content requires review; values need direct semantic assertions before a hash can protect them	accepted_strengthened_by_PLANNING_GOAL	bfcf5e4 historical	baseline tooling;conformance;reference capture	retain_stronger_oracle_contract	Generate trusted reference only from immutable oracle; inspect complete frames/cells including style	trusted canonical equality; semantic status/selection/geometry assertions	TASK-008;TASK-066
HM17	COMPONENT_ARCHITECTURE.md	838f25e0 §36.3;4d262110 §49.1	First failing test is not complete moved-cell inventory; enumerate all keys rather than infer from panic count	accepted	bfcf5e4 measured22_not24	capture/comparison runner	retain_verify	Complete case set and all mismatch artifacts; unknown cells must fail coverage	multi-axis multiple-mismatch fixture; exact scenario/key-set equality	TASK-008;TASK-066
HM18	COMPONENT_ARCHITECTURE.md	838f25e0 §36.5;4d262110 §49.2–4	Exact added/moved ledger set, no first-generation reuse, explicit truecolor scope, frozen evidence immutability and declared blocker refusal	accepted_historical_guard;oracle_stricter	bfcf5e4	xtask bless-guard;trusted evidence	retain_verify	Historical approvals cannot bless new oracle drift; protect evidence and verifier scope outside executor writes	perturbed frozen file; repeated key; missing accounting; forbidden scope; live blocker negatives	TASK-008;TASK-069
HM19	COMPONENT_ARCHITECTURE.md	4d262110 §49.6	Baseline guard requires genuine predecessor/base on pushes and PRs; never fall back to comparing clean HEAD with itself	accepted	bfcf5e4	CI;xtask base resolver	retain_verify	Fail missing/unresolvable/identity base; validate final integration exact parent and trusted oracle independently	direct-push and PR-base test; intentional movement must be detected	TASK-008;TASK-069
HM20	COMPONENT_ARCHITECTURE.md	8ee99771 §37	Architecture guards parse structure rather than comments/substring mentions: conformance macro, unsafe attributes/impls, Grid capability signatures	accepted	wave1 xtask AST corrections	xtask architecture	retain_verify	Keep multi-line/whitespace/generic/comment adversarial probes; missing due subject fails	comment-only attribute/registration; split unsafe tokens; absent Grid negatives	TASK-065;TASK-072
HM21	COMPONENT_ARCHITECTURE.md	8ee99771 §37.2–3	Dependency ownership asserted on every root path; todo check cannot exempt real todo on self-naming line	accepted_obligation	current source mapping required	dependency tree guard;todo guard	verification_gap	Prove mixed legal/illegal root paths fail and real todo beside checker name fails	multi-root dependency fixture; comment/self-reference and real invocation discrimination	TASK-065;TASK-072
HM22	COMPONENT_ARCHITECTURE.md	739754c7 §38;later §§64/72	REPORTS_STATUS declares real readiness capability and actual symbol affordance; reason strings cannot excuse capability-required states	accepted_amended	main conformance/runtime	status accepting components;Fixture	retain_verify	Cover Ready Busy Loading Error with actual semantic props and real symbols; Spinner retains honest no-not-spinning narrowing	caps imply ICON/status states; both color and mono distinction; zero empty fixture bypass	TASK-031
HM23	COMPONENT_ARCHITECTURE.md	7f7cc6ac §39;later §72	Reference forcing substitutes runtime presentation flags without erasing caller semantic state; all registrations suppressed through central Ui scope	accepted_operator;local_APIs_superseded	a1759b2a central reference	Ui::reference;ReferenceTarget;all components	retain_verify	Exact component/item/part reference; preserve error/checked/readiness; absence vs empty reference explicit	runtime-vs-derived disagreement; stale hover replacement; props survive; inert subtree	TASK-010;TASK-031
HM24	COMPONENT_ARCHITECTURE.md	7f7cc6ac §39.5;4d262110 §49.5	Recipe-state rule reachability and readiness pairwise value distinction require direct proofs; exemptions invert when satisfied	accepted	main theme tests mapping required	theme recipes;conformance;progress done	proof_mapping_required	Match each rule or explicitly dispose obsolete rule; no existence-only naming proof	PROGRESS ICON CHECKED; Ready/Busy/Loading/Error all axes; stale exemption negative	TASK-031
HM25	COMPONENT_ARCHITECTURE.md	a3fe79b1 §40.1;2399c1ad §42.2;0f018368	Doc scanner covers migration/rejected alternatives/known tradeoffs and open-ended adjudications, both numbered heading syntaxes	accepted_unfinished	main xtask:7318 excludes18–20	xtask/src/main.rs	broken_scope	Include §§18–20; prove executable references inserted in each formerly invisible region fail	bad references at18/19/20/29/latest future section; both heading forms	TASK-068;TASK-072
HM26	COMPONENT_ARCHITECTURE.md	a3fe79b1 §40.1;0f018368	Documented architecture gate table and executable CHECKS registry must agree	accepted_open	0f018368 admits no comparison	xtask CHECKS;architecture.md §16.5	missing_structural_comparison	Map each authoritative gate to dispatch and test wrapper or explicit live deferral	delete dispatch/wrapper/table row; extras and mismatches detectable	TASK-068;TASK-072
HM27	COMPONENT_ARCHITECTURE.md	a3fe79b1 §40.3	Lint report after first lib failure is partial; dependency failures do not prove downstream targets clean	accepted_verification_rule	none	CI all-target clippy	retain_verification_design	Require complete lib then downstream target checks on candidate; preserve exact -D warnings flags	all-target all-feature/no-default gates; full successful run required	TASK-069
HM28	COMPONENT_ARCHITECTURE.md	2c848f9e §§41.2–4;1b580d74 §43.1–2	Named external example inventory, actual executable assertions, exact signatures and visibility matter; a coincidental example count/name-only doc scan is insufficient	accepted	main external examples	crates/tui/examples;author facade;xtask	retain_strengthen	Map canonical examples1–13 to compiling production public APIs and run tests for behavioral claims	deleted named example; wrong arity/private export; reversed-specificity order assertion	TASK-068;TASK-072
HM29	COMPONENT_ARCHITECTURE.md	2c848f9e §41.5;2399c1ad §42.1	Curated facade allows downstream sizing overlays to name LayerSize/PartMetrics; components implementation module private; author reexports match deliberate contract	accepted	main facades	lib.rs;author.rs;theme/layout	retain_verify	External compile proof; dispose resolve_anchor/backdrop_area escape explicitly; no accidental component public path	facade visibility and exact dependency tests; author sizing component compile	TASK-068
HM30	COMPONENT_ARCHITECTURE.md	2399c1ad §42.2	Testing crate APIs and public visibility/signatures need actual doc checks; permanent other-crate allowlisting is insufficient	accepted	current mapping needed	xtask;crates/tui-testing	partial_or_unverified	Compile Harness/Scene/Fixture/Caps documentation and public examples; declarations cannot resolve against private names	private-name/arity/absent testing-API fixtures	TASK-068;TASK-072
HM31	COMPONENT_ARCHITECTURE.md	2399c1ad §42.5–6	Update design/documentation from reconciled accepted contract; independent review attacks falsifiable questions and shared bug/test enabling conditions	accepted	planning review pending	DESIGN.md;guides;review artifacts	future_execution_and_plan_review	Document immutable oracle behavior and architecture separately; independent mutated-gate tests; no self-report closure	fresh architecture and separate visual review; named rejection conditions	TASK-068;TASK-069
HM32	COMPONENT_ARCHITECTURE.md	1b580d74 §43.3	Seed danger/warning/success cascade into syntax/meter was an open question; limited setters and untouched-role inheritance already pinned	unresolved_proposal_preserve_existing	none	ThemeBuilder;03_partial_theme	do_not_silently_expand	Record conservative disposition preserving current and oracle authored values; broader API redesign is not implied	untouched token byte equality; explicit downstream overrides	TASK-011
HM33	COMPONENT_ARCHITECTURE.md	1b580d74 §43.4	Custom-theme examples legitimately contain authored literal colors but example exclusion must be explicit and cannot grant app palette bypass	accepted_scope_clarification	main examples	xtask scan roots;custom theme examples	retain_documented_scope	Limit exemption to theme authoring demonstration and prove production apps remain semantic	literal color in app fails; custom-theme sample compiles	TASK-011;TASK-068
HM34	COMPONENT_ARCHITECTURE.md;docs/audit/legacy-test-disposition.md	e6eaca48 §44;3fa382cb	247 legacy tests require individual assertion/workload dispositions; aggregate new count and same benchmark name cannot prove preservation	accepted	3fa382cb inventory	all components;three old apps;perf	historical_map_needs_current_reconciliation	Map 76 lib/33 showcase/41 tablepro/67 jackin/30 perf assertions including split successors and reasoned removals	machine per-test set equality and current named successor verification	TASK-007;TASK-066;TASK-071
HM35	COMPONENT_ARCHITECTURE.md;docs/audit/legacy-test-disposition.md	GAP-1;36468976 §47.4;later a1759b2a	Brand clickable registration/hover/click preserved; plain lockup remains inert and default fixture may retain empty Caps	accepted	a1759b2a historical_closure	Brand	retain_verify	Production click-only branch both positive and negative; no invented keyboard activation	Brand click hit PartRef hover paint; plain no registration	TASK-027
HM36	COMPONENT_ARCHITECTURE.md;docs/audit/legacy-test-disposition.md	GAP-2;36468976 §47.1–3;later §73	Disabled absorbs hover/pointer presentation structurally; recipe ordering/conflict tests alone miss disjoint slots and variant-over-family effects	accepted_amended_by73	later runtime pointer contract	runtime;theme;Button and all controls	retain_verify	Use current §73 ownership and oracle reconciliation; test disabled overlay opacity and capture transition separately	DISABLED vs DISABLED|HOVERED equality; overlapping target; owner becomes disabled during capture	TASK-010;TASK-031
HM37	docs/audit/legacy-test-disposition.md	GAP-3 3fa382cb	Focus adds weight without changing background plane; hover and focus remain distinct	accepted_UI_invariant_subject_to_oracle	current tests mapping needed	theme;Button;Showcase	proof_required	Assert actual foreground/background/modifiers rather than distinct hash only	base.bg==focus.bg; hover plane; focus BOLD; matching oracle state	TASK-011
HM38	docs/audit/legacy-test-disposition.md	GAP-4 3fa382cb	HintBar truncation draws overflow marker and wide row does not	accepted_UI_invariant	current tests mapping needed	HintBar	proof_required	Compare rendered ellipsis and drop order/width at narrow and full widths	painted marker present/absent plus fitting counts	TASK-028
HM39	docs/audit/legacy-test-disposition.md	GAP-5 3fa382cb	Meter threshold tone reaches painted foreground at all ladder rungs	accepted	current tests mapping needed	Meter;theme meter roles	proof_required	Exercise ratios around all thresholds and authored policy at every color capability	actual run color at50/70/95 and boundaries; oracle cells	TASK-029
HM40	docs/audit/legacy-test-disposition.md	GAP-6 3fa382cb	Meter Block background share/value on-fill color plus no-ratio value-only and explicit Series paths remain covered	accepted	current tests mapping needed	Meter	proof_required	Do not let single ratio line-mode matrix stand for unexecuted alternate painter branches	Block fill/text inversion; ratio absent; explicit tone; Series	TASK-029
HM41	docs/audit/legacy-test-disposition.md	GAP-7 3fa382cb	Library Stale/Unknown meter behavior survives while Warning/Exhausted/Refreshing domain lifecycle belongs in Jackin	accepted_boundary	current tests mapping needed	Meter;Jackin usage/status	proof_required	Separate generic paint from app lifecycle and preserve all old six-tone observable cases	Stale/Unknown library fixtures; app lifecycle markers and labels	TASK-029;TASK-053
HM42	docs/audit/legacy-test-disposition.md;COMPONENT_ARCHITECTURE.md	GAP-8;36468976 §47.4	StatusBar groups start/end at exact side padding and keep declared order; prove geometry from painted buffer	accepted	historical gap_closed	StatusBar	retain_verify	Left x+1 right width-1 center between; oracle narrow and offset-origin composition	painted coordinates; deliberate wrong alignment fails	TASK-028
HM43	docs/audit/legacy-test-disposition.md	GAP-9 3fa382cb	Last StatusBar survivor is actually ellipsis-truncated to fit, not merely retained by keep-mask	accepted	current tests mapping needed	StatusBar	proof_required	Paint tight width with long mandatory identity and verify adjacent content not overwritten	survivor width bound and ellipsis cells	TASK-028
HM44	docs/audit/legacy-test-disposition.md	GAP-10/11 3fa382cb	Tabs active underline/plane/no gutter and distinct hover/cursor/active weight/plane relationships remain observable	accepted_UI_invariant	current tests mapping needed	Tabs;theme;app tab strips	proof_required	Exact oracle visual grammar with keyed suffix through caller RowUi; no legacy TabItem revival	active-only accent rule; no gutter; hover vs cursor weight; suffix after label	TASK-020
HM45	docs/audit/legacy-test-disposition.md;COMPONENT_ARCHITECTURE.md	GAP-12;§51 3adb6efe	StatusBar keyed hovered label alone lifts; keyboard suppresses hover; blank/unkeyed pointer restores every label to base	accepted	e72aef5	StatusBar;FrameRead hovered_part	retain_verify	Real move/key sequence and unkeyed/blank negative; central reference for forced component-wide sample	status_bar_hover integration plus no-hover target proof	TASK-028
HM46	docs/audit/legacy-test-disposition.md	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md GAP-13;§44.4 (current cumulative source; originating edge in section coverage index)	No-full-collection-clone thresholds must actually execute under supported strict perf mode; obsolete PERF_TARGET cannot hide assertions	accepted	current perf mapping needed	perf list/viewport and seven legacy benchmarks	retain_verify	Both100k list and100k viewport below64KiB; verify env gate used by CI and workload equivalence	strict release serial process perf; intentional allocation above threshold fails	TASK-067
HM47	docs/audit/legacy-test-disposition.md;COMPONENT_ARCHITECTURE.md	7b27732a8c3c131760ec3438f641cb3c11343a42:COMPONENT_ARCHITECTURE.md GAP-14;§44.6;§47 (current cumulative source; originating edge in section coverage index)	Deletion cannot precede successor components/tests/evidence; preserve frozen before-images after producer removal	accepted_migration_invariant;old_sequence_complete	77847196 historical_root_removal	workspace;apps;frozen evidence	retain_final_structure	No new legacy tree; account source tests before deleting any integration helper; immutable oracle evidence separate	single ownership; no duplicate source; per-assertion inventory; frozen checksum	TASK-065;TASK-066
HM48	COMPONENT_ARCHITECTURE.md	de817f26 §45.3–4	Documented slot-addressable part set equals parts whose installed SlotFn changes painted cells over real fixture sweep; nonempty exact names	accepted_target	current gate not found	components rustdoc;override tests	proof_gap	Honor slot or remove unsupported promise only when compatible with accepted API/oracle; reject any/both parts prose and containment-only assertion	per-component declared slot set; sentinel painter; disabled/empty/busy cases	TASK-031;TASK-073
HM49	COMPONENT_ARCHITECTURE.md	de817f26 §45.4	Busy/Loading ICON SlotFn substitution honored while single-glyph Set/Clear cannot suppress default spinner sequence	accepted	main components	status/readiness painters	retain_verify	Separate closure slot from glyph slot; default readiness still distinguishable without color	ICON SlotFn during Busy; glyph Clear/Set inert while spinner; Error glyph normal path	TASK-031;TASK-073
HM50	COMPONENT_ARCHITECTURE.md	de817f26 §45.1/7;§50 followup	Nested same-id components forward component patches/part patches/slots; Chip RowUi forwards only container/label merged patch and explicit label_patched wins	accepted	main partial forwarding	PartStyle;List ScrollRegion;ChipBar RowUi;composites	retain_and_close_gaps	No whole Overrides/generic callback propagation into arbitrary row-owned parts; distinguish patch source from resolution owner	component instance sibling isolation; META/CELL/custom unaffected; nested TRACK/THUMB substitution	TASK-015;TASK-031;TASK-073
HM51	COMPONENT_ARCHITECTURE.md	de817f26 §45.4/7	StylePatch clear_glyph convenience absent and never adjudicated as required API	unresolved_optional_API	none	StylePatch	preserve_existing	Do not add new convenience solely from open question; preserve explicit Slot::Clear semantic reachability	struct-literal Clear regression; no API invention	TASK-068
HM52	COMPONENT_ARCHITECTURE.md	3dc44c48 §§46; b60c8280 §§47	Exactly one junie_tui library and one of each expected app binary per commit; apps never contain unmigrated staging code	accepted_completed_transition	77847196	Cargo workspace;apps;xtask	retain_verify	Preserve main starting structure; Holla fourth app joins deliberate exact expected set; no duplicate source/package ownership	cargo metadata target multiset; strict app facade imports; legacy allow-list empty	TASK-065
HM53	COMPONENT_ARCHITECTURE.md	444ae3d9 §48;08cabdf0;612ff7af	Expected app roots/manifests must exist; Showcase identities/order/module ownership match and each page owns production update/draw roots	accepted	08cabdf0;612ff7af;37f9031e	xtask;Showcase pages;app manifests	retain_verify	Use actual oracle page inventory; no import/dead-helper/test-only evidence satisfies page/component use	missing app root/manifest; duplicate bin; shared fake page roots; cfg-test-only component negative	TASK-032;TASK-065;TASK-072
HM54	COMPONENT_ARCHITECTURE.md	444ae3d9 §48.4	Architecture check failures must name actionable cause; empty error is reportability defect	accepted_obligation	current mapping needed	xtask no_domain_vocabulary	verify	Every failure path returns nonempty target-specific diagnostic; preserve red rather than retry-to-green laundering	injected tool/subprocess error and violation diagnostics	TASK-065
HM55	COMPONENT_ARCHITECTURE.md	3adb6efe §50;15371443	ChipBar checked membership derives CHECKED; six PARTS; real item actions keyed; AddRequested payloadless and NEW has no fabricated key	accepted	3adb6efe onward	ChipBar;ChipBarAction	retain_verify	Checked/unchecked glyph, reserved pad, overflow/close geometry; add cannot collide with real identity	mouse/keyboard add; item-key collision; live checked set; Set/Clear; exact CLOSE/OVERFLOW slot contract	TASK-020
HM56	COMPONENT_ARCHITECTURE.md	3adb6efe §50.3	RadioGroup immutable value prop in both phases; state owns navigation only; missing cursor may seed from value, existing cursor not retargeted by external value	accepted	main Choice	RadioGroup;RadioGroupState	retain_verify	Caller rebuild commits Chose; missing/vanished value and reordered keys preserve ownership	external value changes vs established cursor; chosen paint; no hidden mutable value	TASK-018
HM57	COMPONENT_ARCHITECTURE.md;docs/reviews/laneB-grid-contract.md	3adb6efe §52 Q1	Grid emits keyed sort request; adapter owns domain comparator/permutation including NULLs-last and numeric ordering	accepted	a1759b2a;later GridModel freeze	Grid;TablePro grid_model	retain_verify	No rendered-text comparator/local-sort switch/order vector in Grid; row/cell/edit identities survive model reorder	server-sort dispatch; local result order1,2,10+NULL; keyed pending edits/range/checks	TASK-022;TASK-060
HM58	COMPONENT_ARCHITECTURE.md;docs/reviews/laneB-grid-contract.md	3adb6efe §52 Q2	GridState readers only owned semantics: keyed cursor borrowed KeySet editing typed FieldError and column offset; no derived row/column windows	accepted	main GridState	Grid;TablePro adapters	retain_verify	Preserve FieldError code and edit lifecycle; geometry queries need Grid/model/area not hidden state cache	external API compile; typed error code; offset reveal; state reorder	TASK-022
HM59	COMPONENT_ARCHITECTURE.md;docs/reviews/laneB-grid-contract.md	3adb6efe §52 Q3	Explicit register_focus_only adds zero-rect ring entry without hit target; ClickOnly no-op; disabled unreachable; read-only remains reachable	accepted	main ui/mod.rs:793	Ui;focus;TablePro explorer drawer	retain_verify	Never weaken ordinary zero-area component rejection; area_of None; click ignored with UnaddressableId	enabled/disabled/read-only traversal; no-hit diagnostic; tiny ordinary control negative	TASK-010
HM60	COMPONENT_ARCHITECTURE.md	3adb6efe §53;session5 review correction	Tree runtime cache stores only owned structural descriptors; warm update/draw O(viewport); incremental subtree expand/collapse; stable-key state; safe saturation and frame-gap eviction	accepted	a1759b2a	TreeState;runtime TreeIndex	retain_verify	Cold/revision/invalidate rebuild once; small subtree counters; cache eviction and warmed reorder without stale identity	100k flatten/render; key_tree_toggle_10k; deterministic node-access counters; saturation/cache-clear	TASK-020;TASK-067
HM61	COMPONENT_ARCHITECTURE.md	3adb6efe §53 query followup	Tree borrowed matcher+caller revision; strict matches-plus-ancestors projection; saved expansion untouched; unmatched children/branches excluded	accepted	main Tree	Tree filtering/navigation	retain_verify	Filter forced ancestors cannot collapse away results; Left parent Right descendant; star/minus disabled; chosen hidden key retained	query revision/rebuild once; clear query exact restoration; parent match excludes unmatched descendants	TASK-020
HM62	COMPONENT_ARCHITECTURE.md;docs/reviews/laneC-app-tick.md	3adb6efe §54;ecc13378 §54.1–2	Runtime exactly one intent-free clock-free bootstrap; Cx-only Bootstrap Event Tick Settle; one timer delivery causes Tick once through settling	accepted_strengthened	main runtime.rs:2405 and related tests	runtime;Cx;headless Harness	retain_verify	Same lifecycle terminal and headless; no draw-time cause branch; event before first draw still bootstraps once	bootstrap_runs_once; tick_cause_once_when_focus_settles; headless lifecycle	TASK-009;TASK-010
HM63	COMPONENT_ARCHITECTURE.md	3adb6efe §54;ecc13378 §54.3;later runtime amendments	Repaint deadlines persistent earliest-wins; unrelated inputs cannot erase/postpone; expired delivery clears only its deadline; no unsolicited idle ticks	accepted_later_monotonic_amendments	main runtime/session	Runtime scheduling;TerminalSession	retain_verify	Retain later monotonic/publication contracts; compare exact oracle simulation feedback timing	unrelated key/mouse/paste/resize; min poll/deadline; headless controlled ticks; no-wall-time equality	TASK-009;TASK-010
HM64	COMPONENT_ARCHITECTURE.md	3adb6efe §54;ecc13378 §54.4	Jackin product delta owned by Route tick policy; runtime/wall/design tick never substituted; each physical tick advances route once; paused freezes product clock	accepted;oracle_timing_wins	main app.rs:662 route_tick_ms	Jackin world/rain/launch/jobs/modal/status expiry	proof_traceability_gap	Map legacy route33/80/80–200ms and later simulation timing amendments to oracle timelines; preserve frame282 and timestamps	route_tick_ms-only delta; once despite settle; paused/reduced; all rain/launch/outro sequences	TASK-051;TASK-054;TASK-055
HM65	COMPONENT_ARCHITECTURE.md	3adb6efe §54;ecc13378 §54.5	Ui dim_layer zero byte identity and total semantic Muted→Faint→Ghost→erase; no generic resolved-color equality reverse lookup	accepted;later Meter authored policy exception separate	main ui/paint.rs:273;:431;:461	Ui;Jackin crossfade	retain_verify	Preserve role provenance under collisions/all capability levels and exact oracle fade frames	zero-step bytes; all foreground roles; collisions; step>=4 erase to actual backdrop	TASK-011;TASK-017
HM66	COMPONENT_ARCHITECTURE.md;docs/reviews/laneC-app-tick.md	3adb6efe proposal;ecc13378 §54.6	Status strip inherent pure draw-time projection with fixed app-owned byte buffers; preserve facts priorities tones stable keys; no Jx cache/String per frame/StatusItem ownership widening	accepted_tightened_from_allocating_proposal	main proof mapping missing	Jackin screen status projection;StatusBar	proof_traceability_gap	Provide zero-allocation projection evidence and pure-repaint fresh-state proof for each contributing screen	status_projection pure priority tone key; allocates_zero_per_frame; pure_repaint_never_stale	TASK-028;TASK-051
HM67	COMPONENT_ARCHITECTURE.md	ecc13378 §54.7	Inactive Manager and Accounts receive unconsumed messages through inherent apply_msg calls from App update; Screen stays six methods	accepted	main proof mapping missing	Jackin App;Manager;Accounts	proof_traceability_gap	Refresh started on Accounts completes after navigation; no trait widening or stale cached status	cross_route_msg_fanout_reaches_inactive_screen; return and repaint status	TASK-051;TASK-053
HM68	docs/reviews/laneC-app-tick.md	3adb6efe next package	RunId/RunToken total for fixture and Cockpit producers; eliminate Capsule/Cockpit/Manager direct byte slices; preserve visible IDs per oracle	accepted_safety_obligation;token_format_reconcile_oracle	main implementation mapping needed	Jackin domain instance/fixtures;sim launch;cockpit/capsule/manager	verify_totality_and_parity	All Scenario::ALL plus generated/empty/nonASCII/one-char inputs; do not silently alter displayed suffix/token algorithm	total fixed-width ASCII token; container_info all scenarios; manager inspect; no raw run_id slicing	TASK-051;TASK-054;TASK-055
HM69	COMPONENT_ARCHITECTURE.md	3adb6efe §55	Panel/Dialog return bare R and invoke body exactly once even zero/tiny/collapsed; empty rect anchored inside request under container surface and empty clip	accepted	main closure signature gate	Panel;Dialog;Ui area clipping	retain_verify	Malicious closure cannot paint/register outside empty clip; Ui::layer alone optional; SplitPane separate contract	typed sentinel; call count; nonzero-origin degenerate rect; no escaped paint/hit; AST return/signature gate	TASK-023;TASK-027
