family	reference_implementation	main_implementation	architectural_target	visual_status	interaction_status	api_refactor_status	tests_available	tests_missing	proposed_owner	owning_task_ids
secret-validation	O:input masked fields;grid validators;dialog prompt	M:crates/tui/src/secret.rs;validate.rs;components/form.rs	Non-clone secrets sealed text targets zeroized drafts typed validation	unverified masking/error parity	unverified lifecycle	implemented; retain architecture contract	M:secret compile-fail fixtures;input/textarea/form secret tests	Public-boundary secret dynamic transitions with exact oracle masks; no secret artifacts	fields-edit;foundation-api	TASK-006;TASK-016
select	O:src/widgets/select.rs	M:crates/tui/src/components/select.rs	Controlled keyed Select with runtime-owned popup	unverified	unverified	implemented; verify	M:select.rs disclosure/popup/controlled-value units;empty_style_inheritance.rs	Oracle popup open/close Escape focus-out and selected/cursor distinction; all-color geometry	fields-edit;overlays	TASK-006;TASK-018
form	O:Showcase forms/settings;TablePro connection forms;Jackin forms	M:crates/tui/src/components/form.rs	Keyed FormData slots caller values declaration-owned traversal/validation	unverified app composition	unverified edit/submit focus interactions	implemented; app migration still requires parity	M:form.rs forty-six unit tests;conformance.rs	Oracle form field order sizing submit/cancel errors and hidden fields; same production app paths	fields-edit	TASK-006;TASK-019
list	O:src/widgets/list.rs	M:crates/tui/src/components/list.rs	Borrowed keyed List with RowUi and controlled semantic selection	missing fade	unverified current-row completed click semantics	implemented; parity verification required	M:list_boundary.rs;list_focused_click.rs;list_pointer_item.rs;list_row_extent.rs;list_row_renderer.rs	CP-SCROLL-FADE protected cursor; insert/delete/sort range selection exact actions	collections	TASK-006;TASK-020
filter-list	O:src/widgets/picker.rs filtering/results	M:crates/tui/src/components/filter_list.rs	Borrowed filtered index projection separate from caller data	missing fade through picker composition	unverified	implemented; verify	M:filter_list.rs units;empty_style_inheritance.rs;picker_projection.rs	Filtering eligibility/paste/grapheme query; exact empty/loading/error rows and fades	collections;overlays	TASK-006;TASK-024
nav-list	O:Showcase shell/sidebars;Jackin/Holla custom sidebars	M:crates/tui/src/components/nav_list.rs	Single keyed NavList painter with sections compact mode and badges	missing protected-row fade	unverified oracle focus versus navigation	implemented; no duplicate old audit repair	M:nav_compact.rs;nav_list_boundary.rs;nav_list_scrollbar_visibility.rs;nav_list_scrolling.rs	CP-SCROLL-FADE; current versus cursor; EnterContent; hover geometry narrow/full modes	collections	TASK-006;TASK-020
tree	O:src/widgets/tree.rs	M:crates/tui/src/components/tree.rs	Borrowed TreeNode source keyed expansion lazy loading and row renderer	missing fade	lazy target and completed-click behavior needs oracle proof	implemented; verify	M:tree_branch_policy.rs;tree_presentation.rs;tree_row_renderer.rs;tree_selected_click.rs;tree_state_replacement.rs	Protected cursor fades; lazy insert/filter/replacement preserve target; exact branch policy	collections	TASK-006;TASK-020
steps	O:src/widgets/steps.rs	M:crates/tui/src/components/steps.rs	Borrowed keyed Steps with display or navigable mode	missing fade	unverified	implemented; verify	M:steps.rs lifecycle/keyed/100k/frontier tests;conformance.rs	Oracle lifecycle glyphs skip/fail/block; mouse versus keyboard navigation; fades	collections	TASK-006;TASK-020
tabs	O:src/widgets/tabs.rs;Holla/Jackin entity strips	M:crates/tui/src/components/tabs.rs	Borrowed keyed Tabs plus reusable author composition for distinct entity strip	unverified per-item tone and width	unverified close/reorder/tab focus restoration	implemented generic Tabs; app entity compositions need migration	M:tabs.rs close/reorder/readiness/active-state units	Oracle active/inactive/hover/pressed/close widths; dynamic tab removal and return focus	collections	TASK-006;TASK-020
picker-command-palette	O:src/widgets/picker.rs	M:crates/tui/src/components/picker.rs	Borrowed AsItem keyed result rows and query; CommandPalette composition	missing fade; width/status geometry unverified	eligibility/query/modal routing unverified	implemented; oracle changes need proof	M:picker_nonsearchable.rs;picker_projection.rs;picker_width.rs;picker.rs units	Oracle query paste/grapheme modifiers; unavailable action; destructive stable target; fade	overlays	TASK-006;TASK-024
picker-chain	O:Holla chained action/resource pickers;Jackin picker journeys	M:crates/tui/src/components/picker_chain.rs	Caller-owned stages and typed Back/Retry without domain execution	unverified	unverified	implemented; app composition parity needed	M:picker_chain.rs breadcrumb/root-owned-keyed-part tests;conformance.rs	Oracle stage/back/query retention unavailable/error/retry and focus restoration	overlays	TASK-006;TASK-024
completion	O:src/widgets/completion.rs	M:crates/tui/src/components/completion.rs	Borrowed completion rows and editor-owned CompletionController	missing fade	unverified popup/editor input ownership	implemented; verify	M:completion.rs editor binding and splice tests;conformance.rs	Arrow/Tab/Enter/Esc/remap/paste exact editor state; popup geometry/fade under resize	overlays;code-diff	TASK-006;TASK-024
dialog	O:src/widgets/dialog.rs	M:crates/tui/src/components/dialog.rs	Content-measured Dialog body slots runtime layers caller form values	unverified full decision facts and dimensions	unverified action eligibility and dismissal	implemented; verify	M:dialog_ack_keyboard.rs;dialog_acknowledgement.rs;dialog_navigation.rs;dialog.rs units	Prompt/confirm/error/info/destructive ack; exact current draft; outside Esc stacking focus	overlays	TASK-006;TASK-023
menu-context-menubar	O:src/widgets/menu.rs	M:crates/tui/src/components/menu.rs	Typed MenuItem actions submenus ContextMenu and MenuBar layers	unverified	unverified disabled/hover/keyboard chords	implemented; verify	M:menu_chord_case.rs;menu.rs keyboard/closing/dynamic binding tests	Oracle menu titles dropdown bounds submenu close/outside click paste priority	overlays	TASK-006;TASK-023
help-overlay	O:Showcase and app help dialogs/hints	M:crates/tui/src/components/help.rs	HelpOverlay from same effective binding metadata as hints	unverified	unverified	implemented; app composition proof required	M:help.rs sections/bounded columns;derived_hintbar_metadata.rs	Oracle help text grouping/columns/scroll narrow resize and dismissal	overlays;chrome	TASK-006;TASK-030
wizard	O:application multi-step dialog flows	M:crates/tui/src/components/wizard.rs	Caller-owned Wizard steps and state; no execution/domain ownership	unverified	unverified	implemented; app composition proof required	M:wizard.rs rewind/keyed enabled-step tests;conformance.rs	Oracle back/forward/disabled/completion retention and focus; no redesigned step chrome	overlays	TASK-006;TASK-030
grid	O:src/widgets/grid.rs	M:crates/tui/src/components/grid.rs	Borrowed GridModel/GridEditor keyed Grid with constrained GridCell painter	missing fade; geometry parity unverified	CP-03 current-cell completed click differs	implemented broad API; activation parity incomplete	M:grid_* tests;custom GridCell;ragged models;keyed cursor;readonly compile-fail	CP-GRID-EDIT; sort identity; reference action; validation error; scroll/fetch/resize exact cells	grid-parity	TASK-006;TASK-022
table	O:src/widgets/table.rs	M:crates/tui/src/components/grid.rs NavUnit::Row	DataTable removed; Grid row mode and caller-owned table adapter	missing fade; table density/header/gutters unverified	unverified row activation/sort/edit behavior	absorbed into Grid; app adoption must preserve table semantics	M:grid_header_geometry.rs;grid_detailed_gutter.rs;grid_column_fit.rs;TablePro app tests	Oracle simple versus rich rows sorting current selection metadata widths all modes	grid-parity	TASK-006;TASK-022
code-editor	O:src/widgets/code.rs	M:crates/tui/src/components/code.rs	CodeEditorState and borrowed Highlighter Segmenter; shared editor and scroll	missing fade	CP-02 read-only pointer caret missing	implemented; behavioral parity incomplete	M:code.rs highlight/cache/find/readonly/cursor tests;keyboard_editor.rs	Read-only click/selection; edit Down/Up; find query paste; diagnostics/gutter/tab/current line	code-diff	TASK-006;TASK-025
diff-view	O:src/widgets/diff.rs	M:crates/tui/src/components/diff.rs	Borrowed DiffSource projected through TextViewport	CP-05 narrow review fallback not established; fade missing	viewport keyboard selection missing	implemented; new oracle projection behavior incomplete	M:diff.rs six units;render_components.rs;O:review_* and tab_indented_review_aligns_context_changes_and_copied_text	CP-05 fallback/restoration scrollbar budget grapheme emphasis tab alignment copied text	code-diff	TASK-006;TASK-026
text-viewport	O:src/widgets/viewport.rs	M:crates/tui/src/components/viewport.rs	Borrowed revisioned text projection; owned selection/follow/retained identities	missing fade; cross-run grapheme handling differs	CP-04 keyboard selection/marks/reading retention incomplete	implemented old contracts; new oracle incomplete	M:viewport.rs cache/retention/copy tests;tests/viewport.rs;O:keyboard_selection_*;eviction_*;marks_*	CP-TEXT-OUTPUT all mutation paths selection reading/caret/mark identity and work counters	output-text	TASK-006;TASK-021
scroll-panel	O:src/widgets/panel.rs:224	M:components/panel.rs plus viewport.rs/scroll_region.rs	No legacy ScrollPanel; compose shared Panel and output viewport	missing fade; first-frame metadata unverified	non-tailing End currently incompatible with generic viewport follow	needs reusable tail/prose policy	O:panel.rs scroll_panel_tests;M:panel.rs clip tests;viewport follow tests	Non-tailing prose never follows; logs resume at tail by any method; fresh position labels	output-text;chrome	TASK-006;TASK-021
panel	O:src/widgets/panel.rs:31	M:crates/tui/src/components/panel.rs	Pure Panel chrome and clipped body callback; no focus stop	unverified	unverified decorative registration	implemented; verify	M:panel_badge.rs;panel.rs body/clip/parts tests	Oracle card/framed/title/meta/badge/container-focus widths and late position freshness	chrome	TASK-006;TASK-027
split-pane	O:src/widgets/splitter.rs	M:crates/tui/src/components/split.rs	SplitPaneState geometry capture resize/maximize callback	unverified	unverified drag and keyboard focus	implemented; verify	M:split_seam_geometry.rs;split.rs minima/grab/maximization tests	Oracle seam hitbox pointer grab ratio focus/minima/maximized/resize states	chrome	TASK-006;TASK-012
props	O:src/widgets/props.rs	M:crates/tui/src/components/props.rs	Borrowed PropsValue/PropsRow and keyed PropsList copy	missing fade	unverified copy and secret behavior	implemented rich borrowed API; verify	M:props_rich.rs;props_rich_perf.rs;props.rs keyed/copy/secret tests	Oracle label/value wrapping source copy secret lock state protected-row fade	chrome	TASK-006;TASK-027
empty-readiness	O:src/widgets/empty.rs;collection inline empty states	M:crates/tui/src/components/empty.rs;collection/empty.rs	Shared EmptyState with owner style inheritance and distinct semantic parts	unverified; old missing-inheritance finding repaired	unverified retry/disabled contexts	implemented; verify actual painted cells	M:empty_style_inheritance.rs;independent_empty_carrier.rs;empty.rs units	All five collection owners Empty/Loading/Partial/Error sentinel styles and geometry	chrome;theme-paint	TASK-006;TASK-027
progress-bar	O:src/widgets/progress.rs	M:crates/tui/src/components/progress.rs	ProgressBar semantic state and deterministic phase	unverified	static display; update phase unverified	implemented; verify	M:progress_paused_glyph.rs;progress.rs percent/sweep/done tests	Oracle determinate/indeterminate/paused/done/failed widths animation phases all colors	chrome	TASK-006;TASK-029
spinner	O:src/widgets/progress.rs	M:crates/tui/src/components/progress.rs	Shared Spinner glyph/time recipes	unverified	clock-driven phase unverified	implemented; verify	M:spinner_gap.rs;status_spinner.rs;feedback_clock.rs	Oracle frame vocabulary phase gap inactive states reduced animation where supported	chrome	TASK-006;TASK-029
meter	O:app custom meter/progress painting;src/theme.rs	M:crates/tui/src/components/meter.rs	Reusable semantic MeterRole thresholds fill/rest/readout	unverified app-specific visuals	static display	implemented; app composition parity needed	M:meter_defaults.rs;meter_readout.rs;meter_semantic_tokens.rs	Oracle occupancy/usage thresholds exact fill glyphs colors labels and zero/full values	chrome	TASK-006;TASK-029
statusbar-segments	O:src/widgets/statusbar.rs;segments.rs	M:crates/tui/src/components/status.rs	Single reusable StatusBar Group StatusItem; old segments absorbed	unverified	unverified keyed click/hover	implemented; verify	M:status_bar_hover.rs;status_spinner.rs;status.rs priority/truncate/group tests	Oracle left/center/right drop order tonal messages exact failure/warning glyphs	chrome	TASK-006;TASK-028
hintbar	O:src/widgets/hintbar.rs	M:crates/tui/src/components/hintbar.rs	HintBar and DerivedHintBar consume effective metadata	unverified	unverified active layer hint ownership	implemented; verify	M:derived_hintbar_metadata.rs;descriptive_hints.rs;hintbar.rs tests	Oracle action text/chords priority width dropping focus/edit/modal context	chrome	TASK-006;TASK-028
keyhint	O:src/widgets/keyhint.rs	M:crates/tui/src/components/keyhint.rs	KeyHint from typed effective Chord and semantic action parts	unverified	displayed binding versus handled binding unverified	implemented; verify	M:keyhint.rs slot/chord/no-allocation/width units	Oracle modifier glyphs multi-key width fragment clipping remaps and hidden actions	chrome	TASK-006;TASK-028
too-small	O:four app minimum-size notices	M:crates/tui/src/components/too_small.rs	Shared TooSmall component with exact source app contract	unverified	resize recovery and quit unverified	implemented; app adoption proof required	M:too_small.rs ten units;render_components.rs	Each app minimum boundary -1/equal/+1; notice text exact; recovery restores state	chrome	TASK-006;TASK-027
custom-author-api	O:app-local raw RenderCtx painters	M:crates/tui/src/author.rs;examples/12_author_component.rs	Public constrained author surface; borrowed styles/rows/cells; stable dynamic identity	unverified app custom compositions	SegmentedState uses positional durable cursor/selection	partial; public example identity needs migration/disposition	M:author_style_defaults.rs;grid_cell_renderer.rs;list_row_renderer.rs;tree_row_renderer.rs	External keyed custom author example reorder/insert/delete; all API capabilities compile	public-cleanup;foundation-api	TASK-006;TASK-068
testing-registry	Architecture-only infrastructure; original module/app tests provide provenance, not an oracle widget	M:crates/tui-testing/src/*;crates/tui/tests/conformance.rs;render_components.rs	Same production views and real runtime; truthful attribution and complete documented PARTS/SlotFn conformance	Not applicable: no standalone oracle frame or PTY identity	Architecture checks must prove actual runtime ownership and complete registry coverage	implemented harness; attribution and complete registry proof required	M:render_components 2560 stated digests;conformance;scene_snapshot.rs;architecture.rs	TASK-006 CHK-002 records explicit non-frame disposition; TASK-073 supplies attribution foundation; TASK-031 CHK-006 closes every row/state registry with runtime and tamper negatives	verification	TASK-006;TASK-031;TASK-073
public-compatibility-removal	O:src/lib.rs;src/widgets/mod.rs	M:crates/tui/src/lib.rs;components/mod.rs;tests/architecture.rs	Curated root/author/theme/layout API; remove obsolete paths/duplicate models	no independent visible state	all apps must use same public reusable code	workspace refactored; final app adoption/cleanup unproven	M:architecture.rs;allow/legacy_api.txt;allow/domain.txt;public examples	Forbidden old imports/types/parallel painters; docs/examples compile; registry and dependency closure	public-cleanup	TASK-006;TASK-068
