parent_scenario	contribution_id	task_owner	proof_kind	exact_checkpoint_selection	exact_assertions_or_state_keys	source_clause	full_parent_owner	minimum_checkpoint_count
HO-TRUST	HO-043-F03	TASK-043	frame	HP17 source prefix through changed-during-review refusal and Here/Trust state assertions; stop before the next successful current-byte approval. The later failed-save branch follows a previously created Activity tab and therefore is not an early full-frame contribution	complete original initial trust/digest/argv and changed-byte refusal frames/cursor; accepted action, failed-save branch frames and destructive action remain in full parent049	app_tests_parity.rs::hp17_custom_actions_are_exact_argv_reviewed_by_digest_and_never_run_unsaved	TASK-049	1
HO-GATES	HO-043-F04	TASK-043	frame	Docker seed prefix through wrong phrase, exact-phrase target drift and resulting Changed gate1 assertions; stop immediately before the comment second pass executes and its following Right	all original gate focus/disabled/exact phrase/drift assertions plus full checkpoint frames; Docker running/done not an early required pass	app_tests_flows.rs::docker_cleanup_takes_two_gates_and_revalidates_before_executing	TASK-048	1
HO-TRUST	HO-043-S01	TASK-043	state	Every original HP17 trust-store assertion at moved/legacy-digest, changed-byte refusal, accepted current bytes and failed save boundaries	whole-file digest/path/cwd;current-byte approval only;persisted trust identity;failed save creates no action;one-shot current-target compatibility retained	app_tests_parity.rs::hp17_custom_actions_are_exact_argv_reviewed_by_digest_and_never_run_unsaved	TASK-049	1
HO-HP14	HO-044-F01	TASK-044	frame	All first ParityExecutor constructor mixed-stream and burst checkpoints; end before declaration of the second H::new(ParityGitBatch) instance	all original stream/4500→4000retention/500dropped assertions and complete frames/cursor	app_tests_parity.rs::hp14_output_streams_are_exact_and_retention_drops_are_stated	TASK-047	1
HO-ROUTE-11	HO-044-F02	TASK-044	frame	LaunchFailure constructor through follow-up focus Tab; stop before Enter opens Port5173 Snapshot	exact EADDRINUSE/exit1/taberror/follow-up focus; complete frames/cursor	app_tests_flows.rs::launch_failure_keeps_output_and_offers_follow_ups	TASK-048	1
HO-PLAN-EXEC	HO-044-F03	TASK-044	frame	Original UpgradePlan route from review through the first checkpoint whose actual oracle PlanPhase is Running, inclusive; end before the next Tick; prefix filter is materialized only against oracle	complete first executing-plan output/step/focus frame; no later upgrade failure/result represented as passed	app_tests_flows.rs::upgrade_plan_exclusion_recalculates_and_failure_blocks_dependents; screens/plan.rs::PlanTab	TASK-049	1
HO-OUTPUT-SCROLL	HO-044-F04	TASK-044	frame	Materialize the output SWEEP from the original first ParityExecutor mixed-stream and burst checkpoint states only; retain the complete HP14 second Git-batch branch in the parent, not the early passing set	full output viewport/scrollbar/follow/focus/selection frames at every SWEEP checkpoint; exact 4000 retained and 500 dropped identity where applicable	app_tests_parity.rs::hp14_output_streams_are_exact_and_retention_drops_are_stated;screens/activity.rs::on_key;on_wheel;render	TASK-047	1
HO-ACTIVITIES	HO-044-F05	TASK-044	frame	Complete original activities_survive_navigation_and_merged_logs_keep_identity source route plus each Activity SWEEP checkpoint strictly before a follow-up emits git.review or another provider-specific route; include the whole follow-up button frame and press checkpoint before its activating Up	every original native route assertion including attached-status and retained streams; full Activity/picker/monitor/close-dialog frames and complete pre-foreign follow-up frames; git.review Snapshot remains047	app_tests_flows.rs::activities_survive_navigation_and_merged_logs_keep_identity;domain/fixtures.rs::activities_multi;screens/activity.rs::follow_up;on_click	TASK-047	1
HO-PLAN-EXEC	HO-044-S01	TASK-044	state	At the original first-running checkpoint and actual source-defined output-pane focus/maximize/restore actions reachable before any further Tick; all actions frozen by oracle-only extraction	plan ID and active step;focus owner;output viewport identity/follow;maximized state;Escape restores plan layout;no additional world tick or provider effect	screens/plan.rs::PlanTab::on_key;app_tests_flows.rs::upgrade_plan_exclusion_recalculates_and_failure_blocks_dependents	TASK-049	1
HO-HP19	HO-045-F01	TASK-045	frame	Disk navigation source prefix through TopFiles selection assertions; stop before d opens Trash review; separately include fresh Linux unavailable-Spotlight branch	all tree/sort/fold/selection/topfiles/unavailable assertions in prefix plus complete frames/cursor	app_tests_parity.rs::hp19_tree_navigation_sorting_folding_selection_and_top_files	TASK-046	1
HO-HP23	HO-045-F02	TASK-045	frame	macOS prefix through Spotlight timeout and platform facts; Linux prefix through cleanup category selection immediately before d opens cleanup review; complete file/opener/report remainder stays046	complete platform/Spotlight/insight prefix frames and static capability assertions	app_tests_parity.rs::hp23_platform_capabilities_are_stated_and_never_faked	TASK-046	1
HO-DISK-TREE	HO-045-F03	TASK-045	frame	HP19 prefix before d opens Trash review, plus tree/top-files/facts SWEEP branches from restored pre-review oracle checkpoints; any navigation to Trash remains only in the complete parent	complete tree/facts/selection/scroll/fade/hit/cursor frames; every source-defined pre-review sweep branch, no cropped tree-only image	app_tests_parity.rs::hp19_tree_navigation_sorting_folding_selection_and_top_files;screens/disk.rs::on_key;on_click;render	TASK-046	1
HO-HP23	HO-045-S01	TASK-045	state	Every original capability and canonical-path assertion before accepted cleanup; no effect/report assertions included	OS identity;Spotlight/opener/OSC52/Trash capability;macOS tmp→private/tmp and Linux tmp unchanged;dataless EPERM;conditional catalog casks/xcode availability	app_tests_parity.rs::hp23_platform_capabilities_are_stated_and_never_faked	TASK-046	1
