scenario_id	previous_primary	primary_owner	complete_reached_surface_or_domain	primary_source_evidence	closure_reason	retained_assertion_rule
HO-BASE-11	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-12	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-13	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-14	TASK-042	TASK-042	Files/browser/preview/Jump	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-15	TASK-042	TASK-042	Files/browser/preview/Jump	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-16	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-17	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-18	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-19	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-20	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-21	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-22	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-23	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-24	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-25	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-26	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-27	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-28	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-29	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-30	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-31	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-32	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-33	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-BASE-34	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/scenario.rs:100; tools/holla_shots.sh:14	App::for_scenario/start preserves exact fixture initial route and40ticks; subsequent paused ticks do not invoke a new action. The stated owner supplies this fixture's required domain data and initial surface.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP01	TASK-041	TASK-049	Discovery assertions end by opening Custom action configuration and checking indexed diagnostics; config Snapshot owner049 is required.	src/bin/holla/app_tests_parity.rs:89	Discovery assertions end by opening Custom action configuration and checking indexed diagnostics; config Snapshot owner049 is required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP02	TASK-041	TASK-044	Finder query/usage then Enter opens Cargo-check Activity and persists usage; opt-out branch also opens Activity. No Cargo completion outcome is asserted.	src/bin/holla/app_tests_parity.rs:200	Finder query/usage then Enter opens Cargo-check Activity and persists usage; opt-out branch also opens Activity. No Cargo completion outcome is asserted.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP05	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:349	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP06	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:452	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP03	TASK-042	TASK-044	Files search/copy menu then Open in OS creates Activity with exact opener argv; generic finite opener execution belongs to044.	src/bin/holla/app_tests_parity.rs:580	Files search/copy menu then Open in OS creates Activity with exact opener argv; generic finite opener execution belongs to044.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP04	TASK-042	TASK-042	Files/browser/preview/Jump	src/bin/holla/app_tests_parity.rs:658	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-042. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP07	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:761	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP08	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:876	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP09	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/app_tests_parity.rs:965	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-048. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP10	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/app_tests_parity.rs:1165	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-048. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP11	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:1266	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP12	TASK-047	TASK-047	Git/native/Cargo/Gradle/IDEA finite outcomes	src/bin/holla/app_tests_parity.rs:1345	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-047. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP13	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/app_tests_parity.rs:1409	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-049. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP14	TASK-044	TASK-047	Mixed-stream and burst cases then create ParityGitBatch and invoke Push4repositories, asserting batch membership/mode/start states; concrete Git batch producer047 closes complete parent.	src/bin/holla/app_tests_parity.rs:1511	Mixed-stream and burst cases then create ParityGitBatch and invoke Push4repositories, asserting batch membership/mode/start states; concrete Git batch producer047 closes complete parent.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP15	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/app_tests_parity.rs:1590	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-044. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP17	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/app_tests_parity.rs:1731	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-049. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP18	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/app_tests_parity.rs:1859	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-045. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP19	TASK-045	TASK-046	Disk/tree/Spotlight then d opens Trash review;046 owns cleanup-review target summary despite no accepted deletion in this seed.	src/bin/holla/app_tests_parity.rs:1996	Disk/tree/Spotlight then d opens Trash review;046 owns cleanup-review target summary despite no accepted deletion in this seed.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP20	TASK-045	TASK-045	Disk/tree/Spotlight/insight categories	src/bin/holla/app_tests_parity.rs:2103	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-045. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP21	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/app_tests_parity.rs:2209	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-046. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP22	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/app_tests_parity.rs:2383	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-046. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP22-QUIT	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/app_tests_parity.rs:2467	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-046. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-HP23	TASK-045	TASK-046	macOS/Linux capability checks then Linux Trash report/no-fallback and file opener refusal; all concrete producers042–046, no real provider.	src/bin/holla/app_tests_parity.rs:2528	macOS/Linux capability checks then Linux Trash report/no-fallback and file opener refusal; all concrete producers042–046, no real provider.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-01	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/app_tests_flows.rs:24	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-048. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-02	TASK-044	TASK-048	One seed performs disk-cleanup effects/history then PostgreSQL blocker cancellation; latest concrete domain producer048.	src/bin/holla/app_tests_flows.rs:126	One seed performs disk-cleanup effects/history then PostgreSQL blocker cancellation; latest concrete domain producer048.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-03	TASK-049	TASK-049	Custom config/upgrade outcomes and complete snapshot/action enumeration	src/bin/holla/app_tests_flows.rs:177	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-049. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-04	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/app_tests_flows.rs:246	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-044. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-05	TASK-043	TASK-044	Monorepo Finder → trust → structured arguments → Ctrl+S → Activity with exact mise argv/cwd.044 owns first live Activity composition; no later provider completion is invoked.	src/bin/holla/app_tests_flows.rs:310	Monorepo Finder → trust → structured arguments → Ctrl+S → Activity with exact mise argv/cwd.044 owns first live Activity composition; no later provider completion is invoked.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-06	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/app_tests_flows.rs:365	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-041. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-07	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/app_tests_flows.rs:388	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-046. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-08	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/app_tests_flows.rs:462	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-048. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-09	TASK-048	TASK-048	Docker/Compose/Brew/PG/SSH plus concrete port/process/system snapshots	src/bin/holla/app_tests_flows.rs:478	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-048. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-10	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/app_tests_flows.rs:519	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-041. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-11	TASK-044	TASK-048	LaunchFailure Activity follow-up opens Port5173 Snapshot with stale vite process/action;048 owns port/process presentation.	src/bin/holla/app_tests_flows.rs:576	LaunchFailure Activity follow-up opens Port5173 Snapshot with stale vite process/action;048 owns port/process presentation.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-12	TASK-041	TASK-048	HardCases Finder resize/scope/query then Enter opens Docker-unavailable snapshot; 048 owns that concrete snapshot.	src/bin/holla/app_tests_flows.rs:601	HardCases Finder resize/scope/query then Enter opens Docker-unavailable snapshot; 048 owns that concrete snapshot.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-13	TASK-050	TASK-045	Menu/help/about seed finally clicks Go→Disk and asserts Here › Disk;045 is last concrete surface owner.	src/bin/holla/app_tests_flows.rs:628	Menu/help/about seed finally clicks Go→Disk and asserts Here › Disk;045 is last concrete surface owner.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-14	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/app_tests_flows.rs:657	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-041. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-15	TASK-044	TASK-044	Activity/stdin/retention/generic finite executor/first running plan	src/bin/holla/app_tests_flows.rs:685	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-044. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-16	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/app_tests_flows.rs:730	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-041. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-17	TASK-050	TASK-050	Whole-app cross-state/lifecycle/size/palette union	src/bin/holla/app_tests_flows.rs:750	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-050. This original all-state union deliberately remains app closure.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-18	TASK-046	TASK-046	Cleanup target validation/effects/reports/history	src/bin/holla/app_tests_rows.rs:59	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-046. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
HO-ROUTE-19	TASK-041	TASK-041	Finder/query/discovery/static catalog/usage	src/bin/holla/app_tests_rows.rs:85	Reviewed complete listed actions, ROUTE body and any SWEEP target handlers; no required surface/domain producer later than TASK-041. Full source assertions and final follow-ups remain required.	native assertions unchanged at source dimensions; per-size full frames/semantic assertions mapped by protected holla-route-expansion contract
