parent_scenario	contribution_id	task_owner	checkpoint	state_keys	source_clause	exact_assertions	required_for_closure	fixture
TP-042	TFLOW-C60-042	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text;modal_stack;focus_owner;filter_editor_drafts;filter_editor_editing;filter_preview_sql	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:164,478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:729-756,1061-1080;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/chips.rs:76-77,88-145,245	Prefill and boolean composition; only ChipBar group is a focus stop, not lead/individual chip/clear-all; completed lead click toggles match_all and focuses group, group Enter edits first chip rather than activating lead, Space toggles, Delete removes, uppercase X clears; no invented clear-all button. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-043	TFLOW-C60-043	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:535,759;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:245	All four modes, code layout and preserved data cursor/state. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-044	TFLOW-C60-044	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702,1040;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266	Correct active tab marker, sorted schema grid, no row mutations. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-063	TFLOW-C62-063	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Read-only save message and preserved draft/pending state; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-065	TFLOW-C62-065	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:274;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:501;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Pending rows + unsaved queries count; per-tab cursor/draft preserved; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-073	TFLOW-C62-073	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1657,1867,2345	Topmost escape/paste/mouse/wheel capture, clipping and focus restoration. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-074	TFLOW-C60-074	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:491,2126;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:681	Exact Need/Have copy, no clipped writes, preserved state and valid focus. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T
TP-077	TFLOW-C62-077	TASK-062	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;modal_stack;focus_owner;pending_row_changes;query_drafts;safety_mode;acknowledgement;captured_target_id;target_generation;execution_count;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:229,491;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	Unbound keys ignored; editing literals not global actions; no background paste; edit setup uses short currency source, not long notes viewer (retained TP-037). Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-preset-T (F10/noop fragment); post-help-open (paste-isolation semantic fragment only); post-help-Esc (remaining Structure/editor fragment)
TP-079	TFLOW-C60-079	TASK-060	Every source-listed action/assertion boundary in the intact parent or the exact named seeded suffix; resolve all numeric event/checkpoint IDs from oracle before sealing	route;active_tab_id;object_identity;grid_cursor;selected_row_ids;scroll_offsets;typed_cells;edit_draft;pending_row_changes;undo_history;filter_model;structure_mode;status_text	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/db.rs:397;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530	Typed cells, empty/null/JSON/bool/long text/reference and read-only views retain oracle metadata. Execute the exact listed suffix keys/paste/mouse/resize on real production handlers. No real provider/DB/clipboard effect. Preserve complete parent navigation and every omitted full frame for TASK-063.	true	post-Ctrl+O/exact-object/Enter for each catalog table/view variant
TP-017	TFLOW-C59-017	TASK-059	Every fixed source input/capture boundary in the explicitly named independent fixture; compile a fresh oracle-only trace from that fixture	screen;tab_ids;explorer_rows;explorer_selected_identity;explorer_expansion;explorer_filter;explorer_scroll;lazy_load_jobs;schema;focus_ring;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:99,1208;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:558	All visible and zero-area focus stops; borders and footer hints. This contribution proves the actual empty-Workbench Explorer and shell using the separately named oracle fixture; original W Query1 frames and original W focus ring remain complete TASK-061 obligations.	true	TP-026-cp(empty)-then-TP-017-inputs
TP-018	TFLOW-C59-018	TASK-059	Every fixed source input/capture boundary in the explicitly named independent fixture; compile a fresh oracle-only trace from that fixture	screen;tab_ids;explorer_rows;explorer_selected_identity;explorer_expansion;explorer_filter;explorer_scroll;lazy_load_jobs;schema;focus_ring;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:133,200,332,604	Lazy hierarchy, icons, metadata, load frames and scroll boundaries. This contribution proves the actual empty-Workbench Explorer and shell using the separately named oracle fixture; original W Query1 frames and original W focus ring remain complete TASK-061 obligations.	true	TP-026-cp(empty)-then-TP-018-inputs
TP-019	TFLOW-C59-019	TASK-059	Every fixed source input/capture boundary in the explicitly named independent fixture; compile a fresh oracle-only trace from that fixture	screen;tab_ids;explorer_rows;explorer_selected_identity;explorer_expansion;explorer_filter;explorer_scroll;lazy_load_jobs;schema;focus_ring;focus_owner;layout_rectangles	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:604;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:779	Filter restoration, refresh status and schema activation. This contribution proves the actual empty-Workbench Explorer and shell using the separately named oracle fixture; original W Query1 frames and original W focus ring remain complete TASK-061 obligations.	true	TP-026-cp(empty)-then-TP-019-inputs
TP-020	TFLOW-C60-020	TASK-060	Every fixed source input/capture boundary in the explicitly named independent fixture; compile a fresh oracle-only trace from that fixture	active_tab_id;object_identity;preview_tab_id;pinned_tab_ids;grid_cursor;focus_owner;open_objects;current_object	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:165	Orders tab selection, breadcrumb, primary grid focus and cursor. All post-open Table/Grid behavior is real production input/draw. The original initial-query prefix remains independently required, never omitted or mislabeled as already passing.	true	intact-parent
TP-021	TFLOW-C60-021	TASK-060	Every fixed source input/capture boundary in the explicitly named independent fixture; compile a fresh oracle-only trace from that fixture	active_tab_id;object_identity;preview_tab_id;pinned_tab_ids;grid_cursor;focus_owner;open_objects;current_object	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:428,968	Single-click preview reuse; second same-object click promotes; pinned tab persists. All post-open Table/Grid behavior is real production input/draw. The original initial-query prefix remains independently required, never omitted or mislabeled as already passing.	true	intact-parent
