parent_scenario	previous_primary	complete_primary	required_application_producers	flow_audit	source_clause	preserved_parent_contract
JA-014	TASK-051	TASK-051	TASK-051	Initial returning fixture; replay(prelude_refuses_a_duplicate_name_and_cancels_cleanly); variant empty name,duplicate name; Esc until Manager; checkpoints: Validation text and disabled action; no abandoned workspace or focus leak | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:463;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/prelude.rs	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-015	TASK-051	TASK-051	TASK-051	Initial returning fixture; K(n); browser K(Down,Right,Left,Backspace,Home,End); edit path; type(/missing); commit; reset path; paste(/work/payments-platform); wheel(browser,100); Esc; checkpoints: Folder open/parent/select vs navigate, invalid path, filtered/empty list, cursor/paste, no host filesystem read | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/modals.rs:280-390	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-016	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(Down,e); K(1,2,3,4,5,],[); variant click(each of five editor tabs); Enter then Tab/BackTab through captured ring then Esc; checkpoints: All editor tabs and body/action focus paths; active/inactive/dirty styling and final-row hints | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/editor.rs:48,1615	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-017	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(Down,e); focus(editor.name); K(Enter); type(x); K(Left,Home,End,Backspace,Delete,Esc); focus each General checkbox/select/browser and activate once; checkpoints: Name editing/cursor/cancel, uniqueness; keep-awake/git-pull/dirty policy/workdir changes; global letters do not navigate during editing | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/editor.rs:130,1540;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:579	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-018	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; replay(editor_edits_count_once_preview_then_saves_and_returns); checkpoints: Readonly+isolation edits count once; leave confirmation cancels; save preview/saving/completion persist exact mount and restore manager | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:497	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-019	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(Down,e,2,Enter); variant K(a),K(e),K(r),K(i),K(1),K(2),K(3),K(o),K(d,u); fixture running_isolated=true then K(i); dismiss nested form; checkpoints: Mount add/edit/delete/undo, all isolation states, refusal while running, GitHub status, removed row restoration | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/config.rs:1201-1414	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-020	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(Down,e,3,Enter); K(Space,Enter); K(/); type(architect); K(Enter); K(a); select(role fixture); Enter; Esc; checkpoints: Role enabled/default, search no-match/match, load picker, account eligibility and dirty-count semantics | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/editor.rs:1192	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-021	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; replay(editor_env_plain_value_stays_masked_and_can_be_shown); checkpoints: Plain env masked initially, m reveal/remask, new key form, cursor and tail-only display, exact dirty state | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:538	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-022	TASK-052	TASK-053	TASK-051;TASK-052;TASK-053	Initial returning fixture; K(Down,e,4,Enter); variant K(e),K(p),K(s),K(d,Esc),K(d,Right,Enter,u); add invalid key and duplicate key then submit; fold role section Left/Right/Space; checkpoints: Reference picker, scope move, delete confirmation/undo, invalid/duplicate errors, removed row and role folding | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/config.rs:1201,1737,2159	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-023	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; replay(editor_accounts_tab_switches_inherited_defaults_off_and_extra_accounts_on); K(/); type(no-such-account); Esc; checkpoints: Inherited defaults, local enables/disables, preferred account, counts, no-match filter; retained identity after sorting | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1028;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/editor.rs:1079	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-024	TASK-052	TASK-052	TASK-051;TASK-052	Initial hard-cases fixture; replay(environments_stay_readable_with_a_hundred_roles); checkpoint(Roles-end-load-row); K(Esc,4,Enter); checkpoint(Environments-reentered); K(End,PageUp,Home); wheel(config,100); wheel(config,-100); checkpoints: More-than-100-role summary/override picker remains readable; top/middle/bottom boundaries and fades; real CLI hard-cases world | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1137	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-025	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(Down,e); change General field; K(Esc); variant choose Stay,Discard,Save; save fail-once fixture then retry; checkpoints: Unsaved leave branches preserve/discard/persist pending state exactly; failed save keeps edits and prevents duplicate job | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/editor.rs:open_preview,start_save,finish_save,on_esc_top	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-026	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(s); K(1,2,3,4,5,],[); variant click(each settings tab); Enter,Tab,BackTab,Esc; checkpoints: Five settings tabs, General coauthor/DCO toggles, focus ring and hints | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/settings.rs:40,826	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-027	TASK-052	TASK-052	TASK-051;TASK-052	Initial returning fixture; K(s,2,Enter); edit mount scope with s; add/edit/delete/undo mount; K(Esc,3,Enter); add/edit/scope/delete/undo env; Ctrl-S then cancel; checkpoints: Global mount/env semantics and scope picker differ correctly from workspace scope; preview lists exact changes | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/settings.rs:59;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/config.rs:130-148,1527	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-028	TASK-052	TASK-053	TASK-051;TASK-052;TASK-053	Initial returning fixture; K(s,4,Enter); K(Space,d,c); return Settings; K(5,Enter,Space,o); Ctrl-S then cancel; checkpoints: Agent auth mode/default, Accounts handoff, trust toggle and source open, unsupported choices/labels | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/settings.rs:705-778	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-029	TASK-052	TASK-052	TASK-051;TASK-052	Initial hard-cases fixture; replay(settings_trust_toggle_and_failed_save_keep_edits); checkpoints: First save failure keeps pending edits; second succeeds; correct global state and manager return | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:581	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-030	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; K(Home,Down,Down,Tab,Esc,*, -,End,Home); K(/); type(Work); Esc; type filter with no matches; Esc; checkpoints: Overview/provider/account/Add rows, health, quota, freshness, default/disabled state, search and focus | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/accounts.rs:61,1946	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-031	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; click(account Work); move(account action); down(account action); up(same); reset; down(action); up(outside); drag(accounts seam,4 cells); wheel(tree,100); wheel(inspector,100); wheel(inspector,-100); checkpoints: Hover/down/up/flash, no outside-release activation, splitter geometry, independent wheel boundaries and fades | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/accounts.rs:on_click,on_drag,on_wheel;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:1535	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-032	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; replay(accounts_register_with_a_1password_reference_and_never_render_the_secret); checkpoints: Four picker steps, duplicate ref rejected, Codex throttled save/refresh, secrets absent from every frame and debug metadata | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:273	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-033	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; replay(accounts_plain_key_is_masked_everywhere_and_remove_asks_first); checkpoints: Typing masks secret; approved tail only; save source fingerprint does not embed key; removal cancellation retains account | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:359	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-034	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial first-use fixture; replay(complete_jackin_flow_keyboard_first) through account registration step 10; separately capture every form source/provider change; checkpoints: Claude Personal/Work local folders, Codex/Grok refs with endpoint, OpenCode plain key; exactly five saved accounts | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:646-786	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-035	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; select(account Work); variant K(e),K(d),K(Space),K(v),K(r),K(m),K(x,Esc),K(x,Right,Enter),K(F5); T(60); checkpoints: Edit, enable/disable, default, validation lifecycle, refresh, masked display, removal; exact registry/default/effect changes | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/accounts.rs:1975-2111	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-036	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial hard-cases fixture; replay(hard_cases_refresh_keeps_last_good_and_help_opens_everywhere); variant select each fixture account then refresh T(60); checkpoints: Broker unreachable, missing/invalid source, stale/failed/unsupported/exhausted/throttled quota remain honest; no fabricated successful result | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:618;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/domain/fixtures.rs;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/provider.rs	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-037	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed with op error variants fixture; open account op picker; variant Locked,AuthorizationRequired,PermissionDenied; T(4); choose retry after deterministic unlock; repeat each step Esc backward and cancel; checkpoints: Loading/error/retry messages, account/vault/item/field focus, concealed-only fields, no secret leaks; parent form values retained | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/modals.rs:1555,1663,1803;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/onepassword.rs	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-038	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial accounts-mixed fixture; open op item picker; type(Anthropic); T(4); K(Down,PageDown,PageUp,Home,End); type(no-match); T(4); Esc; wheel(picker,100); resize 80x24 then 120x40; checkpoints: Query debounce, empty results, stable selection, wheel without changed selection, loading capture and clipped long results | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/modals.rs:1889;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app.rs:1283	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-039	TASK-053	TASK-053	TASK-051;TASK-052;TASK-053	Initial returning fixture; replay(usage_overlay_is_read_only_and_hands_off_to_accounts); reset K(u,Down,Enter,PageDown,PageUp,r); T(60); click(account); wheel(list,3); wheel(detail,100); checkpoints: Usage read-only overview/provider/account, meters/timestamps, refresh and selected-account handoff; correct scroll target | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:400;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/usage.rs:752	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-040	TASK-054	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial launch-running fixture; fresh(launch-running,Full,0); T(1) repeated through deterministic launch completion; checkpoint each of eleven Stage changes and cached/skipped state; T(12) handoff; checkpoints: All stage frontier/status/activity/account lines, build progress, handoff phase and Capsule arrival | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:10,241;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:179	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-041	TASK-054	TASK-054	TASK-051;TASK-052;TASK-053;TASK-054	Initial launch-running fixture; fresh(launch-running,Full,0); T(40); K(b,PageUp,Home,PageDown,End,Esc); click(build log); wheel(log,100); wheel(log,-100); K(i,Esc,c,Esc); checkpoints: Build log overlay full scroll range, at-tail behavior, info/credential views; modal input never launches/cancels underneath | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:575;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:646	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-042	TASK-054	TASK-054	TASK-051;TASK-052;TASK-053;TASK-054	Initial launch-failure fixture; replay(launch_failure_returns_to_the_construct_when_another_instance_runs); separate variant no other instance remains; checkpoints: Network failure details and acknowledge; nonfinal manager status vs final lifecycle; no successful launch effect | Existing primary is at or after the final listed route/modal/domain producer; preserve full parent.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:203;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:79	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-043	TASK-054	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial launch-running with CredentialsLocked,BlockedSidecar fixture; fixture LaunchPlan=CredentialsLocked; advance to block; resolve unlock/retry; advance completion; reset LaunchPlan=BlockedSidecar; advance block; K(Enter); reset K(Esc); checkpoints: Recoverable credentials/error frontier; retry clears hold; modeled-only blocked sidecar status and dismissal | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/sim/launch.rs:79,413;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:641	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-044	TASK-054	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial launch-running fixture; variant K(Ctrl-C),K(Ctrl-Q,Esc),K(Ctrl-Q,Right,Enter),K(d); advance deterministic ticks; checkpoints: Cancel/detach/quit confirmation; state/effects and entry ownership match oracle; build stops or persists exactly | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/screens/cockpit.rs:575	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
JA-045	TASK-054	TASK-055	TASK-051;TASK-052;TASK-053;TASK-054;TASK-055	Initial returning fixture; replay(cockpit_resolves_every_effective_account_for_the_container); checkpoints: All effective accounts resolved, preferred launches, runtime auth sources and per-account failures; no secret rendering | Cross-surface closure moved after the downstream producer; earlier owner has explicit nonempty whole-frame and semantic contributions.	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/jackin_preview/app_tests.rs:1201	all original events; every original source-native assertion at original geometry; all per-size full frames/cursors; all finite variants; intact direct/PTY lane declarations
