parent_scenario	contribution_id	task_owner	exact_checkpoint_selection	axes	viewports	source_clause	required_artifact	required_for_closure	fixture
TP-031	TFLOW-F60-031	TASK-060	Exactly every occurrence of cp(editing), cp(draft), cp(cancelled), cp(committed_next), cp(previous_source_focus), cp(current_cell_click_edit), cp(different_cell_click_move), cp(repeated_cell_click_edit), after the separately qualified direct seed; restart the accepted post-preset-T seed for the separate click variant; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:930;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:609;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-032	TFLOW-F60-032	TASK-060	Exactly every occurrence of cp(primary_key), cp(invalid_number), cp(null_request), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530,1085;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-033	TFLOW-F60-033	TASK-060	Exactly every occurrence of cp(inserted), cp(duplicated), cp(deleted), cp(undo_delete), cp(undo_duplicate), cp(undo_insert), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:659,724,1122	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-035	TFLOW-F62-035	TASK-062	Exactly every occurrence of cp(mixed_preview), cp(delete_review), cp(pending_preserved), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/model.rs:12,959;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-036	TFLOW-F62-036	TASK-062	Exactly every occurrence of cp(refresh_gate), cp(kept), cp(discard_gate), cp(discarded), cp(refreshed), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:778;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1797;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-037	TFLOW-F60-037	TASK-060	Exactly every occurrence of cp(reference_target), cp(json_viewer), cp(viewer_scroll), cp(focus_restored), cp(notes_keyboard_selected), cp(notes_actual_click), cp(notes_actual_enter), cp(notes_paste_no_mutation), after its separately qualified direct seed; restart accepted post-preset-T for the notes variant; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:818;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:385,2485;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T; post-Ctrl+O/events/Enter (separate JSON-viewer suffix fixture)
TP-038	TFLOW-F60-038	TASK-060	Exactly every occurrence of cp(fetch_row), cp(fetch_status), cp(bottom_boundary), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:799;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:1049	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-039	TFLOW-F60-039	TASK-060	Exactly every occurrence of cp(filter), cp(chip), cp(edit), cp(original), cp(updated), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1372,1657,1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-040	TFLOW-F60-040	TASK-060	Exactly every occurrence of cp(between), cp(upper_paste_ignored), cp(upper_typed), cp(ranged), cp(no_value), cp(null_filter), cp(lower_enter_applied_early), after the separately qualified direct seed; restart accepted post-preset-T for the separate lower-Enter variant; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:42;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:2345;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-041	TFLOW-F60-041	TASK-060	Exactly every occurrence of cp(invalid_value_oracle), cp(no_rows), cp(reset), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1747;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:237-246,1657-1785	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-042	TFLOW-F60-042	TASK-060	Exactly every occurrence of cp(cell_prefill), cp(all), cp(chip_focus_inventory), cp(any), cp(chip_editor_not_lead), cp(disabled), cp(removed), cp(cleared), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:164,478;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:729-756,1061-1080;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/chips.rs:76-77,88-145,245	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-043	TFLOW-F60-043	TASK-060	Exactly every occurrence of cp(columns), cp(indexes), cp(foreign_keys), cp(ddl), cp(ddl_bottom), cp(data), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:535,759;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:245	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-044	TFLOW-F60-044	TASK-060	Exactly every occurrence of cp(sorted), cp(scrolled), cp(read_only_noop), cp(data), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:702,1040;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-063	TFLOW-F62-063	TASK-062	Exactly every occurrence of cp(refused), cp(preview_still_available), cp(pending_kept), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:987;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-065	TFLOW-F62-065	TASK-062	Exactly every occurrence of cp(mixed_dirty), cp(original_grid), cp(original_query), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:274;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:501;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-073	TFLOW-F62-073	TASK-062	Exactly every occurrence of cp(nested), cp(narrow), cp(scroll), cp(select_closed), cp(filter_closed), cp(restored), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:1657,1867,2345	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-074	TFLOW-F60-074	TASK-060	Exactly every occurrence of cp(initial), cp(too_narrow), cp(noop), cp(too_short), cp(minimum), cp(recovered), cp(drawer), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	71x20,72x19,72x20,80x24,100x30,120x40,160x50	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:491,2126;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:681	complete schema3 frame and cursor; no cell masks	true	post-preset-T
TP-077	TFLOW-F62-077	TASK-062	Exactly cp(noop), cp(structure_no_duplicate), cp(literal_input) from the named direct suffix fixtures. cp(no_leak) remains a semantic-only modal-isolation contribution and a full TASK-063 parent frame.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:229,491;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:266;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530-595,1213-1235,1300-1345	complete schema3 frame and cursor; no cell masks	true	post-preset-T (F10/noop fragment); post-help-open (paste-isolation semantic fragment only); post-help-Esc (remaining Structure/editor fragment)
TP-079	TFLOW-F60-079	TASK-060	Exactly every occurrence of cp(open), cp(edge), cp(edit_or_readonly), after the separately qualified direct seed; no parent preset-navigation checkpoint is selected.	all parent size/color/motion variants; direct only for seeded fixtures; inherited declared lanes for intact-parent subsets	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/db.rs:397;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/tabs.rs:388;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/widgets/grid.rs:530	complete schema3 frame and cursor; no cell masks	true	post-Ctrl+O/exact-object/Enter for each catalog table/view variant
TP-017	TFLOW-F59-017	TASK-059	Every complete checkpoint of the separate empty-Workbench direct fixture: seed exactly TP-026 cp(empty), then execute this source row's listed focus/explorer input sequence and captures. Compile its own full oracle focus cycle/coordinates; do not label these as original W-parent checkpoints.	all original size/color axes; seeded variants direct only; intact-parent subsets inherit declared lanes	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:99,1208;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:558	complete schema3 frame and cursor; no cell masks	true	TP-026-cp(empty)-then-TP-017-inputs
TP-018	TFLOW-F59-018	TASK-059	Every complete checkpoint of the separate empty-Workbench direct fixture: seed exactly TP-026 cp(empty), then execute this source row's listed focus/explorer input sequence and captures. Compile its own full oracle focus cycle/coordinates; do not label these as original W-parent checkpoints.	all original size/color axes; seeded variants direct only; intact-parent subsets inherit declared lanes	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:133,200,332,604	complete schema3 frame and cursor; no cell masks	true	TP-026-cp(empty)-then-TP-018-inputs
TP-019	TFLOW-F59-019	TASK-059	Every complete checkpoint of the separate empty-Workbench direct fixture: seed exactly TP-026 cp(empty), then execute this source row's listed focus/explorer input sequence and captures. Compile its own full oracle focus cycle/coordinates; do not label these as original W-parent checkpoints.	all original size/color axes; seeded variants direct only; intact-parent subsets inherit declared lanes	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:604;02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app.rs:779	complete schema3 frame and cursor; no cell masks	true	TP-026-cp(empty)-then-TP-019-inputs
TP-020	TFLOW-F60-020	TASK-060	Exactly cp(orders), cp(grid_moved) in the intact parent, after its Explorer activation has opened the table. Initial W Query1 frames remain unselected and required at TASK-061.	all original size/color axes; seeded variants direct only; intact-parent subsets inherit declared lanes	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/app_tests.rs:165	complete schema3 frame and cursor; no cell masks	true	intact-parent
TP-021	TFLOW-F60-021	TASK-060	Exactly cp(preview), cp(replaced_preview), cp(promoted), cp(new_preview) in the intact parent, after its Explorer activation has opened the table. Initial W Query1 frames remain unselected and required at TASK-061.	all original size/color axes; seeded variants direct only; intact-parent subsets inherit declared lanes	ALL	02f5294bfdbf38004cc49130d0aff1d01f31434c:src/bin/tablepro/workbench.rs:428,968	complete schema3 frame and cursor; no cell masks	true	intact-parent
